Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
01/02/2023,II,4109912,"3,715.00",HC129124,Redacted,202311,Safeguarding and Family Support,Third Party Payments,No
01/02/2023,II,4109913,"3,839.40",HC129124,Redacted,202311,Safeguarding and Family Support,Third Party Payments,No
01/02/2023,II,4109921,"2,671.21",HC102778,Zurich Municipal,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4109923,508.83,HC111380,Welsh Water,202311,Schools,Premises-Related Expenditure,No
01/02/2023,II,4109929,"9,018.00",HC101409,Field Studies Council,202311,Schools,Supplies & Services,No
01/02/2023,II,4109931,"1,982.00",HC129124,Redacted,202311,Safeguarding and Family Support,Third Party Payments,No
01/02/2023,II,4109932,450,HC129124,Redacted,202311,Safeguarding and Family Support,Third Party Payments,No
01/02/2023,II,4109934,"20,455.44",HC103268,G B Electrical And Building Services Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109935,"5,162.00",HC103879,Hereford Mobility Centre,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109936,"1,596.00",HC107858,MVF Mobility Solutions Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109937,"1,596.00",HC107858,MVF Mobility Solutions Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109938,"5,162.00",HC103879,Hereford Mobility Centre,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109939,"20,455.44",HC103268,G B Electrical And Building Services Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
01/02/2023,II,4109943,561,HC131182,Redacted,202311,Schools,Supplies & Services,Yes
06/02/2023,II,4109945,"31,550.07",HC106975,Hoople Ltd,202311,Corporate Support Services,Supplies & Services,No
02/02/2023,II,4109951,428.55,HC101168,Brian Hoskins Building Services,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4109955,"8,811.00",HC120753,Caring for Communities and People,202311,Commissioned Services,Supplies & Services,No
02/02/2023,II,4109956,"22,127.00",HC120753,Caring for Communities and People,202311,Commissioned Services,Supplies & Services,No
08/02/2023,II,4109959,850.2,HC125262,Orleton School Food CIC,202311,Schools,Supplies & Services,No
08/02/2023,II,4109960,855.3,HC125262,Orleton School Food CIC,202311,Schools,Supplies & Services,No
02/02/2023,II,4109961,"2,288.42",HC103981,Herefordshire Vision Links,202311,Commissioned Services,Supplies & Services,No
06/02/2023,II,4109963,600,HC110825,LapSafe Self Service Solutions Ltd,202311,Corporate Support Services,Supplies & Services,No
08/02/2023,II,4109965,"5,306.34",HC108319,Oxford University Press,202311,Schools,Supplies & Services,No
02/02/2023,II,4109969,450,HC127516,Dyslexia Wise,202311,Schools,Supplies & Services,No
02/02/2023,II,4109970,750,HC129915,Final Call Creative LTD,202311,Property Services,Supplies & Services,No
02/02/2023,II,4109971,"2,148.60",HC117095,Simon큦 Taxis,202311,Highways & Transport,Transport-Related Expenditure,No
02/02/2023,II,4109972,"1,644.50",HC117095,Simon큦 Taxis,202311,Education and Commissioning,Transport-Related Expenditure,No
02/02/2023,II,4109990,"1,023.25",HC128423,Epic Global Group Ltd,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4109995,"2,760.00",HC111508,Wigmore High School (Academy),202311,Schools,Supplies & Services,No
02/02/2023,II,4109997,422.11,HC105355,Lex Autolease Ltd,202311,Schools,Transport-Related Expenditure,No
03/02/2023,II,4109998,645,HC128278,Metro Rod,202311,Property Services,Third Party Payments,No
06/02/2023,II,4110004,"2,192.08",HC100385,Alliance In Partnership,202311,Schools,Supplies & Services,No
06/02/2023,II,4110006,"2,129.07",HC100385,Alliance In Partnership,202311,Schools,Supplies & Services,No
02/02/2023,II,4110008,"2,765.00",HC114748,PJB Merchants Ltd,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110021,"3,649.62",HC126998,Coconnect Ltd,202311,Schools,Supplies & Services,No
02/02/2023,II,4110023,446.62,HC109997,Spa Gas Ltd,202311,Schools,Premises-Related Expenditure,No
