Updated,TT,Transaction Number, Amount ,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T)
04/01/2023,GI,3151451,540,HC100185,Redacted,202310,Prevention and Support,Premises-Related Expenditure
05/01/2023,II,4106457,101822.5,HC100213,Redacted,202310,Safeguarding and Family Support,Third Party Payments
19/01/2023,II,4108472,1856.25,HC101542,Redacted,202310,Prevention and Support,Supplies & Services
19/01/2023,II,4108479,1049.5,HC101542,Redacted,202310,Prevention and Support,Supplies & Services
16/01/2023,II,4108100,6175,HC102766,Redacted,202310,Prevention and Support,Supplies & Services
16/01/2023,II,4108099,6150,HC102766,Redacted,202310,Prevention and Support,Supplies & Services
17/01/2023,II,4108097,6125,HC102766,Redacted,202310,Prevention and Support,Supplies & Services
17/01/2023,II,4108098,6125,HC102766,Redacted,202310,Prevention and Support,Supplies & Services
31/01/2023,II,4109744,6175,HC102766,Redacted,202310,Prevention and Support,Supplies & Services
27/01/2023,GI,3161076,500,HC103069,Redacted,202310,Prevention and Support,Supplies & Services
24/01/2023,GI,3157924,544.8,HC103800,Redacted,202310,Safeguarding and Family Support,Supplies & Services
09/01/2023,II,4107072,1663.8,HC103959,Redacted,202310,Safeguarding and Family Support,Premises-Related Expenditure
13/01/2023,II,4107662,1518.6,HC103959,Redacted,202310,Safeguarding and Family Support,Premises-Related Expenditure
09/01/2023,II,4107001,33610,HC103959,Redacted,202310,Safeguarding and Family Support,Third Party Payments
09/01/2023,II,4107003,33610,HC103959,Redacted,202310,Safeguarding and Family Support,Third Party Payments
09/01/2023,II,4107002,33610,HC103959,Redacted,202310,Safeguarding and Family Support,Third Party Payments
04/01/2023,GI,3151460,420,HC104143,Redacted,202310,Prevention and Support,Premises-Related Expenditure
10/01/2023,II,4107205,987.52,HC104657,Redacted,202310,Prevention and Support,Supplies & Services
04/01/2023,GI,3151441,660,HC104888,Redacted,202310,Prevention and Support,Premises-Related Expenditure
09/01/2023,II,4106962,13671,HC105828,Redacted,202310,Prevention and Support,Supplies & Services
04/01/2023,GI,3151435,534,HC106104,Redacted,202310,Prevention and Support,Premises-Related Expenditure
04/01/2023,GI,3151439,636,HC106104,Redacted,202310,Prevention and Support,Premises-Related Expenditure
04/01/2023,GI,3151448,570,HC106104,Redacted,202310,Prevention and Support,Premises-Related Expenditure
04/01/2023,GI,3151449,540,HC106104,Redacted,202310,Prevention and Support,Premises-Related Expenditure
