Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode, Annual Value , Total Contract Value (including extensions) ,OJEU?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,RFQ,Salford City Council,PR-18270,Extension of Servicing and Maintenance of Cold water Booster Sets and Pressurisation Units at Salford Council Premises 2020-23,Extension of Servicing and Maintenance of Cold water Booster Sets and Pressurisation Units at Salford Council Premises 2020-23,Pressboost Limited,M25 1HQ,"£10,070.00","£10,070.00",No,01/04/2023,31/03/2024,12,0,0,n/a,n/a,31/03/2024,Yes,390000,"Works - Construction, Repair & Maintenance ",7842756,Public
Place,RFQ,Salford City Council,PR-18271,Extension of Servicing and Maintenance of Gas & Oil Boiler Plant at Salford Corporate Sites and Schools 2020-23,Extension of Servicing and Maintenance of Gas & Oil Boiler Plant at Salford Corporate Sites and Schools 2020-23,J Fletchers (Engineering) Ltd,M30 0SF,"£63,858.38","£63,858.38",No,01/04/2023,31/03/2024,12,0,0,n/a,n/a,31/03/2024,Yes,390000,"Works - Construction, Repair & Maintenance ",4072464,Public
Place,RFQ,Salford City Council ,PR-18324,Housing Delivery - ICN Framework,Housing Delivery - ICN Framework,Great Places Housing Group,M27 8FE,"£7,000.00","£7,000.00",No,31/01/2023,31/03/2025,3,0,0,n/a,n/a,31/03/2025,Yes,250000,Housing Management ,IP30045R,Public
Place,RFQ,Salford City Council,PR-18454,Eccles Town Centre Engagement - Picturing Eccles,Eccles Town Centre Engagement - Picturing Eccles,"Several suppliers including Open Eye Gallery, Salford University.  Other suppliers tbc.",L3 1BP,"£15,000.00","£15,000.00",No,14/08/2023,31/03/2024,8,0,0,n/a,n/a,31/03/2024,Mulitple Providers,150000,Consultancy ,Mulitple Providers,Public
Place,RFQ,Salford City Council,PR-18474,Eccles Town Hall - CVS Refurbishment works 316 MS 002,Eccles Town Hall - CVS Refurbishment works 316 MS 002,CVS,M30 0FN,"£25,000.00","£25,000.00",No,13/04/2023,12/04/2024,1,0,0,n/a,n/a,12/04/2024,No,321100,Social Community Care Supplies & Services - Children, 01948293,Public
Place,RFQ,Salford City Council,PR-18479,2223 Pier Bund Bridge Design Serivces,MQ - 2223 Pier Bund Specialist Bridge design Services – Alignment,Arcadis LLP (Knight's Architects),"EC3M 4BY
","£38,000.00","£38,000.00",No,28/04/2023,29/12/2023,8,0,0,n/a,n/a,29/12/2023,No,150000,Consultancy ,OC368843,Public
Place,RFQ,Salford City Council,PR-18534,Innovation Forum - Improve Fire Escape Doors and Windows on Pavilions 1-4,Innovation Forum - Improve Fire Escape Doors and Windows on Pavilions 1-4,Medway Heating Ltd, BL1 8NG,"£7,233.80","£7,233.80",No,18/05/2023,16/06/2023,1,0,0,n/a,n/a,16/06/2023,No,390000,"Works - Construction, Repair & Maintenance ",1187484,Public
Place,RFQ,Salford City Council,PR-18535,Innovation Forum-repair work on the areas related to the Fire Alarm System ,Innovation Forum-repair work on the areas related to the Fire Alarm System ,Churches Fire & Security,SO53 4AR,"£8,029.00","£8,029.00",No,18/05/2023,18/06/2023,1,0,0,n/a,n/a,16/08/2023,No,190000,Facilities & Management Services,2703471,Public
Place,ITT,Salford City Council,S1001,Air Quality Data Management,Lot 2,Ricardo-AEA Ltd,BN43 5FG,"£22,900.00","£91,600.00",Yes,01/09/2021,31/08/2024,24,24,2,,,31/08/2024,No,180000,Environmental Services,8229264,Public
Place,ITT,Salford City Council,S1001,Service and Maintenance of Air Quality Stations,Lot 1,Enviro Technology Services plc,GL5 2BY,"£46,000.00","£184,000.00",Yes,01/09/2021,31/08/2024,24,24,2,,,31/08/2024,Yes,180000,Environmental Services,1726773,Public
Service Reform,ITT,Bury MBC,S1003,Banking Services,Banking Services,Barclays Bank plc,E14 5HP,"£44,000.00","£220,000.00",Yes,01/01/2022,31/01/2027,60,60,1,,,31/01/2027,No,200000,Financial Services,1026167,Public
Service Reform,CSO Exception,Salford City Council,S1004,Merchant acquiring (enables the council to accept credit and debit card payments),Merchant acquiring (enables the council to accept credit and debit card payments),Global Pay Solutions,CM20 2BN,"£80,000.00","£400,000.00",No,01/04/2022,31/03/2025,36,12,1,,,31/03/2025,No,200000,Financial Services,8480250,Public
Place,ITT,ESPO 150 - 21,S1005,"TC607: Pest Control Chemicals, Associated Equipment and Training","TC607: Pest Control Chemicals, Associated Equipment and Training",Killgerm Chemicals Ltd,WF5 9AJ,"£10,000.00","£40,000.00",No,01/12/2021,30/11/2025,48,0,0,N/A,N/A,30/11/2025,Yes,180000,Environmental Services,2794829,Public
Place,ITT,Salford City Council,S1006,"YPO 1074: Office Desking, Seating & Storage","YPO 1074: Office Desking, Seating & Storage",H.Jenkinson & Company Ltd,L34 9JR,"£10,000.00","£10,000.00",Yes,22/06/2021,21/06/2024,48,24,2,,,21/06/2024,Yes,210000,Furniture & Soft Furnishings,169844,Public
Service Reform,ITT,Salford City Council,S1008,PSN Public Buildings & Schools,PSN Public Buildings & Schools,British Telecommunications PLC,EC1A 7AJ,"£136,304.00","£681,520.00",Yes,01/10/2014,30/09/2022,60,0,0,N/A,N/A,30/09/2022,No,270000,Information Communication Technology,1800000,Public
Regeneration,Other,Salford City Council,S1009,Charlestown & Lower Kersal Developer Partner,Charlestown & Lower Kersal Developer Partner,Keepmoat Ltd,DN4 5PL, £-   , £-   ,No,12/06/2015,11/04/2024,106,0,0,N/A,N/A,11/04/2024,No,390000,"Works - Construction, Repair & Maintenance",1998780,Public
Service Reform,CSO Exception,Salford City Council,S1010,Archive Services/Secure Off Site Storage,Archive Services/Secure Off Site Storage,Restore Scan Ltd,RH1 5DY,"£25,000.00","£75,000.00",No,01/04/2018,31/03/2022,36,12,1,,,31/03/2022,Yes,190000,Facilities & Management Services,4624743,Public
Place,Other,Salford City Council,S1011,Maintenance and Supply of Fire Fighting Equipment (Extinguishers and Blankets),The contract is to undertake the servicing and replacement of parts and consumables for fire extinguishers and blankets in over 100 council properties.,Firemark Ltd,TA6 4NZ,"£39,524.00","£158,096.00",No,01/07/2019,23/02/2024,80,0,0,N/A,N/A,23/02/2024,Yes,190000,Facilities & Management Services,6299361,Public
Place,Other,Salford City Council,S1012,Installation of Cremators and Abatement Equipment with Ongoing Maintenance,Installation of Cremators and Abatement Equipment with Ongoing Maintenance,Facultatieve Technologies Ltd,LS10 2DD,"£55,000.00","£385,000.00",Yes,01/09/2019,31/08/2025,72,24,2,,,31/08/2025,Yes,120000,Cemetry & Crematorium,633222,Public
Place,ITT,Salford City Council,S1013,Provision of Civil Parking Enforcement Services,Provision of Civil Parking Enforcement Services,NSL Ltd,B3 2JR,"£790,000.00","£3,950,000.00",Yes,01/04/2018,02/04/2024,36,24,2,Yes,Yes,02/04/2024,No,350000,Street & Traffic Management,2362957,Public
Place,ITT,Salford City Council,S1013,Enforcement Services,Enforcement Services,Marston Holdings (NSL Services Ltd),B3 2JR,"£1,159,260.00","£11,592,600.00",Yes,01/04/2023,31/03/2028,60,60,2,,,31/03/2028,No,350200,Street & Traffic Management,6033060,Public
Place,Mini-Comp,YPO 981,S1014,Supply of Liquid Fuels and Heating Oil,Supply of Liquid Fuels and Heating Oil,Standard Fuels,W1U 1QX,"£1,000,000.00","£4,000,000.00",Yes,14/01/2020,31/01/2024,24,24,1,Yes,N/A,31/01/2024,No,380000,Vehicle Management,6667542,Public
Place,CSO Exception,Salford City Council,S1019,Civica Community Protection/Refuse Collection Software System,Civica Community Protection/Refuse Collection Software System,Civica UK Ltd, SW15 6AR ,"£167,622.00","£502,866.00",Yes,01/04/2021,31/03/2025,48,12,3,,,31/03/2025,No,270000,Information Communication Technology,1628868,Public
People,ITT,Salford City Council,S1020,Salford Advocacy Hub,Salford Advocacy Hub,MIND In Salford,M21 0BP,"£391,000.00","£1,173,000.00",,01/07/2023,31/06/2026,36,12,2,,,31/06/2026,Yes,321100,Social Community Care Supplies & Services - Children,1156625,Public
People,CSO Exception,Salford City Council,S1021,Salford Carers Service,Salford Carers Service,The Gaddum Centre,M15 4AX,"£466,390.20","£2,331,951.00",Yes,01/10/2020,30/09/2025,60,12,1,,,30/09/2025,Yes,321000,Social Community Care Supplies & Services - Adult ,507162,Public
Place,ITT,Salford City Council,S1023,Salford Handyperson Service,Salford Handyperson Service,Swinton Community Business T/A Helping Hands,M27 4AU,"£300,000.00","£900,000.00",Yes,01/04/2022,31/03/2025,36,12,1,,,31/03/2025,Yes,190000,Facilities & Management Services,3663823,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Rundle & Co Ltd,LE16 9HB, £-   , £-   ,No,06/10/2020,05/10/2023,36,12,2,,,05/10/2023,No,200000,Financial Services,3231767,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Council Tax and Business Rates,Bristow & Sutor,B98 0FL, £-   , £-   ,No,06/10/2020,05/10/2023,36,12,2,,,05/10/2023,No,200000,Financial Services,1431688,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Marston Holding ,B3 2JR, £-   , £-   ,No,06/10/2020,05/10/2023,36,12,2,,,05/10/2023,Yes,200000,Financial Services,4305487,Public
Service Reform,Mini-Comp,Salford City Council,S1024,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Concession Agreement for Enforcement Agencies for the Collection of Unpaid Penalty Charge Notices,Bristow & Sutor,B98 0FL, £-   , £-   ,No,06/10/2020,05/10/2023,36,12,2,,,05/10/2023,No,200000,Financial Services,1431688,Public
Service Reform,ITT,AGMA and Yorkshire,S1025,Postal Services,Postal Services,Whistl UK Limited,SL7 1TB,"£350,000.00","£1,400,000.00",Yes,01/03/2021,29/02/2024,24,12,2,,,29/02/2024,No,300000,Mail Services ,4417047,Public
People,CSO Exception,Salford City Council,S1026,Intensive Family Key Worker Service,Intensive Family Key Worker Service,Human Kind Charity,DL5 6DS,"£413,543.00","£1,929,172.00",Yes,01/04/2017,31/03/2024,36,48,2,Yes,Yes,31/03/2024,Yes,321100,Social Community Care Supplies & Services - Children,1820492,Public
Service Reform,ITT,Salford City Council,S1027,Provision of Car Club,Provision of Car Club,Co-Wheels,DH1 2LH,"£250,000.00","£1,003,880.00",Yes,01/05/2015,01/04/2024,24,24,2,Yes,Yes,01/04/2024,Yes,380000,Vehicle Management,6512325,Public
People,Mini-Comp,Salford City Council,S1028,Integrated 0-19 Children's Health Service,Integrated 0-19 Children's Health Service,Salford Royal NHS Foundation Trust,M5 4BD,"£5,351,258.00","£32,107,548.00",No,01/04/2017,31/03/2024,36,24,2,Yes,Yes,31/03/2024,Yes,310000,Healthcare,5138092,Public
Service Reform,CSO Exception,Salford City Council,S1029,Provision of Licence Agreement for LACHS,Provision of Licence Agreement for LACHS,JCAD,GU33 6JS,"£9,250.00","£20,990.00",No,19/02/2018,18/02/2026,48,24,2,Yes,Yes,18/02/2026,Yes,270000,Information Communication Technology,7000813,Public 
Public Health,CSO Exception,Salford City Council,S1032,Homeless Support Provision,Homeless Support Provision,Salford Loaves and Fishes,M6 5PL,"£25,000.00","£75,000.00",No,01/04/2020,31/03/2023,36,12,2,,,31/03/2023,No,321000,Social Community Care Supplies & Services - Adult ,6015231,Public
Place,ITT,Salford City Council,S1033,Archaeological Planning Services for the AGMA Authorities,Archaeological Planning Services for the AGMA Authorities,The University of Salford,M5 4WT,"£130,000.00","£1,560,000.00",Yes,01/04/2020,31/03/2026,60,60,3,,,31/03/2032,No,180000,Environmental Services,RC000666,Public
