Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,02/09/2024,1600741764,92911.99,15485.33,77426.66,Oxford Innovation Ltd Re: Salford I,Place,Other Professional Fees
Salford City Council,02/09/2024,6003961632,2230,0,2230,Property Services Mcr,People (Adults),Other Professional Fees
Salford City Council,02/09/2024,601532553,2000,0,2000,Redacted Data,People (Childrens),Release of Provision
Salford City Council,02/09/2024,601532541,104294.45,17382.49,86911.96,Reed Specialist Recruitment Ltd,Resources & Transformation,Agency Fees
Salford City Council,02/09/2024,601532525,2160,360,1800,Salford City Academy,People (Childrens),Payments to Agencies
Salford City Council,02/09/2024,1600742246,4077.74,0,4077.74,Social Care Services (Clayton) Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/09/2024,6003961690,10200,0,10200,The Ainscow,People (Adults),Staff Travel
Salford City Council,02/09/2024,1600742269,2247.68,374.61,1873.07,Thomas Fattorini Ltd,Resources & Transformation,Other Professional Fees
Salford City Council,02/09/2024,1600742270,5066.63,844.44,4222.19,Thomas Fattorini Ltd,Resources & Transformation,Other Professional Fees
Salford City Council,02/09/2024,1600741801,16200,2700,13500,Transport For Greater Manchester,Capital Expenditure,External Fees - Other
Salford City Council,02/09/2024,1600742286,5092.86,0,5092.86,Vision Support Social Ltd,People (Childrens),Payments to Agencies
Salford City Council,02/09/2024,601532534,573.1,0,573.1,Vspg Housing 2 Ltd,People (Adults),Rents
Salford City Council,02/09/2024,601532535,17360,0,17360,Vspg Housing 2 Ltd,People (Adults),Rents
Salford City Council,02/09/2024,1600742244,525.13,87.52,437.61,Yorkshire Purchasing Organisation L,People (Childrens),Cleaning Materials
Salford City Council,02/09/2024,1600742243,822.31,137.05,685.26,Yorkshire Purchasing Organisation L,People (Childrens),Cleaning Materials
Salford City Council,03/09/2024,1600741856,31423.67,0,31423.67,Abbey School,People (Childrens),SEN Expenditure
Salford City Council,03/09/2024,1600741857,31423.67,0,31423.67,Abbey School,People (Childrens),SEN Expenditure
Salford City Council,03/09/2024,6003963913,2987.23,0,2987.23,Adobe,Resources & Transformation,Computer Software (no annual fee)
Salford City Council,03/09/2024,1600742294,2165.04,360.84,1804.2,Apem Ltd,Place,non -UV Building Repairs & Maintenance
Salford City Council,03/09/2024,1600742293,8726.4,1454.4,7272,Apem Ltd,Place,General Contractor Work
Salford City Council,03/09/2024,1600742352,6540.83,0,6540.83,Birtenshaw Hall,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/09/2024,1600742353,6540.83,0,6540.83,Birtenshaw Hall,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/09/2024,1600742354,6540.83,0,6540.83,Birtenshaw Hall,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/09/2024,1600741566,7975.93,0,7975.93,Birtenshaw Hall,People (Childrens),Non-Maintained Special Schools
Salford City Council,03/09/2024,601532763,1196.57,0,1196.57,Bristow & Sutor,Resources & Transformation,VAT Adjustment
Salford City Council,03/09/2024,1600742291,4367.52,727.92,3639.6,Dolphin Mobility Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,03/09/2024,6003963961,1045.09,72.75,972.34,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,03/09/2024,601532779,34892,5815.33,29076.67,Dylan Evans Building Contractors,People (Childrens),non -UV Building Repairs & Maintenance
Salford City Council,03/09/2024,1600741813,11667.52,1944.59,9722.93,General Utilities North West Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/09/2024,1600742299,2139,356.5,1782.5,Image Foundry Studios Ltd,Capital Expenditure,External Fees - Other
Salford City Council,03/09/2024,1600742347,10004.4,1667.4,8337,Ing Media Ltd,Resources & Transformation,Marketing & Publicity
