Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/08/2023,1600715695,936.00,156.00,780.00,A  Venning Ltd,Capital Expenditure,Works & Building
Salford City Council,01/08/2023,6003748689,35793.00,0.00,35793.00,Abbeydale Nursing Home,People (Adults) - CHSC,Residential Care Home
Salford City Council,01/08/2023,6003748817,80322.70,0.00,80322.70,Anchor Trust - Beechfield Lodge,People (Adults) - CHSC,Residential Care Home external funding
Salford City Council,01/08/2023,6003748917,9982.00,0.00,9982.00,Aspire Intelligent Care & Support,People (Adults) - CHSC,Residential Care Home external funding
Salford City Council,01/08/2023,6003748908,2776.00,0.00,2776.00,Bamford Grange,People (Adults) - CHSC,Residential Care Home
Salford City Council,01/08/2023,1600715687,600.00,0.00,600.00,Bethany Family Worship Centre,People (Adults) - CHSC,Hire of Facilities
Salford City Council,01/08/2023,1600715537,4900.80,816.80,4084.00,Bloom Procurement Services Ltd,Place Directorate,Consultants
Salford City Council,01/08/2023,1600715709,1116.00,0.00,1116.00,Care Solutions Recruitment Agency,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/08/2023,1600715314,1968.00,328.00,1640.00,Cornthwaite Agricultural Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/08/2023,1600715320,1968.00,328.00,1640.00,Cornthwaite Agricultural Ltd,Place Directorate,Vehicle annual contract Hire (vms)
Salford City Council,01/08/2023,6003748664,3037.36,0.00,3037.36,Croft House Rest Home,People (Adults) - CHSC,Residential Care Home
Salford City Council,01/08/2023,1600715117,127012.81,0.00,127012.81,Depaul Uk,People (Childrens) Service Group,Payments to Registered Social Landlords
Salford City Council,01/08/2023,1600715714,1422.10,237.02,1185.08,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/08/2023,1600715713,2940.00,490.00,2450.00,F. R. Sharrock Limited,Place Directorate,Equipment Purchase
Salford City Council,01/08/2023,601499444,858.65,0.00,858.65,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,01/08/2023,6003748634,94683.71,0.00,94683.71,Franklin Care Group Ltd,People (Adults) - CHSC,Residential Care Home external funding
Salford City Council,01/08/2023,6003748905,21814.08,0.00,21814.08,Ggs Care Home Limited,People (Adults) - CHSC,Residential Care Home
Salford City Council,01/08/2023,1600715688,1909.08,318.18,1590.90,Great Places Housing Association,Capital Expenditure,External Fees - Other
Salford City Council,01/08/2023,1600715712,1120.80,186.80,934.00,H Jenkinson & Company Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,01/08/2023,6003748888,148514.26,0.00,148514.26,Hc One Ltd - Several Homes,People (Adults) - CHSC,Nursing Home
Salford City Council,01/08/2023,6003748684,48169.05,0.00,48169.05,Heath Cottage Residential Home,People (Adults) - CHSC,Residential Care Home external funding
Salford City Council,01/08/2023,1600715702,682.80,113.80,569.00,Ijm Electrical Contractors Ltd,Service Reform (Corp Bus & Transform),UV Day to Day Repairs
Salford City Council,01/08/2023,1600715704,957.60,159.60,798.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Programmed Repairs
Salford City Council,01/08/2023,1600715707,1183.20,197.20,986.00,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,01/08/2023,1600715706,3532.80,588.80,2944.00,Ijm Electrical Contractors Ltd,Capital Expenditure,Works & Building
Salford City Council,01/08/2023,1600715120,27625.00,0.00,27625.00,My3 Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,01/08/2023,1600715119,39000.00,0.00,39000.00,My3 Ltd,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,01/08/2023,601499457,3625.00,0.00,3625.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,01/08/2023,1600715715,7836.62,1306.10,6530.52,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fees
Salford City Council,01/08/2023,6003748919,3671.71,0.00,3671.71,Pro Support Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,01/08/2023,1600715599,1137.60,189.60,948.00,Randstad Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/08/2023,601499499,1848.40,0.00,1848.40,Redacted Data,People (Adults) - CHSC,Adult Placements Long Term
Salford City Council,01/08/2023,6003748779,2207.44,0.00,2207.44,Redacted Data,People (Adults) - CHSC,Fees & Charges
