Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/10/2024,601535279,1477.99,0,1477.99,Kidz Corner Childcare Ltd,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601535280,1580.55,0,1580.55,Kidz Corner Childcare Ltd,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601535284,1302.77,0,1302.77,Nurturing Hands Childcare Ltd,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601535283,1149.42,0,1149.42,Stepping Stones Day Nurseries Ltd,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601535281,1418,0,1418,The Stables Day Nursery Ltd - Monto,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601535282,1418,0,1418,The Stables Day Nursery Ltd - Monto,People (Childrens),Central Supplies & Services Allocation
Salford City Council,01/10/2024,601534978,3360,560,2800,Schools Data Services Limited,People (Childrens),Classroom Supplies Capitation
Salford City Council,01/10/2024,601535262,525,0,525,Redacted Data,People (Childrens),Client Travel Expenses
Salford City Council,01/10/2024,1600744056,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744057,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744058,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744059,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744060,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744061,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744062,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744063,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744064,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744065,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744066,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744067,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,1600744068,731.63,121.94,609.69,Kingsfield It,Resources & Transformation,Computer Equipment purchase
Salford City Council,01/10/2024,6003978375,3600,0,3600,Digital Topics Ltd ,Resources & Transformation,Computer Software (no annual fee)
Salford City Council,01/10/2024,6003978354,600,0,600,Allpay *Great Places Hous,People (Adults),Equipment Purchase
Salford City Council,01/10/2024,1600739509,1712.69,285.45,1427.24,Entre-Prises Uk Ltd,People (Childrens),Equipment Repair
Salford City Council,01/10/2024,1600744054,20500,0,20500,Citizenlab Nv,Capital Expenditure,External Fees - Other
Salford City Council,01/10/2024,6003978849,519.82,3.2,516.62,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978429,522.04,1.7,520.34,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978571,540.1,13.93,526.17,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978850,546.32,5.57,540.75,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978825,569.08,0,569.08,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978809,609.75,7.28,602.47,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978775,614.45,1.7,612.75,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978542,648.04,12.89,635.15,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978805,662.1,16.72,645.38,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978430,675.31,5.08,670.23,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978692,704.77,30.64,674.13,Dunsters Farm Limited,Place,Food and refreshments
Salford City Council,01/10/2024,6003978668,776.03,0,776.03,Dunsters Farm Limited,Place,Food and refreshments
