Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode, Annual Value , Total Contract Value (including extensions) ,OJEU?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,Mini-Comp,Salford City Council,S1046,DN301415,Black Refuse Sacks,JPK Trade Supplies Ltd,BS31 1SX," £24,026.00 "," £24,026.00 ",No,26/02/2018,25/02/2022,24,24,2,Yes,Yes,25/02/2022,Yes,100000,Building Construction Materials ,2602689,Public 
Service Reform,CSO Exception,Salford City Council,S1010,DN416477,Archive Services/Secure Off Site Storage,Restore Scan Ltd,RH1 5DY," £25,000.00 "," £75,000.00 ",No,01/04/2018,31/03/2022,36,12,1,,,31/03/2022,Yes,190000,Facilities & Management Services,4624743,Public
Place,CSO Exception,Salford City Council,S1228,,AutoCAD Licences,Cadline Limited,WA16 8GP," £64,415.00 "," £64,415.00 ",No,18/11/2019,17/11/2020,12,0,0,N/A,N/A,17/11/2020,No,270000,Information Communication Technology,2486719,Public
Place,ITT,AGMA/STAR,S1111,DN446014,Groceries/Chilled & Frozen Food Supply & Delivery ,Brake Bros  ,TN25 4AG," £1,000,000.00 "," £4,000,000.00 ",Yes,13/07/2015,30/04/2022,42,12,1,Yes,N/A,30/04/2022,No,110000,Catering,2035315,Public
Place,ITT,Salford City Council ,S1168,DN482780,Laundry Services at Vehicle Management and Citywide Services,Elis Ltd,RG24 8NE," £18,000.00 "," £54,000.00 ",No,01/09/2020,31/08/2022,24,12,1,,N/A,31/08/2022,Yes,130000,Cleaning & Janitorial,228604,Public
People,CSO Exception,Salford City Council,S1449,N/A,Talk English Salford ,Train-to-TEFL Ltd,IV1 1EA," £90,506.00 "," £90,506.00 ",No,01/06/2022,31/08/2022,3,0,0,N/A,N/A,31/08/2022,No,401503,Translation,09384909,Public
Service Reform,RFQ,Salford City Council,S1118,,Client Caseload Information System,Career Connect,L2 3YL," £9,282.41 "," £9,282.41 ",No,01/04/2021,31/03/2022,12,0,0,N/A,N/A,31/03/2022,No,321100,Social Community Care Supplies & Services - Children,4233289,Public
Service Reform,Other,Salford City Council,S1047,DN445721,Committee and Decisions Management System,Modern.Gov,N8 0NW," £12,510.00 "," £36,010.00 ",No,01/04/2016,31/03/2018,24,12,2,Yes,Yes,31/12/2021,Yes,270000,Information Communication Technology,2208130,Public
People,Other,STAR Procurement,S1189,,Greater Manchester Residential Framework,Various Providers,Various," £8,239,088.34 "," £16,478,176.68 ",Yes,01/04/2018,31/03/2020,24,24,4,Yes,,31/03/2022,No,321100,Social Community Care Supplies & Services - Children,Various ,Public
Place,ITT,AGMA/STAR,S1112,,"Milk, Bread & Dairy ",Creamline Dairies,M17 1PB," £25,000.00 "," £100,000.00 ",No,01/02/2017,30/04/2022,36,12,1,Yes,N/A,30/04/2022,No,110000,Catering,00396381 ,Public
Place,Mini-Comp,Salford City Council,S1414,DN597012,New Broadwalk PRU Relocation ,Robertson CE Limited,FK9 4TZ," £89,395.00 "," £89,395.00 ",No,25/04/2022,31/12/2022,2,0,0,N/A,N/A,31/12/2022,Yes,391100,"Works - Construction, Repair and Maintenance",SC249935,Public
Place,Mini-Comp,Salford City Council,S1242,DN450748,Plant Hire for Swinton Hall Road Depot - Lot 18,Hire Station Ltd,M50 1AY," £18,000.00 "," £18,000.00 ",No,31/07/2022,31/12/2022,12,12,1,Yes,n/a,31/01/2022,No,100000,Building Construction Materials ,3428037,Public
People,CSO Exception,Salford City Council,S1393,,Jobs Not Prison Project,The Broughton Trust ,M7 1NY ," £29,300.00 "," £29,300.00 ",No,01/04/2021,31/03/2022,12,12,1,,,31/03/2022,Yes,329899,Social Community Care Supplies & Services - Adult,Registered Charity,Public
Place,Mini-Comp,Salford City Council,S1242,DN450748,Plant Hire for Swinton Hall Road Depot - Lot 19,Chippindale Plant Ltd,SK6 2SR," £2,000.00 "," £2,000.00 ",No,31/07/2022,31/12/2022,12,12,1,Yes,n/a,31/12/2022,No,100000,Building Construction Materials ,467731,Public
Place,Mini-Comp,Salford City Council,S1242,DN450748,Plant Hire for Swinton Hall Road Depot - Lot 22,Chippindale Plant Ltd,SK6 2SR," £30,000.00 "," £30,000.00 ",No,31/07/2022,31/12/2022,12,12,1,Yes,n/a,31/01/2022,No,100000,Building Construction Materials ,467731,Public
People,Other,Salford City Council,S1197,,Carer Support,Five Rivers Fostering (Dublin),T12 VP94," £55,075.00 "," £110,150.00 ",No,01/05/2018,30/04/2022,24,24,2,Yes,Yes,30/04/2022,No,321100,Social Community Care Supplies & Services - Children,4236028,Public
Regeneration,Mini-Comp,Salford City Council,S1108,DN329375,Responsive Repairs Framework,Schofield & Sons Ltd,M30 9PS," £300,000.00 "," £300,000.00 ",Yes,06/08/2022,05/08/2024,24,12,2,,,05/08/2024,Yes,390000,"Works - Construction, Repair & Maintenance",025459259,Public
People,CSO Exception,Salford City Council,S1373,,Reducing Parenting Conflict Training,OnePlusOne,EC2Y 5AU," £9,500.00 "," £19,000.00 ",No,10/06/2021,31/05/2023,12,12,1,Yes,N/A,31/05/2023,Yes,401402,Troubled Families,4133340,Public
People,CSO Exception,Salford City Council,S1374,,Reducing Parenting Conflict Training,Amity Relationship Solutions,S70 5PG," £12,500.00 "," £25,000.00 ",No,10/06/2021,31/05/2023,12,12,1,Yes,N/A,31/05/2023,No,401402,Troubled Families,11930484,Public
Service Reform,Other,Salford City Council,S1127,,EHC Hub,IDOX, RG7 4SA ," £65,000.00 "," £65,000.00 ",,01/04/2018,31/03/2019,12,24,,,,30/04/2019,No,270000,Information Communication Technology,3984070,Public
People,Other,Salford City Council,S1161,,Group Based Activities for Children with Disabilities (Small Grants),"Salford Community and Voluntary
Services (SCVS)",M30 0FN," £90,000.00 "," £270,000.00 ",No,01/04/2017,26/06/2022,12,12,2,Yes,Yes,26/06/2022,No,321100,Social Community Care Supplies & Services - Children,1948293,Public
People,CSO Exception,Salford City Council,S1200,,Governor Services Software,Ortoo Technologies Ltd,NR28 0DX," £16,260.00 "," £65,040.00 ",No,01/07/2019,30/06/2024,48,12,1,,,30/06/2024,No,270000,Information Communication Technology,8142817,Public
Service Reform,CSO Exception,Salford City Council,S1087,DN445726,Enterprise Resource Planning Solution Software Package,SAP UK Ltd,TW14 8HD," £245,426.00 "," £1,227,130.00 ",Yes,01/04/2016,31/03/2021,60,0,0,N/A,N/A,31/03/2021,No,270000,Information Communication Technology,2152073,Public
Regeneration,Mini-Comp,Salford City Council,S1108,DN329375,Responsive Repairs Framework,G Jones Builders,M28 3FJ," £50,000.00 "," £50,000.00 ",Yes,06/08/2022,05/08/2024,24,12,2,,,05/08/2024,Yes,390000,"Works - Construction, Repair & Maintenance",4928174,Public
Place ,Other,Salford City Council,S1131,DN330290,Self-Service – RFID – Equipment (Books) ,Bibliotheca Ltd,SK8 7BS," £138,745.00 "," £138,745.00 ",No,01/07/2018,30/06/2022,36,12,2,Yes,,30/06/2022,Yes,270000,Information Communication Technology,2983151,Public
Place,ITT,Salford City Council,S1211,DN452639,Specialist Vehicle Hire,Leeds Commercial Vehicle Hire,M50 2GL," £180,000.00 "," £180,000.00 ",No,01/02/2020,01/07/2022,13,0,0,N/A,N/A,01/07/2022,No,380000,Vehicle Management,587618,Public
Place,Mini-Comp,Salford City Council,S1042,DN298493,Supply of Compostable Liners,Cromwell Polythene Ltd,LS25 6PL," £98,000.00 "," £392,000.00 ",No,01/12/2017,30/11/2021,24,24,2,Yes,Yes,30/11/2021,Yes,180000,Environmental Services,2230104,Public
People,CSO Exception,Salford City Council,S1249,,Coordination of Learning City Work & Developing Parental Learning Hub,The Broughton Trust ,M7 1NY," £25,000.00 "," £25,000.00 ",No,02/03/2020,31/07/2022,30,12,1,Yes,N/A,31/07/2022,No,321100,Social Community Care Supplies & Services - Children,3900840,Public
Place,Other,Salford City Council,S1173,DN419187,Tools & Equipment,P F Cusack (Tool Supplies) Ltd,N7 6NJ," £50,000.00 "," £50,000.00 ",No,01/02/2020,31/01/2022,12,0,0,N/A,N/A,15/05/2022,Yes,230000,Highway Equipment & Materials ,2404505,Public
People,CSO Exception,Salford City Council,S1248,,Learning City Work & Developing the Women's Project,Salford Foundation Limited,M5 4BD," £15,000.00 "," £40,000.00 ",No,02/03/2020,31/07/2022,30,12,1,Yes,N/A,31/07/2022,No,321100,Social Community Care Supplies & Services - Children,1002482,Public 
People,ITT,Salford City Council,S1064,DN122610,"Special Educational Needs and Disabilities Brokerage, Support, Training and Advice Service for schools and families in the Orthodox Jewish Communities in Salford","The Centre for Specialist Educational Assistance
Ltd (known as Binoh of Manchester)",M7 4GP," £55,360.00 "," £254,300.00 ",No,01/09/2022,31/08/2023,48,24,2,Yes,Yes,31/08/2023,Yes,170000,Education,3228893,Public
Place,Other,Salford City Council,S1149,,Inspection and Testing of Existing Lighting Protection System SCC,Best Services Ltd,WF10 5HW," £6,480.00 "," £14,300.00 ",No,01/04/2022,31/03/2025,36,0,0,N/A,N/A,31/03/2025,Yes,190000,Facilities & Management Services,591982,Public 
Service Reform,CSO Exception,Salford City Council,S1079,DN446054,Internet Provision (Corporate),Virgin Media Business Ltd,RG2 6UU," £30,000.00 "," £30,000.00 ",No,01/04/2021,31/03/2022,12,0,0,N/A,N/A,31/03/2022,No,270000,Information Communication Technology,1785381,Public
Service Reform,ITT,Salford City Council,S1088,,Leased Lines (Wireless),Ingenitech Ltd,SK8 5LL," £225,000.00 "," £225,000.00 ",Yes,01/07/2014,30/06/2018,48,0,0,N/A,N/A,30/06/2018,No,270000,Information Communication Technology,4598488,Public
Service Reform,ITT,Salford City Council,S1067,,Mobile Voice and Data Services,Everything Everywhere (EE),AL10 9BW," £78,000.00 "," £370,000.00 ",Yes,15/03/2017,31/07/2022,33,12,1,,,31/07/2022,No,270000,Information Communication Technology,8263590,Public
Place,Mini-Comp,Salford City Council,S1063,DN330290,Open Access Self Service Solutions in Libraries,Bibliotheca LTD,SK8 7BS," £20,883.00 "," £20,883.00 ",No,01/06/2018,31/05/2022,48,0,0,N/A,N/A,31/05/2022,No,270000,Information Communication Technology,2983151,Public
Service Reform,ITT,Salford City Council,S1008,N/A,PSN Public Buildings & Schools,British Telecommunications PLC,EC1A 7AJ," £136,304.00 "," £681,520.00 ",Yes,01/10/2014,30/09/2022,60,0,0,N/A,N/A,30/09/2022,No,270000,Information Communication Technology,1800000,Public
Service Reform,Other,Salford City Council,S1049,DN413340,Supply of Paper & Card,Premier Paper,M41 7PA," £29,205.80 "," £116,823.20 ",No,01/04/2017,31/03/2019,24,24,1,,,31/03/2019,No,340000,Stationery  ,3672117,Public
Public Health,Mini-Comp,Salford City Council,S1070,DN62445,Tech and Tea Programme,Salford Third Sector Consortium,M30 0FN," £145,000.00 "," £205,416.67 ",Yes,26/10/2017,30/09/2022,60,12,1,Yes,,30/09/2022,Yes,321100,Social Community Care Supplies & Services - Children,8328565,Public
Place,CSO Exception,Salford City Council,S1034,,The Servicing and Maintenance of Air Conditioning and Air Handling Units ,ECG Facilities Services Ltd,G72 0ND," £16,433.94 "," £16,433.94 ",No,01/04/2021,31/03/2022,12,12,2,,,31/03/2022,Yes,101700,Heating and Air Conditioning,SC298533,Public
