Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,01/02/2023,601482212,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482214,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482215,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482216,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482219,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,6003645875,4058.52,0.00,4058.52,Chicken Joes Ltd,Place Directorate,Food and refreshments
Salford City Council,01/02/2023,6003645914,2015.00,0.00,2015.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,6003645873,2860.00,0.00,2860.00,Divrse Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482120,1287.00,0.00,1287.00,Dukesgate Academy,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,1600703587,7443.34,0.00,7443.34,Egerton High School,People (Childrens) Service Group,Payments to Other Local Authorities
Salford City Council,01/02/2023,601482245,1380.66,0.00,1380.66,Ena Investment Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,1600703584,20338.91,3389.82,16949.09,Enviro Technology Services Plc,Place Directorate,Sampling
Salford City Council,01/02/2023,1600702866,50975.25,8495.88,42479.37,Eric Wright Civil Engineering Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/02/2023,1600701592,303947.02,50657.84,253289.18,Eric Wright Civil Engineering Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/02/2023,601482138,594.00,0.00,594.00,Fairhills Playgroup Pre-School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482072,545.02,90.84,454.18,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,01/02/2023,601482077,564.30,94.05,470.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,01/02/2023,601482073,575.95,95.99,479.96,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,01/02/2023,601482071,1047.40,174.57,872.83,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,01/02/2023,601482070,1108.50,184.75,923.75,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,01/02/2023,601482085,1063.30,0.00,1063.30,Great Places Housing Association,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482141,1089.00,0.00,1089.00,Happy Feet Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,1600703588,690.61,115.10,575.51,Idox Software Ltd,Place Directorate,Computer Maintenance
Salford City Council,01/02/2023,1600703597,1980.00,330.00,1650.00,Jep Youth Engagement Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,01/02/2023,1600703672,5940.00,990.00,4950.00,Jep Youth Engagement Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,01/02/2023,1600703671,6912.00,1152.00,5760.00,Jep Youth Engagement Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,01/02/2023,6003645872,622.00,0.00,622.00,Jet2.Com Ltd7980072498773,Place Directorate,Staff Travel
Salford City Council,01/02/2023,601482246,531.54,0.00,531.54,Kaleidoscope Assessment Services,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482274,592.88,0.00,592.88,Kaleidoscope Investments Nw Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482148,891.00,0.00,891.00,Kiddiewinkles Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482150,792.00,0.00,792.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482152,792.00,0.00,792.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482153,1584.00,0.00,1584.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482151,1881.00,0.00,1881.00,Kids Planet Day Nurseries Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482155,693.00,0.00,693.00,Kidz Corner Childcare Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482410,10000.00,0.00,10000.00,Kosher Savers Ltd,People (Adults) - CHSC,Food and refreshments
Salford City Council,01/02/2023,601482161,1188.00,0.00,1188.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482239,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482240,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482201,584.05,97.34,486.71,Manchester Alcock & Bradshaw,Place Directorate,Servicing
Salford City Council,01/02/2023,601482210,547.10,0.00,547.10,Marshmallow Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482169,1386.00,0.00,1386.00,Mice To Meet You Playgroup Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482276,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482281,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482282,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482283,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482284,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482285,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482286,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482287,531.54,0.00,531.54,Psc Property Investments,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482221,2067.29,0.00,2067.29,Radnor Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482177,792.00,0.00,792.00,Rainbows Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482107,693.11,0.00,693.11,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,01/02/2023,601482102,800.00,0.00,800.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,01/02/2023,601482236,505.01,0.00,505.01,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482265,512.19,0.00,512.19,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482267,512.19,0.00,512.19,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482268,512.19,0.00,512.19,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482203,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482207,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482230,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482262,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482205,536.56,0.00,536.56,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482259,539.32,0.00,539.32,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482208,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482247,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482249,550.99,0.00,550.99,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482223,570.43,0.00,570.43,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482252,592.88,0.00,592.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482209,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482250,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482204,756.42,0.00,756.42,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482288,776.87,0.00,776.87,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482232,776.87,0.00,776.87,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482260,804.84,0.00,804.84,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482222,981.29,0.00,981.29,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482233,1114.52,0.00,1114.52,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482243,1341.40,0.00,1341.40,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482248,1341.40,0.00,1341.40,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482279,1410.82,0.00,1410.82,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482237,1515.02,0.00,1515.02,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482280,1586.66,0.00,1586.66,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482258,1609.68,0.00,1609.68,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482393,99224.16,16537.28,82686.88,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,01/02/2023,601482392,102793.13,17132.03,85661.10,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,01/02/2023,601482407,660.00,110.00,550.00,Rm Education Plc,People (Childrens) Service Group,Computer Software (no annual fee)
Salford City Council,01/02/2023,601482178,594.00,0.00,594.00,Roobyloos Nursery Worsley Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,1600703655,702.72,117.12,585.60,Saint-Gobain Building Distribution,Place Directorate,Materials
Salford City Council,01/02/2023,601482117,685.46,0.00,685.46,Salix Homes Ltd,Place Directorate,Tenants Rental
Salford City Council,01/02/2023,601482075,21181.75,3530.29,17651.46,Smoothwall Limited,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,01/02/2023,1600703663,4500.00,750.00,3750.00,Social Value Portal Ltd,Place Directorate,Other Professional Fees
Salford City Council,01/02/2023,601482122,891.00,0.00,891.00,St Augustine'S C Of E Primary School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,6003645885,885.00,0.00,885.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,01/02/2023,601482142,693.00,0.00,693.00,T/A Holly House Day Nursery,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482145,792.00,0.00,792.00,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482121,792.00,0.00,792.00,T/A Marlborough Road Academy,People (Childrens) Service Group,Payments to Private Providers
