Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/05/2024,1600733439,3600,600,3000,Abbott Rapid Diagnostics Ltd,People (Adults),Equipment Purchase
Salford City Council,01/05/2024,601522081,1250,0,1250,Aim Habonim School,People (Childrens),Payments to Agencies
Salford City Council,01/05/2024,601522097,1250,0,1250,Aim Habonim School,People (Childrens),Payments to Private Providers
Salford City Council,01/05/2024,1600733509,1253.04,208.84,1044.2,Alliance Disposables Ltd,Place,Cleaning Materials
Salford City Council,01/05/2024,1600733450,1420,236.67,1183.33,Appliance World (North West) Ltd,People (Childrens),Equipment Purchase
Salford City Council,01/05/2024,601522078,910,0,910,Auntie Stephs Playgroup,People (Childrens),Release of Provision
Salford City Council,01/05/2024,6003900592,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900598,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900604,6120,0,6120,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900605,6120,0,6120,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900613,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900616,6120,0,6120,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900627,4590,0,4590,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900657,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900662,6120,0,6120,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900664,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,6003900665,1428,0,1428,Barton Huxley Management,People (Adults),Payments to Private Providers
Salford City Council,01/05/2024,601522105,600,0,600,Beis Malka Beiz Girls-Nursery,People (Childrens),Payments to Private Providers
Salford City Council,01/05/2024,601522099,1000,0,1000,Beltodam Ltd T/A Early Learning Chi,People (Childrens),Payments to Private Providers
Salford City Council,01/05/2024,601522106,1200,0,1200,Bnos Margulis Viznitz Girls School,People (Childrens),Payments to Private Providers
Salford City Council,01/05/2024,6003900636,908.94,0,908.94,Booker Limited Ecom,People (Childrens),Food and refreshments
Salford City Council,01/05/2024,601522082,1250,0,1250,Care Chiefs,People (Childrens),Payments to Agencies
