Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description,
Salford City Council,01/07/2024,601527624,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527625,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527626,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527627,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527628,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527629,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527630,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,601527631,531.54,0.00,531.54,Psc Property Investments,People (Adults),Rents,
Salford City Council,01/07/2024,1600737373,7854.00,0.00,7854.00,Quality Sport Holiday Clubs Ltd,People (Adults),Grants,
Salford City Council,01/07/2024,601527601,2067.29,0.00,2067.29,Radnor Investments Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,1600737355,5280.00,880.00,4400.00,Reach Publishing Services Ltd,Place,Legal Fees,
Salford City Council,01/07/2024,1600737332,4500.00,0.00,4500.00,Reach-In For Care Ltd,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,601527676,664.80,0.00,664.80,Redacted Data,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527636,776.87,0.00,776.87,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527642,653.61,0.00,653.61,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527621,866.24,0.00,866.24,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527641,531.54,0.00,531.54,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527640,776.87,0.00,776.87,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527677,2860.00,0.00,2860.00,Redacted Data,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527648,505.01,0.00,505.01,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527603,539.32,0.00,539.32,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527661,723.20,0.00,723.20,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527660,585.99,0.00,585.99,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527656,633.77,0.00,633.77,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527652,715.53,0.00,715.53,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527654,715.53,0.00,715.53,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527655,715.53,0.00,715.53,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527653,970.34,0.00,970.34,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527613,570.43,0.00,570.43,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527657,531.54,0.00,531.54,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,1600737308,2640.00,0.00,2640.00,Redacted Data,Place,Training expenses,
Salford City Council,01/07/2024,601527635,1361.03,0.00,1361.03,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527634,1402.82,0.00,1402.82,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527615,550.99,0.00,550.99,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527622,1609.68,0.00,1609.68,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527604,531.54,0.00,531.54,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,601527577,1848.40,0.00,1848.40,Redacted Data,People (Adults),Adult Placements Long Term,
Salford City Council,01/07/2024,601527680,727.40,0.00,727.40,Redacted Data,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527666,698.39,0.00,698.39,Redacted Data,People (Adults),Rents,
Salford City Council,01/07/2024,1600737419,2029.24,338.21,1691.03,Reed Talent Solutions,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600737360,579.25,96.54,482.71,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737350,641.70,106.95,534.75,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737358,641.70,106.95,534.75,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737362,641.70,106.95,534.75,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737352,677.72,112.95,564.77,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737357,677.72,112.95,564.77,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737361,677.72,112.95,564.77,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737367,677.72,112.95,564.77,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737353,898.12,149.69,748.43,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737356,898.12,149.69,748.43,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737359,898.12,149.69,748.43,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,1600737351,1700.57,283.43,1417.14,Reflex Vehicle Hire Ltd,Place,Vehicle annual contract Hire (vms),
Salford City Council,01/07/2024,6003930823,43998.62,0.00,43998.62,Ricoh Uk Limited,Resources & Transformation,Printing & Photocopying,
Salford City Council,01/07/2024,1600737286,7500.00,0.00,7500.00,Right-Step Ltd,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600737370,7957.20,0.00,7957.20,Salford Arts Theatre,People (Adults),Grants - Externally Funded,
Salford City Council,01/07/2024,601527450,3991.52,0.00,3991.52,Salford Community Leisure Ltd,Resources & Transformation,VAT Adjustment,
Salford City Council,01/07/2024,1600736554,71677.00,0.00,71677.00,Salford Foundation Ltd,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600736553,208250.00,0.00,208250.00,Salford Foundation Ltd,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600736556,65896.88,10982.81,54914.07,Salford Schools Solutions Ltd,People (Childrens),Unitary Charge,
Salford City Council,01/07/2024,1600737438,6600.00,0.00,6600.00,Sally Richardson Edtech Psychology,People (Childrens),Other Professional Fees,
Salford City Council,01/07/2024,1600737204,528.19,88.03,440.16,Schofield & Sons Ltd,Place,UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737222,534.32,89.05,445.27,Schofield & Sons Ltd,Place,UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737185,852.29,142.05,710.24,Schofield & Sons Ltd,People (Childrens),UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737139,972.48,162.08,810.40,Schofield & Sons Ltd,People (Childrens),UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737131,983.22,163.87,819.35,Schofield & Sons Ltd,Place,UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737132,1985.76,330.96,1654.80,Schofield & Sons Ltd,Place,UV Day to Day Repairs,
Salford City Council,01/07/2024,1600737293,6500.00,0.00,6500.00,Silverdale Primary Academy,People (Childrens),Consultants,
Salford City Council,01/07/2024,1600737392,6000.00,1000.00,5000.00,Soft Surfaces Limited,Capital Expenditure,Payments to Contractors - Improvements,
Salford City Council,01/07/2024,6003930893,3600.00,0.00,3600.00,Sp Aldi Grocery Vouc,People (Childrens),Food and refreshments,
Salford City Council,01/07/2024,6003930890,1308.76,0.00,1308.76,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,01/07/2024,6003930897,3080.00,0.00,3080.00,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,01/07/2024,1600737417,7273.75,0.00,7273.75,Staff Resources Limited,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600737283,1300.00,0.00,1300.00,Step Ahead Resource Services Ltd,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,601527638,1901.31,0.00,1901.31,Tdr Homes Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527639,2535.08,0.00,2535.08,Tdr Homes Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,1600737372,1478.30,246.38,1231.92,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,01/07/2024,1600737444,571.44,95.24,476.20,Teaching Personnel Ltd,People (Childrens),Mandat Student,
Salford City Council,01/07/2024,1600737445,571.44,95.24,476.20,Teaching Personnel Ltd,People (Childrens),Mandat Student,
Salford City Council,01/07/2024,601527451,94000.00,0.00,94000.00,The Landing At Mediacity Uk Ltd T/A,Place,Grants,
Salford City Council,01/07/2024,1600736550,60499.99,10083.33,50416.66,The Lowry Centre Trust,Place,Miscellaneous Expenses,
Salford City Council,01/07/2024,1600737383,5400.00,0.00,5400.00,The Salford Diocesan Trust,People (Childrens),Leisure Activity,
Salford City Council,01/07/2024,1600736507,21691.01,0.00,21691.01,Together Trust,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,1600736504,28785.67,0.00,28785.67,Together Trust,People (Childrens),Payments to Agencies,
Salford City Council,01/07/2024,601527645,715.53,0.00,715.53,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527612,829.75,0.00,829.75,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527608,856.44,0.00,856.44,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527644,1103.95,0.00,1103.95,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527609,1217.04,0.00,1217.04,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527610,1217.04,0.00,1217.04,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527611,1217.04,0.00,1217.04,Travis Property Development Ltd,People (Adults),Rents,
Salford City Council,01/07/2024,601527670,856.00,0.00,856.00,Unifyenergy,Place,Electricity,
Salford City Council,01/07/2024,601527668,1223.70,0.00,1223.70,Unifyenergy,Place,Electricity,
Salford City Council,01/07/2024,601527671,1115.90,0.00,1115.90,Unifyenergy,Place,Gas,
Salford City Council,01/07/2024,601527694,10065.00,0.00,10065.00,Ups Building & Maintenance Ltd,Capital Expenditure,Improvement Grants,
Salford City Council,01/07/2024,601527682,647.71,0.00,647.71,Vision For Education Ltd,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527688,647.71,0.00,647.71,Vision For Education Ltd,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527684,809.64,0.00,809.64,Vision For Education Ltd,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,601527686,809.64,0.00,809.64,Vision For Education Ltd,People (Childrens),Pupil Assistance,
Salford City Council,01/07/2024,1600737276,809.64,134.94,674.70,Vision For Education Ltd,People (Childrens),Mandat Student,
Salford City Council,01/07/2024,1600737277,809.64,134.94,674.70,Vision For Education Ltd,People (Childrens),Mandat Student,
Salford City Council,01/07/2024,1600737300,1874.10,312.35,1561.75,Whistl Uk Ltd,Resources & Transformation,Postage,
Salford City Council,01/07/2024,1600737391,2381.36,396.89,1984.47,Whistl Uk Ltd,Resources & Transformation,Postage,
Salford City Council,01/07/2024,1600737299,9545.80,1590.97,7954.83,Whistl Uk Ltd,Resources & Transformation,Postage,
Salford City Council,01/07/2024,1600737378,4527.60,0.00,4527.60,You Can Community Club Hq,People (Adults),Grants - Externally Funded,
Salford City Council,02/07/2024,601527774,2916.00,486.00,2430.00,0161 Project Ltd,People (Childrens),Classroom Supplies Capitation,
Salford City Council,02/07/2024,1600737506,6250.00,0.00,6250.00,42nd Street,People (Childrens),Other Professional Fees,
Salford City Council,02/07/2024,6003931009,56201.30,0.00,56201.30,Abbeydale Nursing Home,People (Adults),Nursing Home,
Salford City Council,02/07/2024,601527760,4140.00,690.00,3450.00,Addleshaw Goddard Llp,Resources & Transformation,Legal Fees,
Salford City Council,02/07/2024,601527759,9420.00,1570.00,7850.00,Addleshaw Goddard Llp,Resources & Transformation,Legal Fees,
Salford City Council,02/07/2024,1600736679,10756.13,1792.69,8963.44,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other,
Salford City Council,02/07/2024,1600736682,13207.78,2201.30,11006.48,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other,
Salford City Council,02/07/2024,1600737557,1400.00,0.00,1400.00,Afruca Safeguarding Children,People (Childrens),Other Professional Fees,
Salford City Council,02/07/2024,1600737576,576.00,0.00,576.00,Alcedo Orange Limited,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737514,855.40,0.00,855.40,Alcedo Orange Limited,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737570,1050.00,0.00,1050.00,Alcedo Orange Limited,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,6003931052,72425.94,0.00,72425.94,Anchor Trust - Beechfield Lodge,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,1600737484,3536.67,0.00,3536.67,Ashgate Specialist Support Primary,People (Childrens),Payments to Other Local Authorities,
Salford City Council,02/07/2024,1600737469,7269.60,1211.60,6058.00,Barcham Trees Plc,Capital Expenditure,Payments to Contractors - Improvements,
Salford City Council,02/07/2024,6003931020,61312.00,0.00,61312.00,Beenstock Home Management Co Ltd,People (Adults),Nursing Home,
Salford City Council,02/07/2024,1600737006,578.40,96.40,482.00,Bid Group Ltd,Place,UV Minor Decoration and Flooring,
Salford City Council,02/07/2024,1600737477,6000.00,1000.00,5000.00,Bloom Procurement Services Ltd,Capital Expenditure,External Fees - Other,
Salford City Council,02/07/2024,1600737476,7200.00,1200.00,6000.00,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building,
Salford City Council,02/07/2024,1600737568,9893.28,1648.88,8244.40,C Smithies Builders,Capital Expenditure,Improvement Grants,
Salford City Council,02/07/2024,601527901,909.00,151.50,757.50,Child In Mind Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,601527795,900.00,0.00,900.00,Cityzen Property Management,People (Adults),Grants,
Salford City Council,02/07/2024,6003931027,25618.44,0.00,25618.44,Claremont Lodge Care Ltd,People (Adults),Residential Care Home external funding,
Salford City Council,02/07/2024,1600737459,599.72,99.95,499.77,Click Fire & Security Ltd - 24 Acco,Place,UV Day to Day Repairs,
Salford City Council,02/07/2024,1600737467,599.72,99.95,499.77,Click Fire & Security Ltd - 24 Acco,Place,UV Day to Day Repairs,
Salford City Council,02/07/2024,1600736697,10680.00,1780.00,8900.00,Cms Cameron Mckenna Nabarro Olswang,Capital Expenditure,Legal Fees,
Salford City Council,02/07/2024,1600737577,1944.00,324.00,1620.00,Colin Masters Decorators Ltd,Place,non -UV Building Repairs & Maintenance,
Salford City Council,02/07/2024,1600737583,1314.00,219.00,1095.00,Colin Masters Decorators Ltd,Capital Expenditure,Other Works,
Salford City Council,02/07/2024,6003930975,3301.60,0.00,3301.60,Croft House Rest Home,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,6003930991,11656.56,0.00,11656.56,Cuerden Developments,People (Adults),Nursing Home,
Salford City Council,02/07/2024,601527799,28794.85,4028.91,24765.94,Drax Energy Solutions,Resources & Transformation,Electricity,
Salford City Council,02/07/2024,601527805,236133.48,28838.65,207294.83,Drax Energy Solutions,Resources & Transformation,Electricity,
Salford City Council,02/07/2024,601527797,145576.67,24274.02,121302.65,Drax Energy Solutions,Place,Electricity,
Salford City Council,02/07/2024,1600737453,7348.32,1224.72,6123.60,Egbert H Taylor & Co Ltd,Place,Equipment Purchase,
Salford City Council,02/07/2024,1600736688,14933.04,2488.84,12444.20,Egbert H Taylor & Co Ltd,Place,Equipment Purchase,
Salford City Council,02/07/2024,6003930963,11089.16,0.00,11089.16,Engage Support,People (Adults),Supported Tenancies,
Salford City Council,02/07/2024,1600736632,11641.50,1940.25,9701.25,Essential Mediation Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600736648,10268.62,1711.44,8557.18,Exclusec Group Ltd,Resources & Transformation,Security Services,
Salford City Council,02/07/2024,1600737457,842.76,140.46,702.30,F. R. Sharrock Limited,Place,VMS Materials (Non Stock),
Salford City Council,02/07/2024,601527912,2000.00,0.00,2000.00,Forhousing Ltd,People (Adults),Rents,
Salford City Council,02/07/2024,601527791,984.00,0.00,984.00,Forviva,People (Adults),Grants,
Salford City Council,02/07/2024,601527794,5314.57,0.00,5314.57,Forviva,People (Adults),Grants,
Salford City Council,02/07/2024,6003930964,89590.08,0.00,89590.08,Franklin Care Group Ltd,People (Adults),Residential Care Home external funding,
Salford City Council,02/07/2024,1600736606,10500.00,1750.00,8750.00,From The Other Ltd,Capital Expenditure,External Fees - Other,
Salford City Council,02/07/2024,6003931092,32774.96,0.00,32774.96,Ggs Care Home Limited,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,6003930970,7652.00,0.00,7652.00,Grace247Care,People (Adults),Supported Tenancies,
Salford City Council,02/07/2024,1600737497,2400.00,0.00,2400.00,Greater Manchester Travelcards Ltd,People (Childrens),Pupil Assistance,
Salford City Council,02/07/2024,1600737498,1075.20,179.20,896.00,H Jenkinson & Company Ltd,Place,Furniture,
Salford City Council,02/07/2024,1600737460,3465.00,0.00,3465.00,Happy Feet Day Nursery,People (Adults),Grants - Externally Funded,
Salford City Council,02/07/2024,601527800,1219.76,37.85,1181.91,Harlech Fodservice Ltd,People (Childrens),Food and refreshments,
Salford City Council,02/07/2024,6003931081,100336.10,0.00,100336.10,Hc One Ltd - Several Homes,People (Adults),Nursing Home,
Salford City Council,02/07/2024,6003931007,46899.90,0.00,46899.90,Heath Cottage Residential Home,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,1600736633,11284.00,0.00,11284.00,Independent Together Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737542,672.00,112.00,560.00,Jep Youth Engagement Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737544,672.00,112.00,560.00,Jep Youth Engagement Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737541,12324.00,2054.00,10270.00,Jep Youth Engagement Ltd,People (Childrens),Payments to Agencies,
Salford City Council,02/07/2024,1600737502,2448.00,408.00,2040.00,Jep Youth Engagement Ltd,People (Childrens),Mandat Student,
Salford City Council,02/07/2024,1600737529,4968.00,828.00,4140.00,Jep Youth Engagement Ltd,People (Childrens),Mandat Student,
Salford City Council,02/07/2024,1600737571,8210.52,1368.42,6842.10,Kdb Services Ltd,Capital Expenditure,Improvement Grants,
Salford City Council,02/07/2024,1600737495,12638.80,0.00,12638.80,Kidz Corner Childcare Ltd,People (Adults),Grants - Externally Funded,
