Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description,
Salford City Council,02/07/2024,6003930990,3376.00,0.00,3376.00,Lentulus Propeties Ltd,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,1600727688,1665.00,0.00,1665.00,Lexis Nexis Relx,Resources & Transformation,Subscriptions,
Salford City Council,02/07/2024,1600736482,792.00,132.00,660.00,Life Environmental Services Ltd,Capital Expenditure,Works & Building,
Salford City Council,02/07/2024,1600737503,1539.60,256.60,1283.00,Manchester City Council,Resources & Transformation,Legal Fees,
Salford City Council,02/07/2024,1600736629,257176.16,0.00,257176.16,Manchester City Council,Resources & Transformation,Other Professional Fees,
Salford City Council,02/07/2024,1600737482,1987.50,331.25,1656.25,Midas It (Uk) Ltd,Place,Subscriptions,
Salford City Council,02/07/2024,1600737540,960.00,160.00,800.00,Mindjam,People (Childrens),Mandat Student,
Salford City Council,02/07/2024,601527909,750.00,0.00,750.00,Next Move 4U Ltd,People (Adults),Rents,
Salford City Council,02/07/2024,601527916,2664.25,444.04,2220.21,O2 (Uk)  Limited,Resources & Transformation,Telephones and Faxes,
Salford City Council,02/07/2024,601527914,11472.00,1912.00,9560.00,O2 (Uk)  Limited,Resources & Transformation,Equipment Purchase,
Salford City Council,02/07/2024,1600737470,520.00,0.00,520.00,Oakwood Academy,People (Childrens),Pupil Assistance,
Salford City Council,02/07/2024,6003931063,101698.72,0.00,101698.72,Park Homes (Uk) Ltd,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,6003931062,124174.81,0.00,124174.81,Park Homes (Uk) Ltd,People (Adults),Residential Care Home,
Salford City Council,02/07/2024,601527889,1485.00,0.00,1485.00,Paypoint Plc,People (Adults),Gas,
Salford City Council,02/07/2024,1600735945,23042.29,3840.38,19201.91,Phoenix Software Ltd,Resources & Transformation,Computer Software (no annual fee),
Salford City Council,02/07/2024,1600736742,-23097.31,-3849.55,-19247.76,Phoenix Software Ltd,Resources & Transformation,IT  Licence Fees,
Salford City Council,02/07/2024,1600736783,1564.94,260.82,1304.12,Phoenix Software Ltd,Resources & Transformation,IT  Licence Fees,
Salford City Council,02/07/2024,6003931095,1253.03,0.00,1253.03,Pro Support Ltd,People (Adults),Supported Tenancies,
Salford City Council,02/07/2024,601527894,1428.00,238.00,1190.00,Property Services Mcr Ltd,People (Adults),Contractors,
Salford City Council,02/07/2024,601527803,540.00,90.00,450.00,Property Services Mcr Ltd,People (Adults),Furniture,
Salford City Council,02/07/2024,601527903,720.00,120.00,600.00,Property Services Mcr Ltd,People (Adults),Furniture,
Salford City Council,02/07/2024,6003931693,1544.96,0.00,1544.96,Redacted Data,People (Adults),Fees & Charges,
Salford City Council,02/07/2024,6003931618,3090.32,0.00,3090.32,Redacted Data,People (Adults),Fees & Charges,
Salford City Council,02/07/2024,1600737481,1123.65,0.00,1123.65,Redacted Data,People (Childrens),Sub Contractors,
Salford City Council,02/07/2024,6003930805,592.80,0.00,592.80,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003931845,604.00,0.00,604.00,Redacted Data,People (Adults),Payment to social care clients,
Salford City Council,02/07/2024,6003930808,608.00,0.00,608.00,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003930796,621.00,0.00,621.00,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003930819,650.40,0.00,650.40,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003931754,690.30,0.00,690.30,Redacted Data,People (Adults),Payment to social care clients,
Salford City Council,02/07/2024,6003931665,739.20,0.00,739.20,Redacted Data,People (Adults),Payment to social care clients,
Salford City Council,02/07/2024,6003931719,746.68,0.00,746.68,Redacted Data,People (Adults),Payment to social care clients,
Salford City Council,02/07/2024,6003930816,801.50,0.00,801.50,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003930794,844.56,0.00,844.56,Redacted Data,People (Childrens),Payment to social care clients,
Salford City Council,02/07/2024,6003931592,905.80,0.00,905.80,Redacted Data,People (Adults),Payment to social care clients,
Salford City Council,02/07/2024,6003931761,928.32,0.00,928.32,Redacted Data,People (Adults),Payment to social care clients,
