Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,30/04/2024,165.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,30/04/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,30/04/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,30/04/2024,300.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,30/04/2024,171.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables ,05/04/2024,7440.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables ,05/04/2024,7440.00
Adult Social Care,"Assurance, Transformation & Financial Management",Premises-Related Expenditure,Hire Of Rooms,AFC Telford Holdings Limited,15/04/2024,1850.00
Adult Social Care,"Assurance, Transformation & Financial Management",Employees,Staff Training,Disability Rights UK,16/04/2024,1483.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Other Expenses,Barclays Bank ,04/04/2024,371.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,03/04/2024,547.10
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,03/04/2024,380.62
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),Brown Clee Care,24/04/2024,9150.00
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Interpreters Fees,EXPRESS INTERPRETING & TRANSLATION,28/04/2024,5416.13
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TACT,02/04/2024,10450.00
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,15/04/2024,18500.00
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Legal Expenses,WEIGHTMANS,04/04/2024,1986.00
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Equipment - Hire,SKIPS TELFORD LTD,15/04/2024,552.00
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,22/04/2024,355.60
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),Engaging Communities Solutions CIC,24/04/2024,25000.00
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Transport,More Than Care Telford,23/04/2024,3673.38
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,02/04/2024,527.94
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,St Teresa Ltd ,24/04/2024,1541.70
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,St Teresa Ltd ,24/04/2024,1442.57
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ASLES (TOOL HIRE & SALES) LTD,15/04/2024,863.00
Adult Social Care,My Options,Employees,Staff Training,SHROPSHIRE COUNCIL ,04/04/2024,189.00
Adult Social Care,My Options,Employees,Staff Training,PARTNERS IN CARE,11/04/2024,1463.00
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Nourish Care Systems Ltd,04/04/2024,1458.43
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,SPACEKRAFT LTD,23/04/2024,130.00
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Nourish Care Systems Ltd,04/04/2024,1226.03
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,11/04/2024,405.02
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Access UK Ltd,11/04/2024,150.00
Adult Social Care,My Options,Transport-Related Expenditure,Licences,MOTION PICTURE LICENSING COMPANY,30/04/2024,497.36
Adult Social Care,My Options,Premises-Related Expenditure,Hire Of Rooms,Dawley Baptist Church,04/04/2024,285.00
Adult Social Care,My Options,Premises-Related Expenditure,Hire Of Rooms,Dawley Baptist Church,04/04/2024,230.00
Adult Social Care,My Options,Premises-Related Expenditure,Hire Of Rooms,Dawley Baptist Church,04/04/2024,230.00
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Nourish Care Systems Ltd,04/04/2024,236.67
Adult Social Care,My Options,Employees,Training Expenses,SAND CIC (Safe Ageing No Discrimination),05/04/2024,380.00
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,Wrekin Pneumatics(Telford) Ltd,18/04/2024,530.00
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Nourish Care Systems Ltd,04/04/2024,498.83
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,04/04/2024,203.25
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,MEDACO,04/04/2024,272.41
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,04/04/2024,439.79
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,04/04/2024,1177.05
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,04/04/2024,7722.04
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,11/04/2024,413.10
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,11/04/2024,10440.93
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,11/04/2024,254.20
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,11/04/2024,367.06
