Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Directorate,Supplies & Services,Other Grants (Expenses),Be Happy Support Limited,08/07/2024,"2,250.00"
Adult Social Care,ASC Directorate,Supplies & Services,Registration / Licence Fees,iESE Innovation Ltd,18/07/2024,"15,750.00"
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,12/07/2024,171.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,12/07/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,12/07/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,12/07/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,12/07/2024,875.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Translation Services,VISS Sign Language Interpreting Service,12/07/2024,120.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,19/07/2024,"58,393.96"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),AGE UK SHROPSHIRE TELFORD & WREKIN,11/07/2024,"37,033.32"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,18/07/2024,"12,074.41"
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,18/07/2024,574.97
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Other Care Purchasing,CLEANIT CLEANING SERVICES,03/07/2024,980.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Web Services,Texthelp Ltd,05/07/2024,963.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Computer Software (Maint),LIQUIDLOGIC LIMITED,25/07/2024,"66,338.30"
Adult Social Care,Community Social Work & Adult Safeguarding,Employees,Staff Training,SHROPSHIRE COUNCIL ,22/07/2024,104.00
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,01/07/2024,444.50
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,01/07/2024,355.60
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,09/07/2024,355.60
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),POHWER,08/07/2024,"19,312.50"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),POHWER,08/07/2024,"2,500.00"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),Engaging Communities Solutions CIC,11/07/2024,"25,000.00"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),PODS,19/07/2024,"50,000.00"
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,BRITISH GAS TRADING LIMITED,01/07/2024,523.97
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,BRITISH GAS TRADING LIMITED,01/07/2024,"1,103.09"
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,BRITISH GAS TRADING LIMITED,01/07/2024,178.41
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,BRITISH GAS TRADING LIMITED,01/07/2024,181.63
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Water Rates,Severn Trent Water Ltd,09/07/2024,237.25
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,18/07/2024,"12,827.53"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,01/07/2024,"1,284.82"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,01/07/2024,840.00
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,St Teresa Ltd,09/07/2024,983.43
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,17/07/2024,714.82
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,St Teresa Ltd ,17/07/2024,"1,122.02"
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,23/07/2024,225.00
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ASLES (TOOL HIRE & SALES) LTD,29/07/2024,"1,060.00"
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,25/07/2024,125.22
