Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,28/05/2024,03/05/2024,Purchase,100,Tenpin Ltd - 186
JB,28/05/2024,21/05/2024,Purchase,100,Sainsburys Argos
JR,28/05/2024,26/04/2024,Purchase,100,Outdoorartsuk
JB,28/05/2024,01/05/2024,Purchase,100.5,Trainline
AA,28/05/2024,16/05/2024,Purchase,101.1,Sp Brindley Chains
AA,28/05/2024,01/05/2024,Purchase,101.53,Amazon* 203-0614408-78
JB,28/05/2024,30/04/2024,Purchase,101.89,Trainline
AA,28/05/2024,14/05/2024,Purchase,102,Turtledefi* T #17716
AA,28/05/2024,14/05/2024,Purchase,102,Turtledefi* T #17716
AA,28/05/2024,01/05/2024,Purchase,102,Premier Inn
JB,28/05/2024,09/05/2024,Purchase,103,Premier Inn
AA,28/05/2024,23/05/2024,Purchase,104.97,Amazon* 026-8172338-34
JB,28/05/2024,26/04/2024,Purchase,105,Scc Misc Payments
JR,28/05/2024,09/05/2024,Purchase,105,Www.Argos.Co.Uk
JR,28/05/2024,24/05/2024,Purchase,105.39,Trainline
JR,28/05/2024,24/05/2024,Purchase,105.39,Trainline
JB,28/05/2024,16/05/2024,Purchase,106.09,Trainline
AA,28/05/2024,01/05/2024,Purchase,107,Travelodge Gb0000
AA,28/05/2024,01/05/2024,Purchase,107,Travelodge Gb0000
AA,28/05/2024,15/05/2024,Purchase,107.01,Travelodge Gb0000
AA,28/05/2024,29/04/2024,Purchase,107.13,Booker Ltd - 38598984
AA,28/05/2024,15/05/2024,Purchase,107.4,Paypal *cartridgepe
JB,28/05/2024,15/05/2024,Purchase,107.88,Twinkl 5457897
AA,28/05/2024,08/05/2024,Purchase,108.01,Travelodge Gb0000
AA,28/05/2024,13/05/2024,Purchase,108.98,Turtledefi* T #17713
DS,28/05/2024,13/05/2024,Purchase,109.29,Trainline
JR,28/05/2024,12/05/2024,Purchase,110,Farmfoods 604
JB,28/05/2024,08/05/2024,Purchase,110.29,Trainline
AA,28/05/2024,01/05/2024,Purchase,110.56,Google*cloud X96gbc
AA,28/05/2024,15/05/2024,Purchase,111.89,Trainline
AA,28/05/2024,15/05/2024,Purchase,111.9,Trainline
AA,28/05/2024,15/05/2024,Purchase,111.9,Trainline
AA,28/05/2024,15/05/2024,Purchase,111.9,Trainline
AA,28/05/2024,16/05/2024,Credit Voucher,113.3,Nothing But Padloc
AA,28/05/2024,01/05/2024,Purchase,114,Www.Grisport.Co.Uk
AA,28/05/2024,23/05/2024,Purchase,114.74,Direct Soccer Limited
AA,28/05/2024,01/05/2024,Purchase,114.89,Amazon* 203-7799648-07
AA,28/05/2024,30/04/2024,Purchase,115.99,Premier Inn
DS,28/05/2024,03/05/2024,Purchase,118.15,The Clean Machine Direct
JR,28/05/2024,21/05/2024,Purchase,118.28,Booker Limited Ecom
AA,28/05/2024,14/05/2024,Purchase,118.49,Direct Soccer Limited
JB,28/05/2024,08/05/2024,Purchase,118.7,Transport Investigatio
DS,28/05/2024,08/05/2024,Purchase,119,Tesco Stores 4798
DS,28/05/2024,02/05/2024,Purchase,119.92,The Range
JB,28/05/2024,24/05/2024,Purchase,120,Hoo Farm Animal Kingdom
DS,28/05/2024,02/05/2024,Purchase,120,Shop Locally Telford L
AA,28/05/2024,01/05/2024,Purchase,121.48,Amazon* 202-8952806-54
AA,28/05/2024,13/05/2024,Purchase,122.01,Travelodge Gb0000
JB,28/05/2024,13/05/2024,Purchase,123.5,Flip Out Telford
JB,28/05/2024,03/05/2024,Purchase,125.36,Amazon* 202-7480497-57
AA,28/05/2024,14/05/2024,Purchase,126,Bkg*hotel At Booking.C
AA,28/05/2024,29/04/2024,Purchase,128,Travelodge Gb0000
AA,28/05/2024,20/05/2024,Purchase,128.4,Xl Displays Ltd
AA,28/05/2024,09/05/2024,Purchase,129.99,Amazon* 202-7806281-34
JR,28/05/2024,16/05/2024,Purchase,130,Currys Online
JB,28/05/2024,03/05/2024,Purchase,131.8,Crelling Harnesses
JB,28/05/2024,09/05/2024,Credit Voucher,131.8,Crelling Harnesses
AA,28/05/2024,07/05/2024,Purchase,133,Premier Inn
AA,28/05/2024,09/05/2024,Purchase,134.01,Travelodge Gb0000
AA,28/05/2024,02/05/2024,Purchase,135.34,Amznbusiness*hg9ou4jp4
AA,28/05/2024,21/05/2024,Purchase,137.68,Travelodge Gb0000
AA,28/05/2024,10/05/2024,Purchase,138,Best Western Hotels
DS,28/05/2024,10/05/2024,Purchase,139,Tesco Stores 4797
JR,28/05/2024,07/05/2024,Purchase,142.27,Booker Ltd - 38598984
JB,28/05/2024,13/05/2024,Purchase,144,Green Skip Hire
AA,28/05/2024,23/05/2024,Purchase,144.04,Booker Ltd - 38598984
JB,28/05/2024,03/05/2024,Purchase,144.46,Amazon* 202-3280741-29
DS,28/05/2024,07/05/2024,Purchase,144.95,Amazon* 205-3404004-92
JB,28/05/2024,24/05/2024,Purchase,146.19,Trainline
JR,28/05/2024,14/05/2024,Purchase,146.91,Booker Limited Ecom
DS,28/05/2024,17/05/2024,Purchase,148.88,Amazon* 205-8003884-92
AA,28/05/2024,21/05/2024,Purchase,148.99,Www.Screwfix.Com
JB,28/05/2024,29/04/2024,Purchase,149,Manomano
JB,28/05/2024,14/05/2024,Purchase,150,"Mytton And Mermaid, Atcha"
DS,28/05/2024,02/05/2024,Purchase,150,Shop Locally Telford L
JB,28/05/2024,01/05/2024,Purchase,150.01,Travelodge Gb0000
JB,28/05/2024,07/05/2024,Purchase,151.2,Cp Plus Ltd
JB,28/05/2024,16/05/2024,Purchase,151.2,Cp Plus Ltd
JB,28/05/2024,10/05/2024,Purchase,151.2,Cp Plus Ltd
JB,28/05/2024,24/05/2024,Purchase,151.2,Cp Plus Ltd
JB,28/05/2024,03/05/2024,Purchase,152.04,Amazon* 202-3280741-29
JB,28/05/2024,01/05/2024,Purchase,154.98,Gear4music Limited
AA,28/05/2024,17/05/2024,Purchase,155.64,Facebk*
JB,28/05/2024,26/05/2024,Purchase,155.98,Partners On Booking Bv
JR,28/05/2024,21/05/2024,Purchase,156,Dunelm Soft Furnishings
JR,28/05/2024,23/05/2024,Purchase,158.39,Amazon* 026-0805217-11
JB,28/05/2024,03/05/2024,Purchase,159.93,Amazon* 202-3280741-29
AA,28/05/2024,16/05/2024,Purchase,161,Rics Subs UK Cybs
JR,28/05/2024,22/05/2024,Purchase,161.95,Www.Argos.Co.Uk
AA,28/05/2024,26/04/2024,Purchase,162.99,Travelodge Gb0000
AA,28/05/2024,07/05/2024,Purchase,164,Travelodge Gb0000
JB,28/05/2024,30/04/2024,Purchase,164.29,Trainline
DS,28/05/2024,26/04/2024,Purchase,165,Travelodge Gb0000
DS,28/05/2024,15/05/2024,Purchase,166.99,Trainline
AA,28/05/2024,21/05/2024,Purchase,167.5,Dvla Vehicle Tax
AA,28/05/2024,22/05/2024,Purchase,167.5,Dvla Vehicle Tax
DS,28/05/2024,26/04/2024,Credit Voucher,167.98,Travelodge Gb0000
JB,28/05/2024,14/05/2024,Purchase,168,Bkg*hotel At Booking.C
JB,28/05/2024,15/05/2024,Credit Voucher,168,Bkg*hotel At Booking.C
AA,28/05/2024,22/05/2024,Purchase,169.5,Tvlicensing.Co.Uk
JB,28/05/2024,24/05/2024,Purchase,170,Wm Morrisons Store
JB,28/05/2024,16/05/2024,Purchase,170.79,Trainline
JB,28/05/2024,24/05/2024,Purchase,170.79,Trainline
AA,28/05/2024,30/04/2024,Purchase,171,Premier Inn
JR,28/05/2024,29/04/2024,Purchase,174,Ncctc Ltd
AA,28/05/2024,29/04/2024,Purchase,175,Travelodge Gb0000
AA,28/05/2024,29/04/2024,Purchase,175,Travelodge Gb0000
AA,28/05/2024,13/05/2024,Purchase,175.5,Amazon* 204-1181610-94
JR,28/05/2024,09/05/2024,Purchase,179,Asda Store 4351
JR,28/05/2024,09/05/2024,Purchase,179,Asda Stores
JB,28/05/2024,26/04/2024,Purchase,183.38,Bham Council Phone Pyt
DS,28/05/2024,22/05/2024,Purchase,183.6,Van Racking Solutions
AA,28/05/2024,21/05/2024,Purchase,184,Post Office Counter
AA,28/05/2024,21/05/2024,Purchase,184,Post Office Counter
JR,28/05/2024,17/05/2024,Purchase,184,Post Office Counter
JR,28/05/2024,20/05/2024,Purchase,184.08,Lavazza Pro
DS,28/05/2024,14/05/2024,Purchase,185.01,Travelodge Gb0000
JB,28/05/2024,03/05/2024,Purchase,189.89,Amazon* 202-3280741-29
JB,28/05/2024,23/05/2024,Purchase,190.29,Trainline
JB,28/05/2024,09/05/2024,Purchase,190.29,Trainline
DS,28/05/2024,23/05/2024,Purchase,191.59,Trainline
AA,28/05/2024,26/04/2024,Purchase,192.99,Travelodge Gb0000
AA,28/05/2024,26/04/2024,Purchase,192.99,Travelodge Gb0000
JB,28/05/2024,03/05/2024,Purchase,193.36,Amazon* 202-3280741-29
JR,28/05/2024,08/05/2024,Purchase,194.4,Uk Point Of Sale Group Lt
JR,28/05/2024,09/05/2024,Purchase,195.82,The Range
AA,28/05/2024,10/05/2024,Purchase,195.99,Travelodge Gb0000
JR,28/05/2024,21/05/2024,Purchase,196.95,Www.Argos.Co.Uk
JR,28/05/2024,03/05/2024,Purchase,197.39,Trainline
DS,28/05/2024,08/05/2024,Purchase,198,Tesco Stores 4798
DS,28/05/2024,09/05/2024,Purchase,198,Tesco Stores 4797
DS,28/05/2024,10/05/2024,Purchase,198,Tesco Stores 4797
DS,28/05/2024,07/05/2024,Purchase,199,Shop Locally Telford L
JB,28/05/2024,16/05/2024,Purchase,199.49,Trainline
AA,28/05/2024,21/05/2024,Purchase,200.91,Travelodge Gb0000
JB,28/05/2024,15/05/2024,Purchase,202.5,Travelodge Gb0000
JR,28/05/2024,30/04/2024,Purchase,203.79,Booker Limited Ecom
AA,28/05/2024,26/04/2024,Purchase,206.99,Travelodge Gb0000
JB,28/05/2024,25/05/2024,Purchase,207.9,Bkg*hotel At Booking.C
JB,28/05/2024,10/05/2024,Purchase,208.69,Trainline
AA,28/05/2024,09/05/2024,Purchase,209.96,The Bikeability Trust
JB,28/05/2024,22/05/2024,Purchase,213.99,Amazon* 204-1913659-18
AA,28/05/2024,01/05/2024,Purchase,214.81,Screwfix Direct
JB,28/05/2024,24/05/2024,Purchase,214.98,Www.Rossendale.Gov.Uk
JB,28/05/2024,02/05/2024,Purchase,216,Green Skip Hire
JB,28/05/2024,13/05/2024,Purchase,216,Green Skip Hire
AA,28/05/2024,26/04/2024,Purchase,218.99,Travelodge Gb0000
JB,28/05/2024,15/05/2024,Purchase,220,Confer Education Ltd
DS,28/05/2024,08/05/2024,Purchase,220,Shop Locally Telford L
JR,28/05/2024,09/05/2024,Purchase,221.2,Asda Stores
AA,28/05/2024,09/05/2024,Purchase,223.16,Adobe *adobe
AA,28/05/2024,07/05/2024,Purchase,225,Travelodge Gb0000
AA,28/05/2024,07/05/2024,Purchase,225,Travelodge Gb0000
DS,28/05/2024,10/05/2024,Purchase,226.8,Vmo*vimeo Pro
JR,28/05/2024,21/05/2024,Purchase,227.94,Booker Limited Ecom
JB,28/05/2024,26/04/2024,Purchase,227.99,Trainline
JR,28/05/2024,20/05/2024,Purchase,230.1,Lavazza Pro
AA,28/05/2024,27/04/2024,Credit Voucher,232.78,Sp Streetfoodpackagi
AA,28/05/2024,01/05/2024,Purchase,235.76,Adobe
AA,28/05/2024,25/05/2024,Purchase,235.76,Adobe
JB,28/05/2024,01/05/2024,Purchase,236.95,Www.Argos.Co.Uk
DS,28/05/2024,02/05/2024,Purchase,240,Shop Locally Telford L
JB,28/05/2024,07/05/2024,Purchase,242,Travelodge Gb0000
JB,28/05/2024,03/05/2024,Purchase,245.54,Amazon* 202-3280741-29
AA,28/05/2024,17/05/2024,Purchase,248.84,Travelodge Gb0000
AA,28/05/2024,03/05/2024,Purchase,248.99,Travelodge Gb0000
JB,28/05/2024,22/05/2024,Purchase,249.99,Amazon* 202-5255015-08
JB,28/05/2024,24/05/2024,Purchase,250,Bkg*hotel At Booking.C
AA,28/05/2024,29/04/2024,Purchase,253.99,Travelodge Gb0000
DS,28/05/2024,15/05/2024,Purchase,255,Spar
AA,28/05/2024,17/05/2024,Purchase,257,Travelodge Gb0000
JR,28/05/2024,01/05/2024,Purchase,266.4,Glyn Upton Removals
JB,28/05/2024,25/05/2024,Purchase,275.15,Partners On Booking Bv
JB,28/05/2024,22/05/2024,Purchase,289,Amazon* 204-1913659-18
JR,28/05/2024,09/05/2024,Purchase,291.68,Hire Station Ltd
DS,28/05/2024,10/05/2024,Purchase,291.69,Trainline
AA,28/05/2024,03/05/2024,Purchase,296,The White House Hotel
AA,28/05/2024,01/05/2024,Purchase,300,Chrisbeon Office Supplies
JB,28/05/2024,26/05/2024,Purchase,300.86,Bkg*hotel At Booking.C
AA,28/05/2024,14/05/2024,Purchase,312.98,Turtledefi* T #17716
JB,28/05/2024,24/05/2024,Purchase,318.19,Travelodge Gb0000
JR,28/05/2024,30/04/2024,Purchase,328.69,Trainline
JR,28/05/2024,16/05/2024,Purchase,328.99,Trainline
AA,28/05/2024,08/05/2024,Purchase,330,Zettle_*shropshire Pri
AA,28/05/2024,03/05/2024,Purchase,330,International Hotel Telfo
AA,28/05/2024,21/05/2024,Purchase,335.26,Amazon* 202-4133209-70
JR,28/05/2024,21/05/2024,Purchase,336.68,Asda Stores
DS,28/05/2024,26/04/2024,Purchase,337.5,Dvla Vehicle Tax
JB,28/05/2024,14/05/2024,Purchase,339.98,Amazon* 202-6623255-47
JB,28/05/2024,22/05/2024,Purchase,343.2,Vrbo Halgg81t
AA,28/05/2024,02/05/2024,Purchase,349.97,Travelodge Gb0000
