Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,27/03/2023,28/02/2023,Purchase,100,Facebk D9wshmtrn2
AA,27/03/2023,15/03/2023,Purchase,101.97,Travelodge Gb0000
JB,27/03/2023,15/03/2023,Purchase,103.95,Www.Argos.Co.Uk
JB,27/03/2023,21/03/2023,Purchase,104,Hotel At Booking.Com
AA,27/03/2023,03/03/2023,Purchase,104.01,Travelodge Gb0000
AA,27/03/2023,13/03/2023,Purchase,104.01,Travelodge Gb0000
AA,27/03/2023,13/03/2023,Purchase,104.01,Travelodge Gb0000
JR,27/03/2023,02/03/2023,Purchase,106.8,Sq *public Policy Exchang
JR,27/03/2023,02/03/2023,Purchase,106.8,Sq *public Policy Exchang
JR,27/03/2023,01/03/2023,Purchase,108,Hotel At Booking.Com
JR,27/03/2023,09/03/2023,Purchase,108.12,Stafford Wholesale Llp
AA,27/03/2023,22/03/2023,Purchase,109.11,Travelodge Gb0000
JB,27/03/2023,10/03/2023,Purchase,110,Jd Sports Fashion Plc
JR,27/03/2023,27/02/2023,Purchase,110,Farmfoods 604
JR,27/03/2023,21/03/2023,Purchase,110,Farmfoods 604
JB,27/03/2023,15/03/2023,Purchase,110.51,Amznmktplace
DS,27/03/2023,16/03/2023,Purchase,111.65,Emerys Timber And Builder
JB,27/03/2023,21/03/2023,Purchase,113,Maldron Hotel Glasgow Cit
JB,27/03/2023,27/02/2023,Purchase,113.62,Shropshire Council
DS,27/03/2023,21/03/2023,Purchase,113.96,Www.Screwfix.Com
AA,27/03/2023,02/03/2023,Purchase,114,Gen Register Office
JB,27/03/2023,20/03/2023,Purchase,114.95,Argos Ltd
AA,27/03/2023,17/03/2023,Purchase,118,Trophiesplusmedals
JR,27/03/2023,23/03/2023,Purchase,118.5,Ttb Supplies
AA,27/03/2023,08/03/2023,Purchase,118.79,Amznmktplace
AA,27/03/2023,14/03/2023,Credit Voucher,118.79,Amz*justar Office
JR,27/03/2023,28/02/2023,Purchase,119,Currys Online
AA,27/03/2023,25/03/2023,Purchase,119.75,Amazon.Co.Uk*lm3zn3yu5
JB,27/03/2023,16/03/2023,Purchase,119.98,Amznmktplace
JB,27/03/2023,09/03/2023,Purchase,119.99,Amznmktplace
JB,27/03/2023,10/03/2023,Purchase,120,Hotel At Booking.Com
AA,27/03/2023,14/03/2023,Purchase,120,Loqate
AA,27/03/2023,01/03/2023,Purchase,120,Hotel At Booking.Com
JR,27/03/2023,09/03/2023,Purchase,120,Www.Anyvan.Com
JR,27/03/2023,20/03/2023,Purchase,120,Shropshire Removals Telfo
JB,27/03/2023,07/03/2023,Purchase,120.89,Inflata Nation
JB,27/03/2023,23/03/2023,Purchase,122.92,Findel Education
JB,27/03/2023,13/03/2023,Purchase,123.58,Uber *trip
JB,27/03/2023,04/03/2023,Purchase,124.65,Hotel At Booking.Com
JB,27/03/2023,28/02/2023,Purchase,124.66,Meadowdale Nurseries
AA,27/03/2023,08/03/2023,Purchase,124.95,Premier Inn
JB,27/03/2023,08/03/2023,Purchase,126,Hm Passport Office
AA,27/03/2023,20/03/2023,Purchase,127.47,Travelodge Gb0000
AA,27/03/2023,15/03/2023,Purchase,127.5,Premier Inn
AA,27/03/2023,06/03/2023,Purchase,129.51,Travelodge Gb0000
