Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Directorate,Supplies & Services,Subscriptions,ADASS Association of Directors of Adult Social Services,13/09/2024,2528.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Purchase,DIND LTD T/A Donnington Pharmacy,02/09/2024,680.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Purchase,DIND LTD T/A Donnington Pharmacy,02/09/2024,340.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Purchase,DIND LTD T/A Donnington Pharmacy,02/09/2024,240.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,26/09/2024,14640.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,26/09/2024,7200.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,26/09/2024,7440.00
Adult Social Care,ASC Prevention & Enablement,Third Party Payments,Nursing Expenditure,NHS Shropshire Telford & Wrekin ICB QOC Receivables N209,26/09/2024,7440.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,228.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,171.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,199.50
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,26/09/2024,199.50
