Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Directorate,Employees,Professional Subs,ADASS Association of Directors of Adult Social Services,17/06/2024,2293.00
Adult Social Care,ASC Directorate,Supplies & Services,Other Grants (Expenses),Anchorage Care Group,11/06/2024,5820.00
Adult Social Care,ASC Directorate,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CITIZENS ADVICE BUREAU,18/06/2024,5000.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Fees,PARTNERS IN CARE,18/06/2024,5000.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,11/06/2024,11499.44
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,17/06/2024,25000.00
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Other Grants (Expenses),TACT,17/06/2024,10450.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Translation Services,VISS Sign Language Interpreting Service,11/06/2024,120.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Subscriptions,ASSOCIATION OF FINANCIAL ASSESMENT OFFICERS,14/06/2024,200.00
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,07/06/2024,580.25
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,07/06/2024,399.04
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,07/06/2024,409.15
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,07/06/2024,629.45
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Other Expenses,Shropshire House Clearance,13/06/2024,790.00
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),VoiceAbility,17/06/2024,6691.25
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),NHS Shropshire Telford & Wrekin ICB QOC Receivables ,11/06/2024,229721.00
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ICTn Limited,25/06/2024,392.70
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ASLES (TOOL HIRE & SALES) LTD,04/06/2024,848.00
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,28/06/2024,296.00
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,25/06/2024,125.22
Adult Social Care,My Options,Premises-Related Expenditure,Hire Of Rooms,Dawley Baptist Church,12/06/2024,230.00
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,12/06/2024,149.16
Adult Social Care,My Options,Supplies & Services,Laundry & Towel Hire,PHS GROUP,07/06/2024,382.20
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Access UK Ltd,12/06/2024,150.00
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,04/06/2024,231.25
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,MEDACO,04/06/2024,177.60
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,12/06/2024,4536.40
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,12/06/2024,212.96
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,12/06/2024,320.73
Adult Social Care,My Options,Transport-Related Expenditure,Licences,MOTION PICTURE LICENSING COMPANY,12/06/2024,183.91
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,25/06/2024,287.73
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,25/06/2024,215.43
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,25/06/2024,345.30
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Access UK Ltd,12/06/2024,494.40
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information ,26/06/2024,1061.39
Adult Social Care,My Options,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,05/06/2024,555.99
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,04/06/2024,600.60
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Camascope Ltd,04/06/2024,960.00
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Camascope Ltd,04/06/2024,960.00
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,12/06/2024,279.30
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information ,26/06/2024,760.00
