Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
AA,26/01/2023,12/01/2023,Purchase,100,Amznmktplace
AA,26/01/2023,04/01/2023,Purchase,100.3,Premier Inn
JR,26/01/2023,15/01/2023,Purchase,101.23,Booker Limited Telford
JR,26/01/2023,30/12/2022,Purchase,101.94,Nisa
JR,26/01/2023,28/12/2022,Purchase,103.61,Booker Limited Telford
AA,26/01/2023,18/01/2023,Purchase,103.64,Cp Lighting Ltd
JB,26/01/2023,18/01/2023,Purchase,106.51,Trainline
AA,26/01/2023,31/12/2022,Purchase,107.11,Facebk Qscuvkk4w2
JB,26/01/2023,13/01/2023,Credit Voucher,108,Trainline.Com
AA,26/01/2023,13/01/2023,Purchase,108,Trophies Plus Medals
AA,26/01/2023,31/12/2022,Purchase,108.37,Facebk 7qtqslfsy2
AA,26/01/2023,11/01/2023,Purchase,109.55,Asda Stores 5011
JR,26/01/2023,05/01/2023,Purchase,109.98,Amznbusiness*1h5yg7oq4
JB,26/01/2023,03/01/2023,Purchase,110,Sp Vault Menswear Uk
JB,26/01/2023,06/01/2023,Purchase,110,Argos Ltd
JR,26/01/2023,28/12/2022,Purchase,110.03,Booker Limited Telford
AA,26/01/2023,05/01/2023,Purchase,113.94,Treka Bus Ltd
DS,26/01/2023,12/01/2023,Purchase,114.34,Toolstation Ltd
AA,26/01/2023,30/12/2022,Purchase,115.2,Loqate
AA,26/01/2023,19/01/2023,Purchase,115.7,Trainline.Com
JR,26/01/2023,11/01/2023,Purchase,118.2,Amznmktplace
AA,26/01/2023,20/01/2023,Purchase,119.96,Amznmktplace
JR,26/01/2023,18/01/2023,Purchase,119.98,Amznmktplace
JB,26/01/2023,10/01/2023,Purchase,119.99,Argos Ltd
JB,26/01/2023,06/01/2023,Purchase,120,Green Skip Hire
DS,26/01/2023,11/01/2023,Purchase,120,Nisa
DS,26/01/2023,10/01/2023,Purchase,120.35,Trainline.Com
AA,26/01/2023,19/01/2023,Purchase,120.54,Safety Gear Store Ltd
JB,26/01/2023,05/01/2023,Purchase,120.99,Amazon.Co.Uk*1h4c48ce4
JB,26/01/2023,05/01/2023,Purchase,121,Amznmktplace
AA,26/01/2023,19/01/2023,Purchase,122.46,Arco Limited
JR,26/01/2023,22/01/2023,Purchase,122.7,Lavazza Pro
JB,26/01/2023,25/01/2023,Purchase,123.94,B&m 320 - An Telford
JR,26/01/2023,02/01/2023,Purchase,125.46,Lavazza Pro
AA,26/01/2023,24/01/2023,Purchase,125.91,Amznmktplace
JB,26/01/2023,20/01/2023,Purchase,127,Hm Passport Office
DS,26/01/2023,25/01/2023,Purchase,127.94,Aura Online Ltd
AA,26/01/2023,11/01/2023,Purchase,128.35,Premier Inn
JB,26/01/2023,05/01/2023,Purchase,128.99,Amazon.Co.Uk*1h6b13ol4
JB,26/01/2023,20/01/2023,Purchase,129,Currys Online
JB,26/01/2023,08/01/2023,Purchase,130,Buckatree Hall Hotel
JR,26/01/2023,10/01/2023,Purchase,130.16,Aghoco 1607 Ltd
JR,26/01/2023,03/01/2023,Purchase,130.93,Booker Limited Telford
AA,26/01/2023,10/01/2023,Purchase,131,Trading Standards Inst
