Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/06/2024,13/06/2024,Purchase,100,Prezzee/Gb80972431
JB,26/06/2024,13/06/2024,Purchase,100,Tenpin Ltd - 186
AA,26/06/2024,11/06/2024,Purchase,100,Facebk *dnyxx5lgx2
AA,26/06/2024,11/06/2024,Purchase,100,Facebk *dnyxx5lgx2
JB,26/06/2024,05/06/2024,Purchase,100.49,Trainline
DS,26/06/2024,13/06/2024,Purchase,100.5,Telford Repro
JR,26/06/2024,07/06/2024,Purchase,100.99,Trainline
AA,26/06/2024,13/06/2024,Purchase,101,Premier Inn
JR,26/06/2024,21/06/2024,Purchase,101.47,Holiday Inn Newcastle Gos
JB,26/06/2024,28/05/2024,Purchase,101.54,Amazon* 202-0791903-28
JB,26/06/2024,31/05/2024,Purchase,101.69,Trainline
AA,26/06/2024,29/05/2024,Purchase,101.98,Travelodge Gb0000
AA,26/06/2024,19/06/2024,Purchase,103,Travelodge Gb0000
AA,26/06/2024,06/06/2024,Purchase,103.46,Amazon* 205-1269792-21
AA,26/06/2024,28/05/2024,Purchase,104.02,Travelodge Gb0000
JB,26/06/2024,05/06/2024,Credit Voucher,105,Octopus Energy Ltd
JB,26/06/2024,14/06/2024,Purchase,105.39,Trainline
JB,26/06/2024,13/06/2024,Purchase,105.39,Trainline
JR,26/06/2024,11/06/2024,Purchase,107.34,Booker Limited Ecom
AA,26/06/2024,29/05/2024,Purchase,107.4,Replica Ltd
AA,26/06/2024,25/06/2024,Purchase,109,Premier Inn
AA,26/06/2024,25/06/2024,Purchase,109,Premier Inn
AA,26/06/2024,24/06/2024,Purchase,109,Premier Inn
AA,26/06/2024,29/05/2024,Purchase,109.78,Amazon* 205-7685921-27
DS,26/06/2024,20/06/2024,Purchase,110,Wickes Telford
JR,26/06/2024,25/06/2024,Purchase,110.13,Booker Limited Ecom
AA,26/06/2024,22/06/2024,Purchase,110.5,Police Supplies
JR,26/06/2024,21/06/2024,Purchase,110.58,Holiday Inn Newcastle Gos
AA,26/06/2024,19/06/2024,Purchase,112.18,Travelodge Gb0000
AA,26/06/2024,19/06/2024,Purchase,112.18,Travelodge Gb0000
DS,26/06/2024,19/06/2024,Purchase,112.79,Trainline
AA,26/06/2024,24/06/2024,Purchase,115,Premier Inn
DS,26/06/2024,03/06/2024,Purchase,115,Www.Moneyclaim.Gov
JB,26/06/2024,29/05/2024,Purchase,115.24,Travelodge Gb0000
AA,26/06/2024,19/06/2024,Purchase,116,Premier Inn
JB,26/06/2024,06/06/2024,Purchase,116.1,Bkg*hotel At Booking.C
JR,26/06/2024,14/06/2024,Purchase,116.24,Amazon* 205-0467659-34
AA,26/06/2024,11/06/2024,Purchase,117,Amazon* 205-8683639-18
JB,26/06/2024,10/06/2024,Purchase,117.79,Trainline
AA,26/06/2024,29/05/2024,Purchase,119.2,Amazon* 205-2413644-27
AA,26/06/2024,10/06/2024,Purchase,119.36,Amazon* 205-7333746-29
AA,26/06/2024,10/06/2024,Purchase,119.98,Amazon* 202-1243884-00
AA,26/06/2024,25/06/2024,Purchase,119.99,Currys Online
JB,26/06/2024,06/06/2024,Purchase,120,Green Skip Hire
JB,26/06/2024,13/06/2024,Purchase,120,Green Skip Hire
DS,26/06/2024,05/06/2024,Purchase,120,Shop Locally Telford L
JB,26/06/2024,21/06/2024,Purchase,120.49,Trainline
JR,26/06/2024,20/06/2024,Purchase,121,Paypal *publichealt
JR,26/06/2024,20/06/2024,Purchase,121,Paypal *publichealt
JR,26/06/2024,12/06/2024,Purchase,124.97,Amazon* 204-9548972-70
