GESTION;2017;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Défense;144;7;Prospective de défense;2;Prospective des systèmes de forces;20 956 921;21 315 050;20 956 921;21 315 050
Défense;144;7;Prospective de défense;3;Etudes amont;680 000 000;856 740 000;706 529 875;720 434 123
Défense;144;7;Prospective de défense;4;Gestion des moyens et subventions;281 698 466;281 278 527;276 148 466;286 828 527
Défense;146;6;Dissuasion;14;Assurer la crédibilité technique de la dissuasion M51;163 103 481;199 589 290;463 818 035;582 125 402
Défense;146;6;Dissuasion;15;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;50 700 000;0;189 112 851;219 214 730
Défense;146;6;Dissuasion;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);402 240 239;108 939 719;42 619 166;62 008 395
Défense;146;6;Dissuasion;18;Assurer la crédibilité technique de la dissuasion Simulation;526 800 085;501 775 783;488 519 787;528 157 899
Défense;146;6;Dissuasion;19;Assurer la crédibilité technique de la dissuasion - Autres opérations;854 964 729;645 361 966;660 517 021;649 850 323
Défense;146;6;Dissuasion;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;737 292 222;778 075 703;733 341 709;746 494 453
Défense;146;6;Dissuasion;23;Assurer la crédibilité technique de la posture - toutes opérations;216 867 195;143 435 053;265 160 430;256 633 996
Défense;146;6;Dissuasion;24;Assurer la crédibilité technique de la dissuasion – SNLE 3G;769 000 000;0;46 565 016;117 733 692
Défense;146;7;Commandement et maîtrise de l'information;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);28 589 000;41 900 000;214 889 789;222 216 996
Défense;146;7;Commandement et maîtrise de l'information;25;Commander et conduire - Système d'information TERRE;8 000 000;7 260 000;50 826 149;52 345 333
Défense;146;7;Commandement et maîtrise de l'information;27;Commander et conduire - Géographie numérique;138 000 000;281 349 040;48 101 301;55 317 486
