Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45496,3110124437,1000,One Time Vendor
Hampshire & Isle of Wight Constabulary,ACCTO HEAD OFFICE,Professional Subscriptions,45504,3110124572,2800,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,ACCTO HEAD OFFICE,Professional Subscriptions,45504,3110124573,500,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,Agile Working,Furniture,45478,2200219545,533.47,POSTURITE (UK) LTD
Hampshire & Isle of Wight Constabulary,Agile Working,Furniture,45478,2200219547,511.03,POSTURITE (UK) LTD
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45491,3110124383,4959.54,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45491,3110124306,5962.17,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Uniform Business Rates,45474,3500004386,28665,RUSHMOOR BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45491,3110124385,1802.02,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45488,3500004430,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,ANPR Collaboration,Payments to Other PC,45504,2200221163,210009,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Electrical Maintenance,45476,2200219416,641.75,ENERVEO LIMITED
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45498,2200220803,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45488,2200220073,-24575.9,V C Dominey Electrical Services Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45489,2200220114,27035.62,V C Dominey Electrical Services Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45482,2200219707,1528.6,Ellis Electrical Limited
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45482,2200219716,585.77,ENERVEO LIMITED
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45485,2200219942,1682.5,ENERVEO LIMITED
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Hired and Contracted Services,45488,2200220065,3909.86,Gleeds Advisory Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Security Costs,45498,2200220823,900,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Security Costs,45498,2200220824,3353.08,Redacted - Operational
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Equipment,45481,2200219671,942,BigDug Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45492,2200220397,2603.94,Safety-Kleen Uk Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45492,2200220398,1986.84,Safety-Kleen Uk Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45492,2200220399,1388.8,Safety-Kleen Uk Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45492,2200220400,3216.88,Safety-Kleen Uk Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45475,2200219349,782.55,Snap On Diagnostics
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45497,2200220690,1212.1,Snap On Diagnostics
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45478,2200219615,540,V.O.R Services Ltd
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45493,3500004435,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BEAULIEU POLICE STATION,Uniform Business Rates,45474,3500004374,936,New Forest District Council
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45474,3500004394,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,BITTERNE POLICE STATION (AB),Uniform Business Rates,45474,3500004387,7781,Southampton City Council
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45491,3110124338,1190.83,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45474,3500004393,2121,Southampton City Council
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45476,2200219412,94480.16,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45476,2200219413,48594.86,Redacted - Operational
