Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45455,3110123545,770,One Time Vendor
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45455,3110123547,1150,One Time Vendor
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45455,3110123548,750,One Time Vendor
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45455,3110123549,2665,One Time Vendor
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Hired and Contracted Services,45469,3110124039,500,One Time Vendor
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Equipment,45446,2200217399,2113.5,TOYE KENNING & SPENCER (BEDWORTH) L
Hampshire & Isle of Wight Constabulary,AIR SUPPORT COLLABORATION,Payments to Other PC,45453,2200217967,285287,West Yorkshire Combined Authority
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45461,3110123897,5209.8,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45461,3110123823,7112.93,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALRESFORD NPO,Rent,45471,2200219121,4970,HIWFRS
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45461,3110123894,1740.25,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45461,3110123819,563.97,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45458,3500004355,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45460,2200218403,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45460,2200218402,29263.8,V C Dominey Electrical Services Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45460,2200218404,24575.9,V C Dominey Electrical Services Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45464,2200218699,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other premises related costs,45460,2200218363,47002.1,Blink Charging UK Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other premises related costs,45460,2200218387,15949.5,Hp Contracts Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45449,2200217729,3860,Redfox building services
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Security Costs,45463,2200218632,1246.59,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Assisted studies,Other Training Courses and Qualification,45449,2200217789,1275,University of Portsmouth
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45451,2200217919,693,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45456,2200218250,935.5,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45461,2200218452,903,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BASINGSTOKE POLICE STATION (PARKLANDS),Rent,45456,2200218189,53233.28,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Rent,45456,2200218190,7681.29,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45463,3500004360,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45444,3500004322,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45461,3110123866,1336.01,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Rent,45462,2200218602,10000,Questmap Ltd
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45444,3500004321,2121,Southampton City Council
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45447,2200217483,548.6,tscomms Ltd
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Radio Costs,45457,2200218324,2912.5,Juma Communications Ltd
Hampshire & Isle of Wight Constabulary,CAIT,Equipment,45456,2200218186,500,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45446,2200217322,2345.4,Try & Lilly Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45447,2200217449,1605,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45452,2200217938,2999.01,Sbi Tac Pro Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45453,2200217987,1430,Arktis Endurance Textiles Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45453,2200217990,1731.9,Tch Uk Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45457,2200218331,798,B & A Textiles Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45457,2200218333,872,B & A Textiles Ltd
