Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Cleaning services,45509,2200221402,1687.5,NVIRO LIMITED
Hampshire & Isle of Wight Constabulary,2024 Families Day Holding Account,Other premises related costs,45532,2200222737,556,Emcor Group (UK) Plc
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Equipment,45517,2200221925,16398,Worcester Medal Service Limited
Hampshire & Isle of Wight Constabulary,Agile Working,Furniture,45532,2200222715,533.47,POSTURITE (UK) LTD
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45525,3110125004,5130.21,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45519,3110124838,4357.02,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALTON NPO,Rent,45510,2200221488,11546.63,Hampshire County Council
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45525,3110125015,1945.36,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Water - Metered,45520,3110124904,896.45,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45519,3500004498,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45512,2200221698,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other premises related costs,45532,2200222741,27981.71,JOHNSON CONTROLS BUILDING EFFICIENC
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45506,2200221260,2967,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45524,2200222395,1139,Lighthouse (Uk) Ltd
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45524,3500004503,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45505,3500004465,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45525,3110124976,1215.12,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45505,3500004464,2121,Southampton City Council
Hampshire & Isle of Wight Constabulary,BLUE LAMP TRUST,Grant Aid and Donations,45509,3110124669,10000,THE BLUE LAMP TRUST
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45517,2200221906,2010,Redacted - Operational
