Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45387,2200214084,5235.05,Sbi Tac Pro Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45393,2200214389,1323.9,Try & Lilly Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45397,2200214566,1443.27,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45397,2200214568,591.95,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45401,2200214978,2337.95,MSA (Britain) Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45404,2200215026,4889.4,Mehler Vario System Gmbh
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45404,2200215036,1167.32,Sbi Tac Pro Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45404,2200215038,810.53,Sbi Tac Pro Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45407,2200215323,2028.5,TOYE KENNING & SPENCER (BEDWORTH) L
Hampshire & Isle of Wight Constabulary,CHIEF CONSTABLE PROJECTS,Technical and Professional Consultant F,45405,2200215099,3150,Jones Risk Consultancy
Hampshire & Isle of Wight Constabulary,Commercial Vehicles non-collab,Hired and Contracted Services,45397,3110121840,550,RAVENSCROFT MOTORS
Hampshire & Isle of Wight Constabulary,CONTACT MANAGEMENT CENTRE,Equipment,45384,2200213770,2440,1D Agency Ltd T/A One Day Agency
Hampshire & Isle of Wight Constabulary,CONTACT MANAGEMENT CENTRE,Equipment,45386,2200214023,4647,Plm Office Solutions
Hampshire & Isle of Wight Constabulary,Contact Management Collaboration,Equipment,45406,2200215203,1853.73,SHOWCASE PSR PORTSDOWN LIMITED
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Other Services,45398,2200214654,930,HAMPSHIRE PENSION FUND
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Other Services,45398,2200214656,4300,HAMPSHIRE PENSION FUND
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Payments to Private Contractors,45385,2200213859,3245,Pension Ready Limited
