Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,10 The Sq Petersfield,Non System - Electricity,45708,3110127805,1427.2,One Time Vendor
Hampshire & Isle of Wight Constabulary,ACC Public Service & Legitimacy HO,Other Training Courses and Qualification,45692,3110127547,1861.6,One Time Vendor
Hampshire & Isle of Wight Constabulary,ALDERSHOT FOOTBALL CLUB,Police Officers - Overtime Pay,45700,2200234804,3139.03,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45708,3110127913,6608.48,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45701,3110127748,11581.74,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Water - Metered,45698,3110127679,1219.27,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45708,3110127919,2286.19,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45701,3110127779,1134.18,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45708,2200235505,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45714,2200235986,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45693,2200234179,907.06,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45693,2200234180,27202.84,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45698,2200234559,2700,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45698,2200234560,1840,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Rent,45691,2200233908,-588.54,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Non System - Electricity,45708,3110127864,685.46,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45708,3110127856,1546.04,NPOWER
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45712,2200235697,789.75,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45693,2200234176,630,Paypoint Network Limited
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45698,2200234626,560,Paypoint Network Limited
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45698,2200234627,665,Paypoint Network Limited
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45700,2200234780,4720,BT GROUP ENGINEERING SERVICES
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45707,2200235406,63572.25,Home Office
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45701,2200234972,637.35,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45702,2200235004,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45708,2200235487,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45691,2200234004,2715,MLA LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45692,2200234072,530.6,Sbi Tac Pro Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45694,2200234365,732.5,MLA LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45694,2200234381,1023,MLA LTD
