Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,126 High Street Cowes,Uniform Business Rates,45658,3500004825,586,Isle Of Wight Council
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Payments to Other PC,45673,2200232728,14853.45,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,AIR SUPPORT COLLABORATION,Payments to Other PC,45688,2200233820,285287,West Yorkshire Combined Authority
Hampshire & Isle of Wight Constabulary,ALDERSHOT FOOTBALL CLUB,Catering,45685,2200233539,701.25,FOOD ON THE MOVE LTD
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45681,3110127511,6459.13,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45672,3110127331,9761.37,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Water - Metered,45674,3110127391,1109.94,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Uniform Business Rates,45658,3500004799,28665,RUSHMOOR BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45681,3110127518,2142.66,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45672,3110127327,917.88,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45672,3500004843,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,ANPR Collaboration,Payments to Other PC,45672,2200232510,38785,Thames Valley Police
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45688,2200233839,900,The Drain Experts Ltd
Hampshire & Isle of Wight Constabulary,Assisted studies,Other Training Courses and Qualification,45678,2200233014,3501.68,University of Portsmouth
Hampshire & Isle of Wight Constabulary,BASINGSTOKE POLICE STATION (PARKLANDS),Rent,45670,2200232300,53233.28,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45677,3500004848,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BEAULIEU POLICE STATION,Uniform Business Rates,45658,3500004788,936,New Forest District Council
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Non System - Electricity,45681,3110127462,1126.01,NPOWER
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45658,3500004807,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,BITTERNE POLICE STATION (AB),Uniform Business Rates,45658,3500004800,7781,Southampton City Council
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45681,3110127469,1374.29,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45658,3500004806,2121,Southampton City Council
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45660,2200231747,438487,Motorola Ltd
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45660,2200231748,27429,Motorola Ltd
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45664,2200231856,633.12,AXESS INTERNATIONAL LIMITED
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45667,2200232235,563.84,Co Star Components
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45670,2200232333,832,Sepura Plc
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Radio Costs,45674,2200232755,2848.75,AXESS INTERNATIONAL LIMITED
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45674,2200232841,725.25,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45674,2200232843,607.52,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45679,2200233180,749.25,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45688,2200233843,749.25,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,Business Improvement Team,Agency Staff,45688,2200233844,648,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45663,2200231769,2040,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAIT,Equipment,45680,2200233234,3977.9,DAVID HORN COMMUNICATIONS LIMITED
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45674,2200232787,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45679,2200233182,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45687,2200233769,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45665,2200232044,10650,Mehler Vario System Gmbh
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45667,2200232207,2318.55,KEELA INTERNATIONAL
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45667,2200232237,610,MC PRODUCTS
