Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Payments to Other PC,45545,2200223848,13946.28,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,AIR SUPPORT COLLABORATION,Payments to Other PC,45553,2200224334,285287,West Yorkshire Combined Authority
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45554,3110125524,5234.24,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45552,3110125409,3951.39,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALVINGTON MAST,Uniform Business Rates,45538,3110125172,5077.96,Isle Of Wight Council
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45554,3110125518,1912.87,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45550,3500004561,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Area Crime Team East,Police Officers - Overtime Pay,45546,2200223892,6553.83,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,Area Crime Team East,Technical and Professional Consultant F,45538,3110125160,2000,One Time Vendor
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45555,2200224546,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45537,2200223137,2209,ANCHOR PIPEWORK LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45539,2200223418,2209,ANCHOR PIPEWORK LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Grounds Maintenance Contracts,45544,2200223703,45679.37,JAPANESE KNOTWEED LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45537,2200223150,3850,Dean Property (South-East) Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45548,2200224053,1224,DQM LTD
Hampshire & Isle of Wight Constabulary,Assisted studies,Other Training Courses and Qualification,45559,2200224779,770,UNIVERSITY OF PORTSMOUTH
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45548,2200224046,554.68,MB Garage Equipment Ltd
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45552,2200224189,652.39,SGI Industries Limited
Hampshire & Isle of Wight Constabulary,BAR END TRANSPORT WORKSHOP,Vehicles and Plant - Repairs and Main,45561,2200225011,1584.05,PULLMAN INSTRUMENTS (UK) LIMITED
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Uniform Business Rates,45555,3500004566,1435,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Uniform Business Rates,45536,3500004528,1223,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45554,3110125465,1252.9,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Rent,45555,2200224530,10000,Questmap Ltd
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Uniform Business Rates,45536,3500004527,2121,Southampton City Council
Hampshire & Isle of Wight Constabulary,BOOMTOWN,Catering Provisions,45560,2200224907,28392.57,Compass Contract Services (UK) Ltd
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45537,2200223054,3277.5,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45552,2200224273,2795.45,AXESS INTERNATIONAL LIMITED
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45558,2200224648,1533.35,RS COMPONENTS LTD
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45560,2200224836,824,RS COMPONENTS LTD
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45540,2200223502,720,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45540,2200223457,63572.25,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAIT,Equipment,45558,2200224664,612.34,COMPUTACENTER UK LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45537,2200223067,3439,Bks (Made To Measure) Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45537,2200223068,3584,Bks (Made To Measure) Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45537,2200223065,1871.09,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45537,2200223066,875.5,Price Western Leather Co Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45538,2200223203,10974.75,DHL Supply Chain Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45541,2200223545,1232,Cw Headdress Ltd
