Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,ABI,Payment to Government Departments,45727,2200236861,7345.8,Dover Harbour Board
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Payments to Other PC,45730,2200237238,15308.98,PCC for Thames Valley
Hampshire & Isle of Wight Constabulary,Agile Working,Furniture,45727,2200236947,533.47,POSTURITE (UK) LTD
Hampshire & Isle of Wight Constabulary,Agile Working,Furniture,45727,2200236949,533.47,POSTURITE (UK) LTD
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45740,3110128340,5816.59,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45730,3110128132,9746.09,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Water - Metered,45730,3110128171,1201.02,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45740,3110128348,1793.74,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45730,3110128130,1010.2,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Water - Metered,45730,3110128148,5671.14,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,Annual Protests,Catering Provisions,45747,2200238565,776.25,FOOD ON THE MOVE LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45741,2200238026,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Premises Repairs,45721,2200236443,900,The Drain Experts Ltd
Hampshire & Isle of Wight Constabulary,BASINGSTOKE VEHICLE WORKSHOP,Rent,45729,2200237179,7756.72,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire & Isle of Wight Constabulary,BISHOPS WALTHAM POLICE STATION,Non System - Electricity,45740,3110128332,606.89,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Electricity,45740,3110128311,1327.66,NPOWER
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Non System - Water - Metered,45730,3110128184,-858.96,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Rent,45737,2200237819,10000,Questmap Ltd
Hampshire & Isle of Wight Constabulary,Bitterne West End PS4 PS,Service Charges - Premises,45720,2200236302,969.21,Questmap Ltd
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45737,2200237809,2190.65,AXESS INTERNATIONAL LIMITED
Hampshire & Isle of Wight Constabulary,BSG Business Support  Group,Equipment,45744,2200238466,585,Juma Communications Ltd
Hampshire & Isle of Wight Constabulary,CAB / CIU,Payments to Other PC,45737,2200237791,24589,PCC For Derbyshire
Hampshire & Isle of Wight Constabulary,CAB / CIU,Payments to Other PC,45737,2200237792,14834,PCC For Derbyshire
Hampshire & Isle of Wight Constabulary,CAB / CIU,Telecomms Investigations,45747,2200238659,6630,Redacted - Operational
Hampshire & Isle of Wight Constabulary,CAIT,Fixtures and Fittings,45719,2200236193,2616.64,SHOWCASE PSR PORTSDOWN LIMITED
Hampshire & Isle of Wight Constabulary,CAIT,Furniture,45728,2200237002,680,MJF Interiors Limited
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45728,2200236987,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45734,2200237435,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45741,2200238051,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL ADMIN,Agency Staff,45743,2200238302,673.77,REED SPECIALIST RECRUITMENT LTD
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45721,2200236451,575,Arktis Endurance Textiles Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45721,2200236449,624.99,Bks (Made To Measure) Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45721,2200236450,544.34,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45722,2200236504,1715,Clifton Canvas Developments Ltd
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45727,2200236881,791.98,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45727,2200236886,1378,Intramark Limited
Hampshire & Isle of Wight Constabulary,CENTRAL STORES PRODUCTION COST,Clothing and Uniforms,45727,2200236889,1075.5,Intramark Limited
