Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,ACPO SECRETARIAT,Technical and Professional Consultant F,45628,2200229621,500,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Electricity,45643,3110126851,6410.39,NPOWER
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Gas,45643,3110127041,8199.82,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ALDERSHOT POLICE STATION (RA),Non System - Water - Metered,45638,3110126805,1401.57,Scottish Water Business Stream Ltd
Hampshire & Isle of Wight Constabulary,ALRESFORD NPO,Rent,45653,2200231404,5121.54,HIWFRS
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Electricity,45643,3110126866,1971.71,NPOWER
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Non System - Gas,45643,3110127037,770.53,TOTALENERGIES GAS & POWER LIMITED
Hampshire & Isle of Wight Constabulary,ANDOVER POLICE STATION TA,Uniform Business Rates,45641,3500004766,3003,Test Valley Borough Council
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Domestic and Cleaning Equipment,45644,2200230843,8500,Air-Serv
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Equipment,45630,2200229862,2312,ICS Cool Energy Ltd
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Fixtures and Fittings,45630,2200229856,1020,DGK FLOORING LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),General Maintenance,45644,2200230896,1546.13,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Adhoc Site / Grounds Maintenanc,45642,2200230536,1323.07,ANCHOR PIPEWORK LTD
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Adhoc Site / Grounds Maintenanc,45645,2200230975,4152,SOUTHAMPTON CITY COUNCIL
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45636,2200230241,27200,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45636,2200230243,14785,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45644,2200230899,1717,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Other Services,45644,2200230898,8019.28,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Asset Management Planning (AMP),Subscriptions,45653,2200231366,3000,UL VS Ltd
