,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
04/04/2023,851207,0,993.15,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851209,0,1046.16,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851210,0,1054.59,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851230,0,1633.62,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851231,0,1787.58,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851242,0,12171.96,CASTLE WATER LTD,8513900,Water and Sewerage,Place,Neighbourhoods
04/04/2023,851419,0,11587.5,CHOICE SUPPORT,8387600,PEI Grants - MCCH PrvStrt,Adults & Health,Bexley Care
04/04/2023,851691,0,5000,CITY OF LONDON CORPORATION,6156901,Membership and Subscriptions,Adults & Health,Adults Social Care – Non Bexle
04/04/2023,851797,0,500,REDACTED PERSONAL DATA,1002527600,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
04/04/2023,851798,0,650,CORNERSTONE BARRISTERS,8580600,Counsel Fees,Finance & Corporate,Legal and Democratic Services
04/04/2023,851987,0,40183.66,COUNTRYSTYLE RECYCLING LIMITED,8016100,Residual Waste,Place,Neighbourhoods
04/04/2023,852068,0,6180,CRUSE BEREAVEMENT CARE (BEXLEY BRANCH),3056000,PEI Grants - Cruse PrvStrt,Adults & Health,Bexley Care
04/04/2023,852097,0,590,DAVID OGILVIE ENGINEERING LIMITED,4323900,GM Reactive Works,Place,Neighbourhoods
04/04/2023,852098,0,18480,DAVID OGILVIE ENGINEERING LIMITED,4323900,GM Reactive Works,Place,Neighbourhoods
04/04/2023,852166,0,35690.8,DOCOBO LIMITED,8598601,Specialist Equip for Svce Prov,Adults & Health,Bexley Care
04/04/2023,852176,0,1620,DOMUS PERSONNEL,10119700,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,852185,0,2457.86,DORMWELL LTD T/A STREET SUPPORT,8596700,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,852305,0,2657.14,DYNAMIC CARE,10119800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,852996,0,35240.69,F M CONWAY LTD,187200,Public Lighting,Place,Neighbourhoods
04/04/2023,853005,0,1129.42,F M CONWAY LTD,187200,Traffic Schemes,Place,Neighbourhoods
04/04/2023,853030,0,4120,FAMILY MATTERS  ,5942300,PEI Grants - Fam Matts PrvStrt,Adults & Health,Bexley Care
04/04/2023,853317,0,42683,GRANT THORNTON,8114701,Agency Staff,Adults & Health,Bexley Care
04/04/2023,853344,0,3516.95,GREATER LONDON FOSTERING LTD,8366400,Specialist Placements IFA's,Children's Services,Children Social Care & Safegua
04/04/2023,853568,0,10300,HEADWAY SEL/NWK,3056100,PEI Grants - Headway,Adults & Health,Bexley Care
04/04/2023,853615,0,88628,HIGHAM FLAT ROOFING LTD,8673200,Construction & Conversion Cost,Finance & Corporate,Central Finance
04/04/2023,853970,0,30930,INSIGHT DIRECT UK LTD,8440901,Private Contractors - ICT serv,Finance & Corporate,Corporate Services
04/04/2023,853971,0,258598.46,INSIGHT DIRECT UK LTD,8440901,Private Contractors - ICT serv,Finance & Corporate,Corporate Services
04/04/2023,853985,0,23333.33,INSPIRE COMMUNITY TRUST,5943900,Adult Contract Pymt - Inspire,Adults & Health,Bexley Care
04/04/2023,853989,0,33833.33,INSPIRE COMMUNITY TRUST,5943900,Adult Contract Pymt - Inspire,Adults & Health,Bexley Care
04/04/2023,854366,0,905.24,JAMES ANDREWS RECRUITMENT SOLUTIONS,8762800,Agency Staff,Place,Housing and Strategic Planning
04/04/2023,854375,0,1018.8,JAMES ANDREWS RECRUITMENT SOLUTIONS,8762800,Agency Staff,Place,Housing and Strategic Planning
04/04/2023,854403,0,3600,JEM SUPPORT SERVICES,8400002700,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,854451,0,4800,JENNY PEARCE ASSOCIATES,10009000,Professional Services General,Children's Services,Children Social Care & Safegua
04/04/2023,854535,0,2875,JW FAMILY ASSESSMENT SERVICES LIMITED,8327201,Child Serv Section 17 Support,Children's Services,Children Social Care & Safegua
04/04/2023,854594,0,4377.5,KENT ASSOCIATION FOR THE BLIND,148400,PEI Grants - KAB PrvStrt,Adults & Health,Bexley Care
04/04/2023,854631,0,868.67,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
04/04/2023,854761,0,3398.19,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
04/04/2023,854774,0,4291.64,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
04/04/2023,854814,0,651.79,KENT COUNTY COUNCIL,149301,Gas,Children's Services,Education Services
04/04/2023,854818,0,730.18,KENT COUNTY COUNCIL,149301,Gas,Children's Services,Education Services
04/04/2023,854827,0,832.83,KENT COUNTY COUNCIL,149301,Gas,Finance & Corporate,Finance & Property
04/04/2023,855047,0,1422.15,LESLIE EASTON & CO LIMITED,7100000000,LBB Share NNDR Debtor,Finance & Corporate,Central Finance
04/04/2023,855053,0,548.49,LEX VEHICLE PARTNERS,dd,Transport Costs,Place,Neighbourhoods
04/04/2023,855218,0,14700,LONDON BOROUGH OF BEXLEY PENSION FUND,10134900,Cash Posting Ctrl- Untraced,Finance & Corporate,Central Finance
04/04/2023,855226,0,199366,LONDON BOROUGH OF BEXLEY PENSION FUND,10134900,VAT Reimbursement,Finance & Corporate,Central Finance
04/04/2023,855369,0,950,LONDON SLTS LIMITED,10108100,SP top-up funding Secondary,Children's Services,Schools
04/04/2023,855455,0,585,M E HORSTEAD,8513400,Grants Paid,Finance & Corporate,Central Finance
04/04/2023,855589,0,6041.67,MARITIME ACADEMY TRUST,8733700,RP top-up funding Primary,Children's Services,Schools
04/04/2023,855849,0,7604.17,MAYPOLE PRIMARY SCHOOL,8650700,MS top-up funding Primary,Children's Services,Schools
04/04/2023,855952,0,8755,MIND IN BEXLEY,2537100,PEI Grants - Bex MIND PrvStrt,Adults & Health,Bexley Care
04/04/2023,856074,0,2392,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856075,0,2392,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856078,0,2400,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856083,0,2420,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856085,0,2460,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856087,0,2492,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856088,0,2492,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856089,0,2600,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856093,0,2980,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
04/04/2023,856095,0,1792,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856107,0,2000,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856108,0,2000,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856115,0,2200,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856119,0,2320,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856192,0,580,NEC SOFTWARE SOLUTIONS UK LTD,8380302,ICT Other Expenditure,Finance & Corporate,Corporate Services
04/04/2023,856208,0,3599.99,NETPEX LTD,5854900,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856210,0,3980.2,NETPEX LTD,5854900,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
04/04/2023,856253,0,25000,NHS SOUTH EAST LONDON ICB,8750600,Adult Contract Pymt - General,Adults & Health,ASC Non Bexley Care
04/04/2023,856531,0,790.65,NONSTOP CONSULTING LTD,10055500,Agency Staff,Adults & Health,ASC Non Bexley Care
04/04/2023,856534,0,847.08,NONSTOP CONSULTING LTD,10055500,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,856613,0,1694.16,NONSTOP CONSULTING LTD,10055500,Agency Staff,Children's Services,Children Social Care & Safegua
04/04/2023,856622,0,1938.98,NONSTOP CONSULTING LTD,10055500,Agency Staff,Adults & Health,ASC Non Bexley Care
04/04/2023,856630,0,931.68,NONSTOP CONSULTING LTD,10055500,Leaving Care Subsistence,Children's Services,Children Social Care & Safegua
04/04/2023,856973,0,2328.72,ORANGE GROVE FOSTERCARE LTD,8609000,Leaving Care Staying Put,Children's Services,Children Social Care & Safegua
04/04/2023,857371,0,1125,PEABODY TRUST,8453900,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
04/04/2023,857585,0,8000,PETER HILLS WITH ST MARYS & ST PAULS C O,8706500,MS top-up funding Primary,Children's Services,Schools
04/04/2023,857623,0,52644,POSITIVE FAMILIES PARTNERSHIP LLP,8661100,ChildrenSvcesCommissionedContr,Children's Services,Children Social Care & Safegua
04/04/2023,857649,0,11000,PRECISION RESOURCE GROUP LIMITED,10094600,Agency Staff,Adults & Health,Health & Wellbeing
04/04/2023,857775,0,1235,PRO CLEAN BINS,8433900,RepairRecyclingContainersWaste,Place,Neighbourhoods
04/04/2023,857787,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857788,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857789,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
