,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
14/04/2023,861542,0,716.73,REDACTED PERSONAL DATA,10110200,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
14/04/2023,863157,0,5999,ROYAL FREE LONDON NHS FOUNDATION TRUST,10136800,Public Health Payments,Adults & Health,Health & Wellbeing
14/04/2023,863441,0,945,SHERBETS MINI CABS,6472900,Postage and Courier Services,Children's Services,Education Services
14/04/2023,863445,0,1800,SHERWOOD PARK PRIMARY SCHOOL,4000006700,3 & 4 year old funding,Children's Services,Schools
14/04/2023,863835,0,3764.33,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863836,0,3764.33,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863837,0,3764.33,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863838,0,3764.33,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863845,0,3963.66,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863847,0,4406.34,SOCIAL CARE LONDON,8598800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,863857,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863858,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863859,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863860,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863861,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863862,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863863,0,1594.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863872,0,4384.33,SOCIAL CARE LONDON,8598800,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
14/04/2023,863873,0,835.7,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863875,0,1790.04,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863876,0,2000,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863877,0,2274.24,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863894,0,3764.33,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863895,0,3764.33,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863902,0,3963.66,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863908,0,4122.06,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863911,0,4406.34,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863912,0,4406.34,SOCIAL CARE LONDON,8598800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
14/04/2023,863916,0,1279.26,SOCIAL CARE LONDON,8598800,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
14/04/2023,863917,0,3875,SOCIAL CARE LONDON,8598800,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
14/04/2023,863919,0,4185,SOCIAL CARE LONDON,8598800,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
14/04/2023,863920,0,4185,SOCIAL CARE LONDON,8598800,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
14/04/2023,864077,0,57085,SPIRE HOUSING LIMITED,5739900,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
14/04/2023,864080,0,9000,SPIRE HOUSING LIMITED,5739900,Other ASC Payments,Adults & Health,Bexley Care
14/04/2023,864437,0,1800,ST PAULINUS PRE-SCHOOL PLAYGROUP,4200001900,3 & 4 year old funding,Children's Services,Schools
14/04/2023,864694,0,660,REDACTED PERSONAL DATA,10138800,Reactive Repairs,Place,Housing and Strategic Planning
14/04/2023,864758,0,2800,THE BLISS SEMI INDEPENDENT HOMES LTD,10100100,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
14/04/2023,864796,0,42897.13,THE EXCHANGE ERITH LTD,8551900,Activities,Place,Housing and Strategic Planning
14/04/2023,865200,0,3600,TRICS CONSORTIUM LTD,8368200,ICT Software,Place,Housing and Strategic Planning
14/04/2023,865224,0,876.9,TRS LTD,8021802,Other Fees,Finance & Corporate,Central Finance
14/04/2023,865233,0,520.79,TUSKERDIRECT LTD,8350900,Car Leasing Control Account,Finance & Corporate,Central Finance
17/04/2023,848177,0,600,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
17/04/2023,849084,0,22680,ACCORA,7058800,Specialist Equip for Svce Prov,Adults & Health,Bexley Care
17/04/2023,849361,0,637,AMALGAMATED LIFTS LIMITED,8754300,Lift Maintenance,Finance & Corporate,Finance & Property
17/04/2023,849439,0,29540,ANGELS ABODE LIMITED,6810102,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
17/04/2023,849981,0,5294.1,BALTIMORE CONSULTING LTD,8774900,Agency Staff,Children's Services,Children Social Care & Safegua
17/04/2023,849988,0,1900,BALTIMORE CONSULTING LTD,8774900,Salaries Gross,Children's Services,Education Services
17/04/2023,850001,0,7371.8,BALTIMORE CONSULTING LTD,8774900,Salaries Gross,Children's Services,Children Social Care & Safegua
17/04/2023,850004,0,544,BANNER GROUP LTD,8472901,Purchase Equip Furn Materials,Finance & Corporate,Finance & Property
17/04/2023,850020,0,4595,BASIS LTD,8500000,Staff Development and Training,Finance & Corporate,Finance & Corporate Management
17/04/2023,850258,0,44328,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,8676400,Adult Contract Pymt - General,Adults & Health,Bexley Care
17/04/2023,850385,0,90000,Bolton Burdon Kemp LLP,9999999800,ST Provisions - Insurance,Finance & Corporate,Central Finance
17/04/2023,850496,0,4394,BROMLEY BEACON ACADEMY,8680601,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,850752,0,7470.99,CAMBIAN WHINFELL SCHOOL LIMITED,8710300,SP top-up funding Post-19,Children's Services,Schools
17/04/2023,850754,0,1000,CAMBRIDGE ENV RESEARCH CONSULTANTS,8250300,Air Monitoring Systems,Place,Housing and Strategic Planning
17/04/2023,851369,0,12500,CHARLTON PARK ACADEMY,8285900,SP top-up funding Secondary,Children's Services,Schools
17/04/2023,851643,0,541.75,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851645,0,1353.91,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851647,0,1624.63,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851648,0,1624.63,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851652,0,2527.03,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851653,0,2617.27,CHRIST THE KING SIXTH FORM COLLEGE,786401,MS top-up funding Post-16,Children's Services,Schools
17/04/2023,851656,0,1263.66,CHRIST THE KING SIXTH FORM COLLEGE,786401,Top-up funding Post-19,Children's Services,Schools
17/04/2023,851657,0,1578.95,CHRIST THE KING SIXTH FORM COLLEGE,786401,Top-up funding Post-19,Children's Services,Schools
17/04/2023,851746,0,5290,CLEMLEC GROUP LTD,10067600,Grants Paid,Finance & Corporate,Central Finance
17/04/2023,851780,0,1614,CONNEVANS LIMITED,174600,Books Publications Resources,Children's Services,Schools
17/04/2023,852158,0,6118,DISCLOSURE AND BARRING SERVICE,8128400,Disclosure Bar Svce Checks,Finance & Corporate,Corporate Services
17/04/2023,852308,0,2399.99,DYNAMIC CARE,10119800,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
17/04/2023,853122,0,5552,FITZPATRICK WOOLMER DESIGN AND PUBLISHIN,4273400,GM Reactive Works,Place,Neighbourhoods
17/04/2023,853306,0,1748.56,GOLDGATE PROPERTY MANAGEMENT LTD,9999999900,Cash Posting Ctrl - Cashiers,Finance & Corporate,Central Finance
17/04/2023,853631,0,5088.62,HILLSGROVE PRIMARY SCHOOL,5195900,Building Maintenance,Children's Services,Children Social Care & Safegua
17/04/2023,853762,0,2100,ICHABOD'S INDUSTRIES LIMITED,10036800,Membership and Subscriptions,Finance & Corporate,Finance & Property
17/04/2023,853766,0,3270,IIM TRANSPORT LTD,10108300,Transport Costs Clients,Children's Services,Education Services
17/04/2023,853993,0,14800,INSPIRE COMMUNITY TRUST,5943900,Specialist Equip for Svce Prov,Adults & Health,Bexley Care
17/04/2023,854389,0,500,JAMMA UMOJA (RESIDENTIAL SERVICES) LTD,10050600,FamilyAssessments&CourtReports,Children's Services,Children Social Care & Safegua
17/04/2023,854502,0,8361,JN & F LTD,8486900,Grants Paid,Finance & Corporate,Central Finance
17/04/2023,854508,0,1200,JORDAN XAVIER LTD,10026600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
17/04/2023,854510,0,2900,JORDAN XAVIER LTD,10026600,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
17/04/2023,854515,0,642.86,JORDAN XAVIER LTD,10026600,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
17/04/2023,854521,0,2464.29,JORDAN XAVIER LTD,10026600,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
17/04/2023,854621,0,743.94,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854628,0,858.15,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854632,0,869.55,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854635,0,887.65,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854636,0,902.62,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854637,0,913.32,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854734,0,2269.38,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854735,0,2281.8,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854736,0,2300.53,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854742,0,2360.54,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854750,0,2664.94,KENT COUNTY COUNCIL,149301,Electricity,Place,Neighbourhoods
17/04/2023,854892,0,5657.55,KENT COUNTY COUNCIL,149301,Gas,Place,Neighbourhoods
17/04/2023,854929,0,750,KENT FORKLIFT TRAINING LTD,10141500,Non Staff TrainingCourses,Place,Housing and Strategic Planning
17/04/2023,854949,0,4915.15,KINGS COLLEGE HOSPITAL NHS FOUNDATION TR,8071600,Payment to Health Authorities,Place,Neighbourhoods
17/04/2023,855229,0,8065,LONDON BOROUGH OF HILLINGDON,10137000,Professional Services General,Finance & Corporate,Legal and Democratic Services
17/04/2023,855367,0,1843.7,LONDON HIRE LIMITED,3865600,Transport Costs Clients,Children's Services,Education Services
17/04/2023,855878,0,14813,METROPOLITAN POLICE AUTHORITY,4385300,Grants and Contributions,Place,Neighbourhoods
17/04/2023,855973,0,1113,MOJ HMCTS CENTRA PBA0089423,dd,Court Fees,Finance & Corporate,Central Finance
17/04/2023,855984,0,16468,MOOR HOUSE SCHOOL,6135100,SP top-up funding Primary,Children's Services,Schools
17/04/2023,856178,0,2143.15,NATWEST BANK,dd,Bank Charges,Finance & Corporate,Central Finance
17/04/2023,856588,0,1355.4,NONSTOP CONSULTING LTD,10055500,Agency Staff,Adults & Health,Bexley Care
17/04/2023,856589,0,1355.4,NONSTOP CONSULTING LTD,10055500,Agency Staff,Adults & Health,Bexley Care
17/04/2023,856632,0,931.68,NONSTOP CONSULTING LTD,10055500,Leaving Care Subsistence,Children's Services,Children Social Care & Safegua
17/04/2023,856966,0,6537.48,OLYMPIC (SOUTH) LIMITED,6080900,Transport Costs Clients,Children's Services,Education Services
17/04/2023,857007,0,9252,OVERDRIVE  INC,7600002200,Reference & Periodicals,Place,Neighbourhoods
17/04/2023,857021,0,1105.82,OXLEAS NHS FOUNDATION TRUST,6534700,ICT Other Expenditure,Children's Services,Education Services
17/04/2023,857045,0,26525,OXLEAS NHS FOUNDATION TRUST,6534700,Payment to Health Authorities,Children's Services,Schools
17/04/2023,857462,0,680,PECULIAR CARE HOMES LIMITED,8502700,DisabledChildrenRespiteSupport,Children's Services,Children Social Care & Safegua
17/04/2023,857652,0,2108.5,PREMIER INN,dd,Temporary Accomodation,Place,Neighbourhoods
17/04/2023,857684,0,2000,PREPAID FINANCIAL SERVICES,8137300,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
17/04/2023,857685,0,2000,PREPAID FINANCIAL SERVICES,8137300,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
17/04/2023,857686,0,2000,PREPAID FINANCIAL SERVICES,8137300,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
17/04/2023,857834,0,1391.4,PSYCHOLOGY EXPERTS,10009700,Legal Disbursements,Finance & Corporate,Legal and Democratic Services
17/04/2023,857929,0,20818.28,RADICAL SERVICES LTD,10029300,Specialist Placements Resid,Children's Services,Children Social Care & Safegua
17/04/2023,860795,0,750,REDACTED PERSONAL DATA,9999999900,Gross Rents Income,Place,Housing and Strategic Planning
17/04/2023,860796,0,1500,REDACTED PERSONAL DATA,9999999900,Gross Rents Income,Place,Housing and Strategic Planning
17/04/2023,861556,0,3391.3,REDACTED PERSONAL DATA,8487200,Major Repairs and Structural,Place,Housing and Strategic Planning
17/04/2023,861591,0,600,REDACTED PERSONAL DATA,10075000,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861606,0,600,REDACTED PERSONAL DATA,10075100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861646,0,600,REDACTED PERSONAL DATA,10075400,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861626,0,600,REDACTED PERSONAL DATA,10075600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861634,0,600,REDACTED PERSONAL DATA,10075700,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861647,0,600,REDACTED PERSONAL DATA,10075800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861608,0,600,REDACTED PERSONAL DATA,10076600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861578,0,600,REDACTED PERSONAL DATA,10076800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861573,0,600,REDACTED PERSONAL DATA,10076900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861577,0,600,REDACTED PERSONAL DATA,10077100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861610,0,950,REDACTED PERSONAL DATA,10077600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861638,0,600,REDACTED PERSONAL DATA,10077800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861631,0,500,REDACTED PERSONAL DATA,10077900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861601,0,600,REDACTED PERSONAL DATA,10079800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861637,0,600,REDACTED PERSONAL DATA,10080000,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861582,0,600,REDACTED PERSONAL DATA,10080500,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861627,0,861.29,REDACTED PERSONAL DATA,10080700,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861590,0,600,REDACTED PERSONAL DATA,10080900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861632,0,950,REDACTED PERSONAL DATA,10081200,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861613,0,600,REDACTED PERSONAL DATA,10081300,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861572,0,600,REDACTED PERSONAL DATA,10083100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861580,0,600,REDACTED PERSONAL DATA,10083200,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861592,0,600,REDACTED PERSONAL DATA,10086300,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861602,0,600,REDACTED PERSONAL DATA,10087800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861629,0,2700,REDACTED PERSONAL DATA,10088200,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861576,0,600,REDACTED PERSONAL DATA,10088900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861630,0,600,REDACTED PERSONAL DATA,10089400,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861579,0,950,REDACTED PERSONAL DATA,10093300,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861604,0,500,REDACTED PERSONAL DATA,10096500,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861589,0,600,REDACTED PERSONAL DATA,10097700,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861614,0,600,REDACTED PERSONAL DATA,10097800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861619,0,600,REDACTED PERSONAL DATA,10099100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861600,0,600,REDACTED PERSONAL DATA,10099200,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861639,0,600,REDACTED PERSONAL DATA,10099500,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861611,0,700,REDACTED PERSONAL DATA,10099900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861621,0,600,REDACTED PERSONAL DATA,10102600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861586,0,600,REDACTED PERSONAL DATA,10102800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861623,0,600,REDACTED PERSONAL DATA,10104000,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861594,0,600,REDACTED PERSONAL DATA,10104100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861645,0,500,REDACTED PERSONAL DATA,10113800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861617,0,500,REDACTED PERSONAL DATA,10113900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861597,0,850,REDACTED PERSONAL DATA,10114200,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861583,0,500,REDACTED PERSONAL DATA,10122100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861574,0,600,REDACTED PERSONAL DATA,10122600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861643,0,500,REDACTED PERSONAL DATA,10124500,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861585,0,1470.96,REDACTED PERSONAL DATA,10124900,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861596,0,500,REDACTED PERSONAL DATA,10125300,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861603,0,500,REDACTED PERSONAL DATA,10126100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861635,0,550,REDACTED PERSONAL DATA,10133600,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861640,0,500,REDACTED PERSONAL DATA,10135700,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861588,0,500,REDACTED PERSONAL DATA,10135800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861605,0,500,REDACTED PERSONAL DATA,10136300,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861622,0,500,REDACTED PERSONAL DATA,10143100,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861628,0,500,REDACTED PERSONAL DATA,10143800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861633,0,500,REDACTED PERSONAL DATA,10150800,Private Contractors - General,Finance & Corporate,Finance & Corporate Management
17/04/2023,861933,0,3638,REDACTED PERSONAL DATA,10050600,Specialist Placements Resid,Children's Services,Children Social Care & Safegua
17/04/2023,861942,0,9488,REDACTED PERSONAL DATA,8600900,Top-up funding Post-16,Children's Services,Schools
17/04/2023,861943,0,9488,REDACTED PERSONAL DATA,8600900,Top-up funding Post-16,Children's Services,Schools
17/04/2023,861944,0,9488,REDACTED PERSONAL DATA,8600900,Top-up funding Post-16,Children's Services,Schools
17/04/2023,862056,0,-1117.76,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,ASC Non Bexley Care
17/04/2023,862071,0,527.38,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,ASC Non Bexley Care
17/04/2023,862079,0,534.65,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Neighbourhoods
17/04/2023,862088,0,565.05,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862089,0,574.81,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862096,0,595.98,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862102,0,604.35,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862106,0,606.74,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862107,0,606.74,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862114,0,619.27,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862115,0,619.27,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Housing and Strategic Planning
17/04/2023,862121,0,621.14,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862137,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862138,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862139,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862140,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862141,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862142,0,624.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862168,0,627.99,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Finance & Property
17/04/2023,862169,0,627.99,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862170,0,627.99,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862171,0,627.99,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862183,0,630.51,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862184,0,630.51,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862187,0,634.2,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Children's Services,Children Social Care & Safegua
17/04/2023,862190,0,634.51,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862195,0,635.95,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862207,0,648.04,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862210,0,650.64,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862225,0,671.22,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Children's Services,NRPF
17/04/2023,862227,0,673.6,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Housing and Strategic Planning
17/04/2023,862232,0,682.35,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862237,0,685.07,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Children's Services,NRPF
17/04/2023,862245,0,693,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Housing and Strategic Planning
17/04/2023,862251,0,703.94,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862258,0,715.52,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Corporate Services
17/04/2023,862270,0,736.7,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Housing and Strategic Planning
17/04/2023,862272,0,741.75,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862274,0,743.42,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Finance & Corporate,Legal and Democratic Services
17/04/2023,862276,0,747.46,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Adults & Health,Bexley Care
17/04/2023,862281,0,755.78,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Neighbourhoods
17/04/2023,862282,0,755.78,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Neighbourhoods
17/04/2023,862291,0,764.44,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Neighbourhoods
17/04/2023,862297,0,807.67,REED SPECIALIST RECRUITMENT LIMITED,8637700,Agency Staff,Place,Housing and Strategic Planning
