Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,120
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,386.11
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,75.99
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,687.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,65.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,61.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,58.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,57.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,48.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,32.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,32.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,32.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,26.26
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,19.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,19.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,15
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,-53.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,-63.77
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,542.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,286.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,199.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,50.58
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,192
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,44.01
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,170
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,642.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,275.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,81.6
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,74.65
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,66.58
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,65.65
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,59.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,33.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,29.08
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,16.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,05/01/2024,228.42
