   ,,,Supplier Payments where charge to specific cost centre is >= �100 for 2023-24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation code,Effective Date,Directorate,Service Category Label,Service,Supplier (Beneficiary name),Local Supplier(beneficiary) internal reference ,Payment Date,Transaction number,Net Amount,Invoice Date,Irrecoverable VAT,Purpose of spend,Procurement Classification,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,Resources,104,Cultural and Related Services,8x8 UK Limited,122239,17/04/2023,20226596,"4,006.20",,Not applicabe,Software,270000,Information Communication Technology,271510,Application Service Provision,,,
Windsor and Maidenhead,E0305,30/04/2023,Resources Directorate,,Property,A C Beck & Son (Contracts) Ltd,114450,20/04/2023,20226919,"1,712.57",,Not applicabe,Main Contract Payments (Capital Only),390000,"Works-Construction, Repair & Maintenance",391100,Buildings,,,
Windsor and Maidenhead,E0305,30/04/2023,Adult Social Care and Health,,Housing,A. Langham Builders Ltd,121386,20/04/2023,20226923,"7,555.00",,Not applicabe,Improvement Grants (Capital Only),390000,"Works-Construction, Repair & Maintenance",391100,Buildings,,,
Windsor and Maidenhead,E0305,30/04/2023,Adult Social Care and Health,,Housing,A. Langham Builders Ltd,121386,20/04/2023,20226942,"10,070.00",,Not applicabe,Improvement Grants (Capital Only),390000,"Works-Construction, Repair & Maintenance",391100,Buildings,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",102,Central Services,A4 Self Store,110757,28/04/2023,9882225,500,,Not applicabe,Other Expenses,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,108,Housing Services,Abri Group Ltd,114941,24/04/2023,9881742,357.74,,Not applicabe,Rents & Hire Charges (Expenditure),190000,Facilities Management,192110,Room Hire,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,108,Housing Services,Abri Group Ltd,114941,25/04/2023,9881903,273.62,,Not applicabe,Rents & Hire Charges (Expenditure),190000,Facilities Management,192110,Room Hire,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,113,Adult Social Care,Accelerated Home Health Ltd t/a Visiting Angels,123264,03/04/2023,20225354,"1,270.70",,Not applicabe,Homecare / Domiciliary Care Services,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,113,Adult Social Care,Accelerated Home Health Ltd t/a Visiting Angels,123264,27/04/2023,20227049,"1,784.80",,Not applicabe,Homecare / Domiciliary Care Services,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",102,Central Services,Access UK Ltd,122484,28/04/2023,9882251,"1,548.37",,Not applicabe,Software,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",102,Central Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225513,"201,000.00",,Not applicabe,Other Agency Payments,260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",112,Public Health,Achieving for Children Community Interest Co,119273,03/04/2023,20224482,"1,418,900.00",,Not applicabe,Local Authority Payments,260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",112,Public Health,Achieving for Children Community Interest Co,119273,04/04/2023,20224490,"175,000.00",,Not applicabe,Local Authority Payments,260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,"Governance, Law, Strategy and Public Health",112,Public Health,Achieving for Children Community Interest Co,119273,05/04/2023,20225888,"359,480.00",,Not applicabe,Local Authority Payments,260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225500,"1,176.80",,Not applicabe,Reimbursements (Expend),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225502,"2,538.00",,Not applicabe,Reimbursements (Expend),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225531,"158,126.00",,Not applicabe,Reimbursements (Expend),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225444,"18,400.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225445,"19,578.54",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225615,"1,380.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225615,"5,000.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225616,"96,666.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,19/04/2023,20224889,"15,208.48",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,19/04/2023,20226505,"47,485.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,19/04/2023,20224889,"23,920.00",,Not applicabe,Grants (paid out),260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Children큦 Services,103,Children큦 and Education Services,Achieving for Children Community Interest Co,119273,03/04/2023,20225503,"395,728.00",,Not applicabe,Other Agencies,260000,Human Resources,261500,Training & Conferences,,,
Windsor and Maidenhead,E0305,30/04/2023,Place,104,Cultural and Related Services,Active Security,107677,26/04/2023,20227390,451.85,,Not applicabe,Building Maintenance - Responsive,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,Technical Accounting,,,Adelante Software Limited,105893,05/04/2023,20225866,473.75,,Not applicabe,External Interest Payable,270000,Information Communication Technology,271510,Application Service Provision,,,
Windsor and Maidenhead,E0305,30/04/2023,Resources,102,Central Services,Adelante Software Limited,105893,04/04/2023,20225618,"19,378.04",,Not applicabe,IT Maintenance Charges,270000,Information Communication Technology,271510,Application Service Provision,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,113,Adult Social Care,Advance Housing & Support Ltd,332701,24/04/2023,20226795,134.4,,Not applicabe,Homecare / Domiciliary Care Services,,,,,,,
Windsor and Maidenhead,E0305,30/04/2023,Adults Social Care and Health,113,Adult Social Care,Advance Housing & Support Ltd,332701,24/04/2023,20226812,"2,798.32",,Not applicabe,Homecare / Domiciliary Care Services,,,,,,,
