DCC Transparency Report Supplier Payment over ï¿½500,,,,,,,,,,,,,
,,,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,,Purpose of Spend,Procurement Classification,Selection Code 3 Description,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,13/04/2023,284,1608,"2,249.50",Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DEAN AND SMEDLEY LTD,13/04/2023,290,1609,737.50,Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,B J WILSON LTD,13/04/2023,288,1610,587.00,Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ROSEHILL PHARMACY LTD,13/04/2023,292,1618,"4,438.50",Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,VISIONPHARMA LIMITED,13/04/2023,346,1619,509.50,Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,13/04/2023,284,1620,"2,114.50",Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,NORMANTON PHARMACY,13/04/2023,351,1621,535.00,Substance Misuse Pharmacy Based Services,,Public/Government Agency,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,WELFARE PHARMACY,13/04/2023,302,1624,"2,350.50",Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,13/04/2023,284,1626,"2,783.50",Substance Misuse Pharmacy Based Services,,SME,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ASDA STORES LTD,13/04/2023,267,1628,570.00,Substance Misuse Pharmacy Based Services,,Company,,
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,CHADDESDEN PHARMACY,13/04/2023,355,1629,976.00,Substance Misuse Pharmacy Based Services,,SME,,
Corporate Resources,Digital Services & Customer Management,Digital Services & Customer Management,Customer Management,PAYPOINT PAYMENT SERVICES LTD,13/04/2023,356,1651,"17,449.77",Local Assistance,,SME,,
People Services - Children & Young People,Non-Schools,Commissioning,School Organisation & Provision,DERBY SCHOOLS SOLUTIONS LIMITED,13/04/2023,272,1682,"5,000.00",Grouped Schools PFI Revenue,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,LDC HERITAGE RESTORATION,13/04/2023,287,1686,"30,140.00",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1693,742.48,Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1705,"3,845.70",Bemrose Community School,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1708,"1,940.63",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1709,"5,588.20",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1713,"1,006.16",Kingsmead,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1723,"1,443.29",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1725,"1,676.59",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1728,"1,658.27",Dale Primary,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1729,"2,853.23",Kingsmead,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1730,"1,391.07",Kingsmead,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1744,872.1,Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,13/04/2023,264,1749,773.15,Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,ALPHEUS ENVIRONMENTAL LTD,13/04/2023,262,1755,"1,403.72",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,ALPHEUS ENVIRONMENTAL LTD,13/04/2023,262,1756,"14,692.21",Pride Park,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,MANOR ELECTRICAL SERVICES,13/04/2023,275,1759,"1,171.80",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,13/04/2023,266,1768,888,Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,LANGLEY GATES AND RAILINGS LTD,13/04/2023,266,1769,"8,244.40",Repair & Maintenance Works,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,E ON CONTROL SOLUTIONS LIMITED,13/04/2023,316,1770,"2,115.06",DEDA BMS & AHU Replacement,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,B & K PROPERTY SERVICES LTD,13/04/2023,273,1776,"6,897.00",Repair & Maintenance Works,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,G2V RECRUITMENT GROUP LIMITED,13/04/2023,318,1781,"1,665.00",Condition Surveys - Corporate,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,FAITHFUL AND GOULD LIMITED,13/04/2023,319,1782,954.86,Condition Surveys - Education,,Company,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,FAITHFUL AND GOULD LIMITED,13/04/2023,319,1783,"6,338.10",Condition Surveys - Education,,Company,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,E ON CONTROL SOLUTIONS LIMITED,13/04/2023,317,1787,"1,200.00",Project Development - Property Improvement,,SME,,
Corporate Resources,Property,Property Design & Maintenance,Building - Repairs & Maintenance,WATER PLUS LIMITED,13/04/2023,314,1791,"47,883.99",Property Maintenance,,SME,,
Children and Young People,Children and Young People,Children and Young People,Children and Young People,PINFOLD PROJECTS LIMITED,13/04/2023,354,1794,"4,907.68",Sinfin Childrenï¿½s Centre - Rain Canopy Installation,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,PINFOLD PROJECTS LIMITED,13/04/2023,354,1795,"9,815.36",Spondon Village Hall - Window Replacement,,SME,,
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,PINFOLD PROJECTS LIMITED,13/04/2023,354,1796,"9,815.36",Whitaker T2 - Window Replacement,,SME,,
People Services - Children & Young People,Non-Schools,Commissioning,School Organisation & Provision,DERBY CITY BSF LIMITED,18/04/2023,519,1800,"538,782.92",BSF PFI Revenue,,Company,,
