,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Central Services,9009,(G) DAVID STAGG & ASSOCIATES LTD T/A DSA ELECTRICAL,03/12/2024,12075997,"1,495.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Central Services,9009,(G) DAVID STAGG & ASSOCIATES LTD T/A DSA ELECTRICAL,03/12/2024,12075997,555.00,Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Central Services,9010,(G) DAVID STAGG & ASSOCIATES LTD T/A DSA ELECTRICAL,03/12/2024,12075997,"1,235.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5231,(G) DAVID STAGG & ASSOCIATES LTD T/A DSA ELECTRICAL,03/12/2024,12075997,"2,180.00",Repairs And Maintenance Contracts,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) EUROVIA INFRASTRUCTURE LIMITED,03/12/2024,12075997,"46,596.94",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"4,783.71",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"80,000.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"90,000.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"75,000.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"17,037.06",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"52,901.62",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"8,621.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"245,063.86",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"250,000.00",Contractors General,Contractors General
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5170,(G) MARLBOROUGH SURFACING LIMITED,03/12/2024,12075997,"11,041.60",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,9011,(G) R & A MECHANICAL SERVICES LTD,03/12/2024,12075997,"23,350.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,9011,(G) R & A MECHANICAL SERVICES LTD,03/12/2024,12075997,"21,490.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9007,(G) R & A MECHANICAL SERVICES LTD,03/12/2024,12075997,"1,150.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,9011,(G) R & A MECHANICAL SERVICES LTD,03/12/2024,12075997,"51,100.00",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3030,(G) R & A MECHANICAL SERVICES LTD,03/12/2024,12075997,"3,100.00",Repairs And Maintenance Contracts,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,A K SUPPORT HOUSING LIMITED,03/12/2024,12075997,"2,310.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,AARANDALE LODGE LTD,03/12/2024,12075997,"20,173.11",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,AARANDALE LODGE LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,AARANDALE LODGE LTD,03/12/2024,12075997,"1,714.29",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,ACHIEVE TOGETHER LIMITED,03/12/2024,12075997,"6,569.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ACHIEVE TOGETHER LIMITED,03/12/2024,12075997,"22,886.60",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1671,ACHIEVE TOGETHER LIMITED,03/12/2024,12075997,"13,001.40",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ACORN VILLAGES LTD,03/12/2024,12075997,"7,054.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,ADALAH RESIDENTIAL REST HOME LTD,03/12/2024,12075997,"29,310.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,ADALAH RESIDENTIAL REST HOME LTD,03/12/2024,12075997,"4,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,ADALAH RESIDENTIAL REST HOME LTD,03/12/2024,12075997,"13,685.71",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ADDINGTON HOUSE LIMITED,03/12/2024,12075997,"7,846.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,ADVANCE HOUSING AND SUPPORT LTD T/A ADVANCE,03/12/2024,12075997,"23,488.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,AGECARE MG2 LTD,03/12/2024,12075997,"3,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,AKABA SOCIAL UK LTD,03/12/2024,12075997,"8,326.48",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,"AKHTAR LATIF, NCS SOLUTION T/A KIMBERLEY GRACE CARE HOME",03/12/2024,12075997,"40,939.38",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,"AKHTAR LATIF, NCS SOLUTION T/A KIMBERLEY GRACE CARE HOME",03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ALBANY HOUSE,03/12/2024,12075997,"3,413.44",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1640,ALEXANDRA CARE LEICESTER LTD,03/12/2024,12075997,"3,283.24",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,"1,264.69",Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ALLIANCE HOME CARE LTD,03/12/2024,12075997,"10,188.72",Private Contractors,Other Agencies
