SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period January 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
1 2 1 In The Community Ltd,"-1,267.30",04/01/2024,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,580.85,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,04/01/2024,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,657.03,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,04/01/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,985.55,04/01/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,440.00",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,619.20",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,900.95",04/01/2024,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,605.28",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,816.00",04/01/2024,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"3,960.00",04/01/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
24x7 Ltd,888.54,01/12/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,076.67",31/12/2023,YL36,R3307,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Ad Hoc
24x7 Ltd,"1,088.00",31/12/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,284.93",01/12/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,723.00",31/12/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,723.00",31/10/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,723.00",31/10/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,884.67",31/12/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"1,884.67",31/10/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"1,884.67",31/10/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"1,918.94",01/12/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
