BODY,LOCAL AUTHORITY DEPARTMENT,DESCRIPTION 1,DESCRIPTION 2,DATE,AMOUNT,BENEFICIARY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£13.52,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£15.60,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£11.44,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£50.96,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£90.48,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£20.80,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£64.48,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£2.08,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£6.24,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£17.68,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£21.84,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£17.68,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£7.28,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£8.32,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£3.12,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£2.08,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£9.36,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£38.48,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£66.56,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£27.04,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£58.24,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£34.32,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£76.96,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£46.80,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£107.12,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£44.72,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£105.04,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£35.36,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£101.92,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£98.80,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£194.48,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£68.64,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£160.16,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£100.88,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£158.08,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£38.48,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£66.56,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£27.04,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£60.32,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£24.96,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£44.72,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£8.32,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£20.80,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£2.08,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£63.44,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£96.72,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£22.88,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£45.76,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£210.08,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£214.24,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£124.80,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£189.28,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£89.44,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£127.92,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£7.28,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£28.08,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£18.72,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£43.68,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£12.48,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£53.04,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Support Services,01/04/2023,£188.00,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£36.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£159.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£409.94,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£36.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£16.48,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£36.00,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£65.92,AVICENNA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,LLOYDS PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,LLOYDS PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,LLOYDS PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£35.02,LLOYDS PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£142.14,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£102.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£88.58,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£126.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£164.80,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£21.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£96.82,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£43.26,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£103.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£96.82,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£36.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£14.42,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£36.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£75.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£67.98,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,L ROWLAND & CO (RETAIL) LTD T/A ROWLANDS PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£24.72,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£75.00,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£385.22,POOLE BAY PHARMACY LTD
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£30.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£41.20,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£30.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£41.20,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£41.20,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,DAY LEWIS PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£49.44,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£69.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£224.54,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£20.60,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£94.76,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£74.16,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£30.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£94.76,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£6.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£43.26,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£72.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£125.66,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£113.30,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£15.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£43.26,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£103.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£27.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£183.34,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£12.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£195.70,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£24.72,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£47.38,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£78.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£508.82,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£24.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£168.92,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£30.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£20.60,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£6.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£59.74,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£54.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£105.06,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£108.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£154.50,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£18.54,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,BOOTS UK LIMITED
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£63.00,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£624.18,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£168.00,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£766.32,MEDI INNOVATION LTD T/A QUEENS PARK PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£78.00,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£550.02,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£99.00,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£661.26,WAREMOSS LTD T/A KAMSONS PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£123.00,TIBBS HEALTHCARE LTD T/A HOLDENHURST PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£329.60,TIBBS HEALTHCARE LTD T/A HOLDENHURST PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,TIBBS HEALTHCARE LTD T/A HOLDENHURST PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£513.00,TIBBS HEALTHCARE LTD T/A HOLDENHURST PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,"£2,844.86",TIBBS HEALTHCARE LTD T/A HOLDENHURST PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£74.16,MEDICINE CLINIC LTD T/A THE GROVE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,PREMODEN LTD T/A NIMO PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£42.00,PREMODEN LTD T/A NIMO PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£154.50,PREMODEN LTD T/A NIMO PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,POPE KYRELLOS LTD T/A SOMERFORD PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,FRANSIL LTD T/A HEALTHPOINT PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£69.00,FRANSIL LTD T/A HEALTHPOINT PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£45.32,SUTTON CHASE LTD T/A HIGHCLIFFE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,SUTTON CHASE LTD T/A HIGHCLIFFE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£47.38,SUTTON CHASE LTD T/A HIGHCLIFFE PHARMARCY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£72.10,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£57.00,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£162.74,SHALLI LTD T/A BRYANT PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,SUPERDRUG STORES PLC
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£3.00,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£27.00,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£230.72,ASDA PHARMACY
BCP Council,Commissioning,Drug & alcohol services - BCP,Health Authorities,01/04/2023,£25.00,ASDA PHARMACY
