Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Planning Services,Community Development,SIT - Strategy and Communities,Education & Training - Non Staff Tuition Fees,19/04/2023,5775320,"18,830.02",LONDON BOROUGH OF LEWISHAM
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Chief Executives Office,Stationery,12/04/2023,5773590,350.00,SOLACE ENTERPRISES
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Democratic Services Team,Computing - Purchase of Hardware,05/04/2023,5760340,278.04,Public-i
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,03/04/2023,5753084,"6,200.00",Account 3 Ltd
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,05/04/2023,5761819,"4,000.00",East London Advanced Technology Training
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,14/04/2023,5763213,"6,250.00",Elop
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Community Grant,Third Party Payments - Voluntary Associations,21/04/2023,5775433,"5,000.00",TOWER HAMLETS COUNCIL FOR VOLUNTARY SERV
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/04/2023,5761654,300.00,Westferry Community Organisation
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/04/2023,5761955,"1,000.00",Improvement and Development Agency
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/04/2023,5762907,715.50,Eastend Homes LTD
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/04/2023,5765675,"1,000.00",Improvement and Development Agency
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,05/04/2023,5766725,"1,000.00",Improvement and Development Agency
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,24/04/2023,5777415,310.00,Poplar HARCA LTD
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Members Allowances/Facilities,Room Hire,24/04/2023,5777416,310.00,Poplar HARCA LTD
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,21/04/2023,5769284,"1,062.46",ROYAL MAIL
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Training Expenses - Staff External Training (UK Based),17/04/2023,5764657,"4,800.00",Zengenti Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Services - Professional Fees - Consultants Fees,28/04/2023,5770848,"9,500.00",Westco Trading Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,28/04/2023,5772295,"12,950.00",SURVATION
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,External Communications,Communications,28/04/2023,5775621,724.50,Precise Media Monitoring LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Our East End						",Communications,05/04/2023,5761804,"13,388.72",Beta Distribution (South) Ltd t/a London Letterbox Marketing
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Strategic Communications,Training Expenses - Staff External Training (UK Based),21/04/2023,5767319,"1,597.00",Updates Media Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Strategic Communications,Subscriptions - Subscriptions to Associations,03/04/2023,5769802,"2,500.00",PRCA
Chief Executive�s Office,Planning Services,Community Development,Healthwatch UK,Education & Training - Non Staff Tuition Fees,28/04/2023,5770976,585.00,Centre For Public Scrutiny LTD
Chief Executive�s Office,Planning Services,Community Development,Healthwatch UK,Third Party Payments - Voluntary Associations,24/04/2023,5769324,"5,000.00",Vallance Community Sports Association
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Consultants Fees,19/04/2023,5775693,360.00,Health Assured Limited
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,"Legal Services SMT and PMT		",Services - Professional Fees - Counsel's Fees,28/04/2023,5778905,450.00,11KBW Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Employment & Education Team,Services - Professional Fees - Legal Fees/Expenses,12/04/2023,5772222,"1,250.00",42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Property Team,Services - Professional Fees - Legal Fees/Expenses,17/04/2023,5775469,"2,000.00",Bishop & Sewell LLP
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,03/04/2023,5770563,300.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/04/2023,5772223,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/04/2023,5772231,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/04/2023,5772233,"1,350.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/04/2023,5772236,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/04/2023,5772547,"1,200.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,14/04/2023,5774388,425.00,Legal Surveyors UK Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,26/04/2023,5777658,950.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,28/04/2023,5778906,"1,600.00",Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,12/04/2023,5772340,925.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/04/2023,5774351,500.00,Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/04/2023,5774352,"5,000.00",SBW Law
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/04/2023,5774353,"1,880.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/04/2023,5774365,"15,000.00",Hodge Jones & Allen LTD - Clients Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/04/2023,5774617,"4,164.79",Driscoll Kingston Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,17/04/2023,5775461,450.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/04/2023,5777662,500.00,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5777663,"5,000.00",MJV & Co Solicitors Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5778881,"7,500.00",Hamara Solicitor Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5778894,533.00,Shergroup Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5778913,250.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5778917,277.50,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/04/2023,5778922,425.00,Redfearn Experts Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Voluntary Associations,05/04/2023,5760547,"5,000.00",Toyhouse
