Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,14.04.2014,2210202047,1740,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,15.04.2014,2210204098,870,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,General Refuse Collection and Disposal,01.04.2014,2210178095,599.64,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,General Refuse Collection and Disposal,01.04.2014,2210178105,573.58,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,General Refuse Collection and Disposal,01.04.2014,2210178132,599.64,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,General Refuse Collection and Disposal,01.04.2014,2210178141,599.64,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,Hire of Transport for Re-Hire,01.04.2014,2210176712,1827,R,PETE'S AIRLINK LTD
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,Sewerarge - Rated,01.04.2014,1100220338,1171.5,R,SOUTHERN WATER SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD DS-1Bath Lane Fareham,Sewerarge - Rated,01.04.2014,1100220338,1171.49,R,SOUTHERN WATER SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD DS-Romsey & Waterside,Gas,24.04.2014,1100220958,508.68,R,TOTAL GAS & POWER LTD
Hampshire County Council,ADULT SERVICES,LD DS-Romsey & Waterside,Hire of Transport for Re-Hire,03.04.2014,2210190935,859.52,R,GEMINI TRAVEL SOUTHAMPTON LTD
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,10.04.2014,2210199542,1190,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,16.04.2014,2210206493,594.44,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207270,1369.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207277,696.84,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207487,1013.7,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207505,601.09,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207507,578.24,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207615,2509.14,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207744,810.65,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210207863,1739.41,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208099,958.25,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208104,1596.06,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208148,740.81,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208196,1969.52,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208208,1244.96,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208209,813.26,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Independent Living-Rush/Hart,Adult Social Care - Direct Payments,17.04.2014,2210208230,606.98,R,PERSONAL PAYMENTS
