Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.04.2014,2210176785,1276,R,THE HELPING HAND COMPANY (LEDBURY)
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.04.2014,2210177959,1983,R,THE HELPING HAND COMPANY (LEDBURY)
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,23.04.2014,2210215665,975,R,WEALDEN REHAB
Hampshire County Council,ADULT SERVICES,HICES - Special Schools,Disability Aids and Equipment,01.04.2014,2210176770,1215,R,QUEST 88 LTD
Hampshire County Council,ADULT SERVICES,JF-Alton EMI DC RedX-EHCommN,Payments to Voluntary bodies,10.04.2014,2210198697,17153,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-Alton EMI DC RedX-EHCommN,Payments to Voluntary bodies,23.04.2014,9400041644,8541.69,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-BordonEMI DC RedX-EHCommN,Payments to Voluntary bodies,23.04.2014,9400041645,4659.51,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-Gore Grange DC-NFCommWest,Payments to Voluntary bodies,23.04.2014,9400041653,9152.24,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-KingfisherTrustDC-DeaneSupp,Payments to Voluntary bodies,23.04.2014,9400041635,6533.97,R,THE KINGFISHER TRUST
Hampshire County Council,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Payments to Voluntary bodies,23.04.2014,9400041634,1026.41,R,ANDOVER MIND
Hampshire County Council,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Payments to Voluntary bodies,23.04.2014,9400041662,1603.29,R,ANDOVER NEIGHBOURCARE
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),23.04.2014,2210215162,528,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,17.04.2014,2210209792,697.62,R,HIGH HURLANDS NURSING HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,15.04.2014,2210203561,1301.4,R,PARITY FOR DISABILITY
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,15.04.2014,2210203595,1518.3,R,PARITY FOR DISABILITY
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,01.04.2014,2210178358,1035.42,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,28.04.2014,2210221576,1014.72,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222326,573.76,R,ENHAM
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,02.04.2014,2210187015,1752.12,R,OLD MILL DAY CENTRE
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210189953,5067.04,R,OLD MILL DAY CENTRE
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,15.04.2014,2210203569,1409.85,R,PARITY FOR DISABILITY
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,15.04.2014,2210203602,1409.85,R,PARITY FOR DISABILITY
Hampshire County Council,ADULT SERVICES,LD Day Service-New Forest,Gas,30.04.2014,1100221337,1018.85,R,TOTAL GAS & POWER LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Gas Oil,11.04.2014,1100220417,1534.61,R,WESSEX PETROLEUM
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Hire of Transport for Re-Hire,17.04.2014,2210213508,1449,R,PIKE COACHES LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Hire of Transport for Re-Hire,17.04.2014,2210213509,2100,R,PIKE COACHES LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Electricity,23.04.2014,1100220780,2792.99,R,NPOWER
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Rent,01.04.2014,2210177260,840,R,THE PAVILION ON THE PARK
