Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Apr-23,15/02/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Private Contractors," 27,000.00 "
THURROCK BC,E1502X,Apr-23,29/03/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 8,843.63 "
THURROCK BC,E1502X,Apr-23,26/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 57.25 
THURROCK BC,E1502X,Apr-23,01/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 116.10 
THURROCK BC,E1502X,Apr-23,03/11/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 90.00 
THURROCK BC,E1502X,Apr-23,25/11/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 90.00 
THURROCK BC,E1502X,Apr-23,01/12/2022,Adults; Housing and Health,Redacted,Supplies and Services,Professional Fees, 90.00 
THURROCK BC,E1502X,Apr-23,01/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 111.60 
THURROCK BC,E1502X,Apr-23,01/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 281.70 
THURROCK BC,E1502X,Apr-23,19/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 51.75 
THURROCK BC,E1502X,Apr-23,27/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 94.85 
THURROCK BC,E1502X,Apr-23,26/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 19.37 
THURROCK BC,E1502X,Apr-23,30/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 36.00 
THURROCK BC,E1502X,Apr-23,31/01/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 146.61 
THURROCK BC,E1502X,Apr-23,01/02/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 184.05 
