Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,25/04/2023,4793379,95,LIVABILITY,ASC Senior Management Team,-1349.53,Other support - not recoverabl,Third Party Supplier,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,24/04/2023,4791730,542,H.S PRACTITEST LTD,Finance systems Re-procurement,3770.33,Staff/Consultancy,Third Party Supplier,STANDARD,8637,ZZZC-Capital
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Town Hall - Concert Hall Events,-2580.38,Ticket SalesPerformances,INDIVIDUAL,CREDIT,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Town Hall - Concert Hall Events,-375,Administration Charges,INDIVIDUAL,CREDIT,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Town Hall - Concert Hall Events,-110.98,Royalties,INDIVIDUAL,CREDIT,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Hexagon Operations,-83.24,Credit Card Commission,INDIVIDUAL,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Town Hall - Concert Hall Events,2000,Professional Fees,INDIVIDUAL,STANDARD,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,28/04/2023,4774949,543,MR ARTURO CASTRO NOGUERAS,Hexagon Performances,3149.6,Ticket SalesPerformances,INDIVIDUAL,STANDARD,1202,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/04/2023,4786928,360644,GEORGE LINES LTD,Highways and Drainage,448,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/04/2023,4781732,360648,BIDVEST FOODSERVICE (BIDFOOD),Hexagon Catering,1.11,Purchases - Stock Provisions,Third Party Supplier,STANDARD,1241,KAAA-Directorate of Economic Growth and Neighbourhood Services
