Updated,TT,Transaction Number, Amount ,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T)
17/04/2023,II,4119405,1545.48,114899,Redacted,202401,Dedicated Schools Grant,Supplies & Services
17/04/2023,II,4118916,1370.52,114902,Redacted,202401,Dedicated Schools Grant,Supplies & Services
20/04/2023,II,4120830,2928.25,HC100001,FFT Education Ltd,202401,Education and Commissioning,Supplies & Services
06/04/2023,II,4119299,1350.11,HC100001,FFT Education Ltd,202401,Schools,Supplies & Services
21/04/2023,II,4120881,2940,HC100054,Absence Protection Ltd,202401,Schools,Employees
27/04/2023,II,4121252,5504,HC100054,Absence Protection Ltd,202401,Schools,Employees
28/04/2023,II,4121341,13000,HC100065,Jisc Services Limited,202401,Corporate Support Services,Supplies & Services
14/04/2023,II,4120202,1978.2,HC100090,A J Watkins,202401,Highways & Transport,Transport-Related Expenditure
14/04/2023,II,4120203,3536,HC100090,A J Watkins,202401,Highways & Transport,Transport-Related Expenditure
14/04/2023,II,4120205,2553.3,HC100090,A J Watkins,202401,Highways & Transport,Transport-Related Expenditure
14/04/2023,II,4120204,1674.8,HC100090,A J Watkins,202401,Highways & Transport,Transport-Related Expenditure
18/04/2023,GI,3191180,31092,HC100109,HM Revenue & Customs,202401,Holding Codes,Holding Codes
20/04/2023,II,4120803,982,HC100178,Abraxas Catering Equipment Ltd,202401,Property Services,Third Party Payments
20/04/2023,II,4120805,425,HC100178,Abraxas Catering Equipment Ltd,202401,Property Services,Third Party Payments
20/04/2023,II,4120806,529,HC100178,Abraxas Catering Equipment Ltd,202401,Property Services,Third Party Payments
25/04/2023,II,4120905,555.09,HC100178,Abraxas Catering Equipment Ltd,202401,Property Services,Third Party Payments
27/04/2023,II,4121203,9400,HC100210,Action Centres Uk Ltd,202401,Schools,Supplies & Services
03/04/2023,II,4118877,600,HC100254,Redacted,202401,Schools,Supplies & Services
28/04/2023,II,4121480,450,HC100254,Redacted,202401,Schools,Supplies & Services
03/04/2023,II,4118760,1700,HC100277,Tameside Metropolitan Borough,202401,Regulatory & Technical Services,Supplies & Services
12/04/2023,II,4119886,720,HC100364,Redacted,202401,Schools,Supplies & Services
10/04/2023,II,4119567,750,HC100373,Architype Ltd,202401,Planning & Development Control,Supplies & Services
10/04/2023,II,4119569,750,HC100373,Architype Ltd,202401,Planning & Development Control,Supplies & Services
05/04/2023,II,4119251,4399,HC100382,Allensmore Parish Council,202401,Highways & Transport,Third Party Payments
17/04/2023,II,4120424,3981.6,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
19/04/2023,II,4118605,843.94,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
24/04/2023,II,4121018,524.4,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
24/04/2023,II,4121020,1775.6,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
24/04/2023,II,4120947,4211.55,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
25/04/2023,II,4121147,2125.7,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
25/04/2023,II,4120970,3028.03,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
26/04/2023,II,4116890,3123.4,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
26/04/2023,II,4121236,3479.74,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
27/04/2023,II,4121258,2563.2,HC100385,Alliance In Partnership,202401,Schools,Supplies & Services
27/04/2023,GI,3197365,991.38,HC100397,Almeley Primary School Imprest,202401,Schools,Supplies & Services
28/04/2023,II,4121470,1888.64,HC100473,EDF Energy Customers plc,202401,Highways & Transport,Premises-Related Expenditure
14/04/2023,II,4120115,3335,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
18/04/2023,II,4120611,4956.27,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
18/04/2023,II,4120612,3778.9,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
18/04/2023,II,4120613,4140,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
19/04/2023,II,4120614,5055.4,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
19/04/2023,II,4120642,4956.27,HC100495,C M D Travel Hereford,202401,Education and Commissioning,Transport-Related Expenditure
17/04/2023,II,4120285,4069.56,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120286,3783.5,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120287,3021.04,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120288,3790.02,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120290,4025,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120291,3032.09,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120292,3277.27,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120293,3676.74,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120294,2729.91,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120295,3941.82,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120296,3650.79,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120297,7583.1,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120298,3456.44,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
17/04/2023,II,4120299,5980,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
18/04/2023,II,4120289,3624.8,HC100495,C M D Travel Hereford,202401,Highways & Transport,Transport-Related Expenditure
24/04/2023,II,4120952,450,HC100495,C M D Travel Hereford,202401,Schools,Transport-Related Expenditure
13/04/2023,II,4119986,1100,HC100545,Redacted,202401,Safeguarding and Family Support,Supplies & Services
19/04/2023,II,4120682,2200,HC100545,Redacted,202401,Safeguarding and Family Support,Supplies & Services
12/04/2023,II,4119887,500,HC100578,Anubis UK Ltd,202401,Schools,Employees
03/04/2023,II,4118863,1005.28,HC100582,Carter Brown - The Expert Service Limited,202401,Safeguarding and Family Support,Supplies & Services
05/04/2023,II,4119153,891.6,HC100582,Carter Brown - The Expert Service Limited,202401,Safeguarding and Family Support,Supplies & Services
10/04/2023,II,4119564,1180.78,HC100582,Carter Brown - The Expert Service Limited,202401,Safeguarding and Family Support,Supplies & Services
28/04/2023,II,4121353,3691.73,HC100608,Lorensbergs Ltd,202401,Cultural Services,Support Services
13/04/2023,II,4119918,1450,HC100613,Area Entertainments,202401,Property Services,Third Party Payments
17/04/2023,II,4120496,429.17,HC100636,Allen Organ Studios (London) Ltd,202401,Regulatory & Technical Services,Supplies & Services
14/04/2023,II,4120058,3760.5,HC100639,Clear Skies Software Ltd,202401,Regulatory & Technical Services,Supplies & Services
03/04/2023,II,4118821,821.05,HC100656,Allstar Business Solutions Ltd (Arval),202401,Education and Commissioning,Transport-Related Expenditure
21/04/2023,II,4120907,570,HC100664,Asdan Ltd,202401,Schools,Supplies & Services
10/04/2023,II,4119545,18600,HC100670,Ashberry Healthcare Ltd,202401,Physical Disabilities,Third Party Payments
20/04/2023,GI,3193192,573,HC100677,Ashfield Park Primary School,202401,Children & Young People Capital,Capital Income
27/04/2023,II,4119709,485.31,HC100688,Kent County Council,202401,Regulatory & Technical Services,Supplies & Services
06/04/2023,II,4119376,4280.8,HC100694,Assessment & Qualifications Alliance (AQA) Education,202401,Schools,Supplies & Services
11/04/2023,II,4119675,430.8,HC100694,Assessment & Qualifications Alliance (AQA) Education,202401,Schools,Supplies & Services
11/04/2023,II,4119568,683,HC100831,Badges Plus Ltd,202401,People & Performance,Supplies & Services
19/04/2023,II,4120687,1200,HC100842,Ballingham Bolstone & Hentland G.P.C.,202401,Highways & Transport,Third Party Payments
19/04/2023,II,4120688,1099,HC100842,Ballingham Bolstone & Hentland G.P.C.,202401,Highways & Transport,Third Party Payments
03/04/2023,II,4118780,792.6,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118782,990.9,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118783,528.48,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118784,792.8,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118786,693.6,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118787,1321.2,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118788,1056.96,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118851,3468.3,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118852,2229.6,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118853,1965.3,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
03/04/2023,II,4118781,1321.2,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
04/04/2023,II,4119014,528.48,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
04/04/2023,II,4119015,2180.1,HC101060,Blue Line Taxis,202401,Education and Commissioning,Transport-Related Expenditure
