Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,01-Mar-23,51500861421,£800.40,Learning Labs Ltd (Flash Academy),Children's Services,"Group Head - Education, Learning and Inclusion",Computer software - annual licence agreement
Milton Keynes City Council,01-Mar-23,51500868402,£856.80,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868397,£866.40,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,01-Mar-23,51500868292,£902.94,Greensands Medical Practice,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868385,£918.00,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500857364,£975.00,Marshalls Coaches,Children's Services,Education Improvement and Effectiveness Service,Educational visits
Milton Keynes City Council,01-Mar-23,51500868302,£992.00,Tri Capital Housing Ltd,Adult Services,Rough Sleeper,Rents and Leases
Milton Keynes City Council,01-Mar-23,51500868468,"£1,000.00",West Bletchley Community Centre,Law & Governance,Democratic Services,Grants
Milton Keynes City Council,01-Mar-23,51500861206,"£1,020.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,01-Mar-23,51500868162,"£1,032.60",Milton Keynes Village Practice,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868816,"£1,041.14",5 Paper Buildings,Customer and Community Services,Head of Service - Regulatory,External Legal Fees
Milton Keynes City Council,01-Mar-23,51500868705,"£1,048.84",British Gas Trading Limited (Misc Billing),Env & Prop (HRA),HRA Asset Management and Investment,Electricity
Milton Keynes City Council,01-Mar-23,51500868316,"£1,086.25",Redacted Personal Data,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - other
Milton Keynes City Council,01-Mar-23,51500863999,"£1,159.03",PSL Print Management LTD,Finance & Resources - Services,Lead Authority Shared Services,Printing
Milton Keynes City Council,01-Mar-23,51500868623,"£1,185.68",Redline Buses Ltd,Environment & Property,Director Environment and Property,Support - subsidised bus routes
Milton Keynes City Council,01-Mar-23,51500861943,"£1,200.00",Crown Travel Minibuses,Adult Services,Physical Disability,Social Care Transport
Milton Keynes City Council,01-Mar-23,51500868340,"£1,200.00",Locals Of Lakes,Children's Services,Service Director - Social Care,Grants
Milton Keynes City Council,01-Mar-23,51500868765,"£1,229.03",Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Mar-23,51500868669,"£1,266.48","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500867319,"£1,277.03",Brakes Catering Equipment,Adult Services,"Day Services, Short Breaks and Shared Lives",Catering Provisions
Milton Keynes City Council,01-Mar-23,51500863244,"£1,293.60",Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500867040,"£1,296.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,01-Mar-23,51500868756,"£1,344.60",Anglian Water Business (National) Limited,Environment & Property,Property,Water charges
Milton Keynes City Council,01-Mar-23,51500868396,"£1,428.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
