Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,10-Mar-23,51500874787,£900.00,Newton Leys Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874942,£900.00,Canterbury Campus,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874781,£900.00,Barleyhurst Park Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874785,£900.00,Chellaston School (Peak Multi Academy Trust),Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874750,£900.00,Redway (Special) School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874805,£900.00,The Milton Keynes Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874790,£900.00,Outwood Academy Easingwold,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874795,£900.00,Caroline Chisholm School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874663,£900.00,Lord Grey Academy,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874660,£900.00,Broughton Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874819,£900.00,The Premier Academy Limited,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874812,£900.00,Glyne Gap School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874815,£900.00,Willen Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874816,£900.00,Willen Primary School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,65500005923,£900.00,The Corsham School Academy,Finance & Resources - Corporate Codes,Corporate Codes,Bank Account - Payables
Milton Keynes City Council,10-Mar-23,51500869309,£923.64,Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500874952,£927.94,Redacted Personal Data,Adult Services (HRA),Housing Operations (HRA),Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500869940,£931.20,Stephensons Solicitors LLP,Adult Services,Homeless Prevention + Access,External Legal Fees
Milton Keynes City Council,10-Mar-23,51500874656,£948.92,Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875102,£961.13,Total Gas and Power Limited,Children's Services,Children's Social Work,Gas
Milton Keynes City Council,10-Mar-23,51500869099,£977.17,Access UK Limited t/a Adam,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875064,£985.17,Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500874923,"£1,000.00",Cedar Housing Solutions Limited  T/A Acorn Housing,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,10-Mar-23,51500871276,"£1,020.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,10-Mar-23,51500875021,"£1,023.89",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500874783,"£1,050.00",Nassington School,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500875024,"£1,075.49",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500869136,"£1,084.33",Allpay Ltd,Finance & Resources - Services,Revenues and Benefits Service,Bank Charges
Milton Keynes City Council,10-Mar-23,51500869075,"£1,112.61",Access UK Limited t/a Adam,Adult Services,Mental Health,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500869070,"£1,118.27",Access UK Limited t/a Adam,Adult Services,Physical Disability,Homecare
Milton Keynes City Council,10-Mar-23,51500874654,"£1,119.62",Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500862210,"£1,133.10",Microplot Ltd,Environment & Property,Head of Service - Highways,Computer software - annual licence agreement
Milton Keynes City Council,10-Mar-23,51500869934,"£1,140.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,10-Mar-23,51500875097,"£1,141.64",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875020,"£1,153.26",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875026,"£1,153.30",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500867057,"£1,188.00",Ashrose Hotels Ltd,Adult Services,Homeless Prevention + Access,Other Service User Support
Milton Keynes City Council,10-Mar-23,51500874509,"£1,188.60",St Christopher Homes Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875019,"£1,241.75",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875149,"£1,251.36",The Guinness Partnership,Env & Prop (HRA),Development and Regeneration,Private Contractors
Milton Keynes City Council,10-Mar-23,51500875150,"£1,251.36",The Guinness Partnership,Env & Prop (HRA),Development and Regeneration,Private Contractors
Milton Keynes City Council,10-Mar-23,51500864084,"£1,276.24",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875083,"£1,289.43",Total Gas and Power Limited,Children's Services,Children's Centres Services,Gas
Milton Keynes City Council,10-Mar-23,51500874742,"£1,317.78",The Netherfield Partnership t/a The Farthing Enterprise Centre,Children's Services,"Access to Education, Employment and Training",Rents and Leases
Milton Keynes City Council,10-Mar-23,51500875017,"£1,363.92",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875110,"£1,370.22",Total Gas and Power Limited,Adult Services,Homeless Prevention + Access,Gas
Milton Keynes City Council,10-Mar-23,51500875251,"£1,430.45",SO Energy Trading Lts,Finance & Resources - Services,Revenue & Benefits,Electricity
Milton Keynes City Council,10-Mar-23,51500869931,"£1,440.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,10-Mar-23,51500875109,"£1,454.53",Total Gas and Power Limited,Customer and Community Services,Leisure & Community,Gas
Milton Keynes City Council,10-Mar-23,51500868696,"£1,509.60","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,10-Mar-23,51500875108,"£1,529.08",Total Gas and Power Limited,Children's Services,Children's Social Work,Gas
Milton Keynes City Council,10-Mar-23,51500875015,"£1,537.79",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875070,"£1,553.83",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500868709,"£1,583.70","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,10-Mar-23,51500875071,"£1,621.32",Total Gas and Power Limited,Environment & Property,Property,Gas
Milton Keynes City Council,10-Mar-23,51500875022,"£1,719.34",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500874576,"£1,739.00",Mansfield College,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,10-Mar-23,51500868772,"£1,742.30",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875084,"£1,766.71",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500862146,"£1,800.00",Number 10 Interim Ltd,Finance & Resources - Services,Professional Finance,Agency Staff
Milton Keynes City Council,10-Mar-23,51500874747,"£1,800.00",Watford Grammar School for Boys,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874829,"£1,800.00",CHILTERN LEARNING TRUST T/A CHALLNEY HIGH SCHOOL,Children's Services,"Group Head - Education, Learning and Inclusion",Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500867014,"£1,858.80",PDR Roofing Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,10-Mar-23,51500867064,"£1,866.00",Ashrose Hotels Ltd,Adult Services,Homeless Prevention + Access,Other Service User Support
Milton Keynes City Council,10-Mar-23,51500869076,"£1,874.11",Access UK Limited t/a Adam,Adult Services,Autism,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500868631,"£1,924.00",Cornerstone Trading (Milton Keynes) Limited,Children's Services,"Access to Education, Employment and Training",Casual hire of facilities
Milton Keynes City Council,10-Mar-23,51500875018,"£1,947.82",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500869251,"£1,975.24",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869278,"£1,976.16",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869389,"£1,976.16",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869310,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869249,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869254,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869253,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869383,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869248,"£2,062.64",Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875069,"£2,094.76",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500867358,"£2,208.00",Moshun Limited,Environment & Property,Head of Service - Env and Waste,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874652,"£2,239.24",Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875062,"£2,246.21",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875094,"£2,307.18",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500868574,"£2,334.00",Ashrose Hotels Ltd,Adult Services,Homeless Prevention + Access,Other Service User Support
Milton Keynes City Council,10-Mar-23,51500874614,"£2,377.00",St Christopher Homes Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875042,"£2,564.58",Total Gas and Power Limited,Customer and Community Services,Head of Service - Regulatory,Gas
Milton Keynes City Council,10-Mar-23,51500875025,"£2,572.47",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875044,"£2,584.33",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875266,"£2,625.00",Northampton Saints Foundation,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874643,"£2,627.90",Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875175,"£2,680.00",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500875174,"£2,680.00",Country Court Care Homes 3 OPCO Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500867255,"£2,700.00",Animal Antiks,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500875028,"£2,722.62",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500862202,"£2,775.06",Signs Express,Chief Executive,Chief Executive,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500875090,"£2,792.66",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500874657,"£2,799.05",Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875031,"£2,935.37",Total Gas and Power Limited,Children's Services,Corporate Parenting,Gas
Milton Keynes City Council,10-Mar-23,51500875227,"£2,940.21",Arriva The Shires Limited,Environment & Property,Director Environment and Property,Support - subsidised bus routes
Milton Keynes City Council,10-Mar-23,51500854690,"£3,000.00",M A Cost Consulting Ltd,Environment & Property,Property,Other Term maintenance contracts
Milton Keynes City Council,10-Mar-23,51500875112,"£3,010.81",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875095,"£3,022.93",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875171,"£3,037.68",Warrengate Nursing Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,10-Mar-23,51500875106,"£3,060.59",Total Gas and Power Limited,Adult Services,"Day Services, Short Breaks and Shared Lives",Gas
Milton Keynes City Council,10-Mar-23,51500874924,"£3,115.40",PBRD Property Management & Letting LTD,Adult Services,Homeless Prevention + Access,Grants
Milton Keynes City Council,10-Mar-23,51500875269,"£3,150.00",Redacted Personal Data,Children's Services,"Access to Education, Employment and Training",Car mileage and allowances - other
Milton Keynes City Council,10-Mar-23,51500875111,"£3,157.73",Total Gas and Power Limited,Environment & Property,Head of Service - Env and Waste,Gas
Milton Keynes City Council,10-Mar-23,51500875177,"£3,200.00",Lillibet Lodge,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500874571,"£3,271.80",Beki Bateson Ltd,Chief Executive,Chief Executive,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500874472,"£3,321.65",The Ferntree Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875096,"£3,361.87",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875087,"£3,392.21",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875014,"£3,514.82",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,10-Mar-23,51500874522,"£3,542.99",St Christopher Homes Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500871314,"£3,584.22",Fostering Solutions Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875176,"£3,600.00",Lillibet Lodge,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500875188,"£3,600.00",Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500869291,"£3,632.40",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875023,"£3,646.23",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500871939,"£3,650.00",Favour Health Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869265,"£3,733.50",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869263,"£3,733.50",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875183,"£3,810.40",Alma Care Homes Broome Ltd t/a Broome Park Nursing Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,10-Mar-23,51500868771,"£3,857.95",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875093,"£3,881.89",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875068,"£3,910.22",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875067,"£3,911.52",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875088,"£3,947.83",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500861553,"£3,976.00",People Who Foster Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500869283,"£4,026.90",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875043,"£4,030.52",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875057,"£4,142.42",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875076,"£4,159.61",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875089,"£4,162.19",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500875085,"£4,189.30",Total Gas and Power Limited,Adult Services,"Day Services, Short Breaks and Shared Lives",Gas
Milton Keynes City Council,10-Mar-23,51500875178,"£4,191.60",Lillibet Lodge,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,10-Mar-23,51500861552,"£4,222.80",Canary Care Global LTD,Adult Services,Community Alarm & Sheltered Housing,Equipment and Tools
Milton Keynes City Council,10-Mar-23,51500875170,"£4,334.48",Larchwood Care Homes (South) Limited,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,10-Mar-23,51500875030,"£4,425.15",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875162,"£4,478.48",Redacted Personal Data,Adult Services,"Day Services, Short Breaks and Shared Lives",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875036,"£4,495.28",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875114,"£4,523.25",Total Gas and Power Limited,Environment & Property,Property,Gas
Milton Keynes City Council,10-Mar-23,51500869067,"£4,703.24",Access UK Limited t/a Adam,Environment & Property,Director Environment and Property,Concessions - payments to transport operators
Milton Keynes City Council,10-Mar-23,51500875033,"£4,795.17",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875151,"£4,800.00",Freeths LLP Client Account,Environment & Property,Property,External Legal Fees
Milton Keynes City Council,10-Mar-23,51500875063,"£4,860.30",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500862142,"£4,998.00",Church House Hotel Ltd,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,10-Mar-23,51500864078,"£5,104.96",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500871318,"£5,212.34",Fostering Solutions Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875091,"£5,441.10",Total Gas and Power Limited,Finance & Resources - Services,HR,Gas
Milton Keynes City Council,10-Mar-23,51500869285,"£5,469.60",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875073,"£5,471.08",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500864077,"£5,651.92",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500874575,"£5,814.99",Redacted Personal Data,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,10-Mar-23,51500862309,"£6,000.00",University of Oxford Department of Psychiatry,Public Health,0-19 Children’s Public Health,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500863245,"£6,402.26",Compass Minerals UK Ltd,Environment & Property,Head of Service - Highways,Winter Maintenance
Milton Keynes City Council,10-Mar-23,51500875059,"£6,675.87",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875119,"£7,000.00",Parent and Child Fostering Service Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875074,"£7,079.69",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875040,"£7,114.19",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500869272,"£7,678.80",Foster Care Associates Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875066,"£7,726.65",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500869069,"£7,983.26",Access UK Limited t/a Adam,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875077,"£7,994.94",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875058,"£8,122.72",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875185,"£8,173.64",Hightown Housing Association Limited t/a Wendover Road,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,10-Mar-23,51500875181,"£8,191.80",Oakprice Limited t/a The Old Rectory,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,10-Mar-23,51500875037,"£8,370.86",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875060,"£9,258.40",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500874541,"£9,332.96",InspireAll,Customer and Community Services,Leisure & Community,Private Contractors
Milton Keynes City Council,10-Mar-23,51500875078,"£9,335.93",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875038,"£9,411.76",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875117,"£9,470.00",Parent and Child Fostering Service Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875168,"£9,684.16",Consensus Support Services Ltd T/a Gretton Homes Re Gretton House,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,10-Mar-23,51500875041,"£9,868.64",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500869061,"£10,090.36",Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875072,"£10,133.41",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875035,"£10,312.02",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500875061,"£10,413.23",Total Gas and Power Limited,Adult Services (HRA),HRA Sheltered Housing,Gas
Milton Keynes City Council,10-Mar-23,51500874549,"£10,500.00",Bucks & MK Sport and Activity Partnership t/a LEAP,Customer and Community Services,Leisure & Community,Grants
Milton Keynes City Council,10-Mar-23,51500856992,"£10,532.53",InspireAll,Customer and Community Services,Leisure & Community,Private Contractors
Milton Keynes City Council,10-Mar-23,51500875065,"£11,058.04",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500874489,"£11,071.43",Family First Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,10-Mar-23,51500875032,"£11,204.67",Total Gas and Power Limited,Children's Services,"Access to Education, Employment and Training",Gas
Milton Keynes City Council,10-Mar-23,51500875086,"£11,491.82",Total Gas and Power Limited,Adult Services (HRA),Housing Operations (HRA),Gas
Milton Keynes City Council,10-Mar-23,51500869071,"£11,538.56",Access UK Limited t/a Adam,Children's Services,Children's Social Work,Day Care
Milton Keynes City Council,10-Mar-23,51500869058,"£11,611.25",Access UK Limited t/a Adam,Adult Services,Mental Health,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500875034,"£13,888.76",Total Gas and Power Limited,Environment & Property,Head of Service - Highways,Gas
Milton Keynes City Council,10-Mar-23,51500875079,"£15,216.19",Total Gas and Power Limited,Customer and Community Services,Head of Service - Regulatory,Gas
Milton Keynes City Council,10-Mar-23,51500868830,"£18,000.00",Meta Street,Adult Services,Housing Operations (GF),Subscriptions
Milton Keynes City Council,10-Mar-23,51500875075,"£19,463.21",Total Gas and Power Limited,Environment & Property,Property,Gas
Milton Keynes City Council,10-Mar-23,51500874724,"£20,000.00",Polleyville,Planning and Placemaking,Head of Economic Development,Grants
Milton Keynes City Council,10-Mar-23,51500871965,"£20,027.90",Blandfords LLP,Children and Families,"Education, Effectiveness & Participation",Buildings - Mechanical and Electrical
Milton Keynes City Council,10-Mar-23,51500861568,"£26,079.04",Phoenix Software Ltd,Finance & Resources - Services,ICT,Computer hardware - maintenance
Milton Keynes City Council,10-Mar-23,51500853786,"£27,952.57",AECOM Infrastructure & Environment UK Limited,Planning and Placemaking,Planning,Professional Fees and Hired Services
Milton Keynes City Council,10-Mar-23,51500871797,"£35,064.73",London Hire Limited,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,10-Mar-23,51500869073,"£39,143.08",Access UK Limited t/a Adam,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500869074,"£41,507.68",Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,10-Mar-23,51500871818,"£50,501.04",London Hire Community Services Ltd,Children's Services,"Access to Education, Employment and Training",Home to School - Contract
Milton Keynes City Council,10-Mar-23,51500874908,"£75,564.84",Perfect Circle JV Limited,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
