Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
20-Apr-23,Promotional Advertising- Safer Streets Fund,"£64,786.80",Socialike Media Ltd t/a Springboard,Local Contract - Quotation/Tender
06-Apr-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
06-Apr-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
06-Apr-23,Victim Support Grant,"£27,500.00",The Cyrenians Ltd T/A Changing Lives,Grant Award
06-Apr-23,Victim Support Grant,"£22,500.00",St Helens MBC,Grant Award
20-Apr-23,Victim Support Grant,"£20,400.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
20-Apr-23,Community Safety Fund,"£18,924.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
06-Apr-23,Community Safety Fund,"£16,896.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
20-Apr-23,Payment for Services,"£10,005.00",Knowsley MBC,Local Contract - Quotation/Tender
13-Apr-23,Payment for Services,"£6,685.00",Knowsley MBC,Local Contract - Quotation/Tender
27-Apr-23,S/W Licences,"£2,160.00",iansyst Limited,Grant Award
06-Apr-23,General Subscriptions,"£1,129.60",Association of Policing & Crime Chief Execs,Considered Best Value
13-Apr-23,Printing Stationery & Office Exps.,£921.07,ACS Business Supplies Ltd,Considered Best Value
13-Apr-23,Safer Streets Fund,£824.10,Wild Thang,Considered Best Value
