﻿Unique ID,Payment Date,Department,Beneficiary,Purpose of expenditure,Amount,VAT,VAT code,Merchant category
26650,2023-04-19,Adults,Marston Court Ltd T/a Marston Court,Residential Permanent,10105.76,0.0,,Residential Care
26651,2023-04-19,Adults,Rushcliffe Care Group,Residential Permanent,9499.84,0.0,,Residential Care
27085,2023-04-19,Adults,Mymil Ltd t/a Syston Lodge Residential Care,Residential Permanent,2684.0,0.0,,Residential Care
27086,2023-04-19,Adults,Mymil Ltd t/a Syston Lodge Residential Care,Interim Residential (Delayed Discharges),2588.14,0.0,,Residential Care
27090,2023-04-19,Adults,Five Rivers Living,Residential Permanent,2684.0,0.0,,Residential Care
27140,2023-04-19,Adults,Rosedale Care Home Ltd,Residential Permanent,4588.0,0.0,,Residential Care
27145,2023-04-19,Adults,Clearwater Care (Hackney) Limited - Trading as: Greenfield Close,Residential Permanent,2424.0,0.0,,Residential Care
27155,2023-04-19,Adults,Prime Life Limited T/As Oval House,Residential Short Stay,2716.0,0.0,,Residential Care
27210,2023-04-19,City Developments and Neighbourhood,M&P Survey Equipment Ltd,Responsive,780.0,156.0,,Transport Infrastructure
27213,2023-04-19,Public Health Department,NIFES PROPERTY LTD T/A NIFES CONSULTING GROUP,Planned,14400.0,2880.0,,Building Services / Repairs & Maintenance  Fixtures & Fittings
27230,2023-04-19,Corporate Resources & Support,Redacted,LCC External Barristers Fees,750.0,150.0,,Legal Fees & Charges
27233,2023-04-19,Adults,ASA Transport Services Ltd,Employee Taxi Travel Expense,13093.4,2618.68,,Taxi Travel Expense
27235,2023-04-19,Education & Childrens Services,Nexus Fostering,Independent Foster Agencies,3748.5,0.0,,Other Agencies
27241,2023-04-19,Education & Childrens Services,Platform Childcare Ltd,Residential Placements,17955.0,0.0,,Other Agencies
27243,2023-04-19,Education & Childrens Services,Compass Fostering Central Ltd,Independent Foster Agencies,3582.67,0.0,,Other Agencies
27263,2023-04-19,City Developments and Neighbourhood,Ford & Slater,Repairs & Maintenance Vehicles,800.0,160.0,,Vehicles Repairs & Maintenance / Parts & Accessories
27269,2023-04-19,City Developments and Neighbourhood,FT Leisure Ltd,Responsive,820.3,164.06,,Building Works & Repairs/Maintenance/Alterations
27273,2023-04-19,Corporate Resources & Support,Hatherley Commercial Services,Repair & Maintenance Tools / Equipment,541.13,108.23,,Repairs & Maintenance - Equipment & Furniture
27299,2023-04-19,City Developments and Neighbourhood,M&P Survey Equipment Ltd,Responsive,819.0,163.8,,Transport Infrastructure
27309,2023-04-19,Adults,Campbell Guest Hotel,Accommodation Expenses,840.0,0.0,,Accommodation Expenses
27311,2023-04-19,Corporate Resources & Support,Freeths LLP,LCC Ext Solicitors Costs,6847.3,1369.46,,Legal Fees & Charges
27321,2023-04-19,Education & Childrens Services,People Who Foster Ltd,Independent Foster Agencies,4189.5,0.0,,Other Agencies
27324,2023-04-19,Adults,Croft Hotel,Accommodation Expenses,870.83,174.17,,Accommodation Expenses
27353,2023-04-19,Adults,Prime Life Plc,Residential Respite,575.14,0.0,,Residential Care
27364,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,1678.28,0.0,,Residential Care
27413,2023-04-19,Adults,Christchurch Court,Residential Permanent,5291.8,0.0,,Residential Care
27420,2023-04-19,Adults,Prime Life Plc,Residential Permanent,504.0,0.0,,Residential Care
27421,2023-04-19,Adults,CLARENDON MEWS CARE LIMITED,Residential Permanent,2684.0,0.0,,Residential Care
27428,2023-04-19,Adults,Minster Care Management Ltd t/a Diamond House,Interim Residential (Delayed Discharges),671.0,0.0,,Residential Care
27434,2023-04-19,Adults,Elliott Care Home Ltd,Residential Permanent,600.0,0.0,,Residential Care
27436,2023-04-19,Adults,S5 Care Ltd t/a George Hythe House/Holmfield Dementia Day Centre,Residential Short Stay,2684.0,0.0,,Residential Care
27438,2023-04-19,Adults,S5 Care Ltd t/a George Hythe House/Holmfield Dementia Day Centre,Residential Permanent,2684.0,0.0,,Residential Care
27443,2023-04-19,Adults,Gokul Nivas,Residential Permanent,2684.0,0.0,,Residential Care
27447,2023-04-19,Adults,GOODWOOD ORCHARD-HELPING HAND CARE HOME LTD,Residential Permanent,2684.0,0.0,,Residential Care
27456,2023-04-19,Adults,Hambleton House,Residential Permanent,2424.0,0.0,,Residential Care
27502,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,2684.0,0.0,,Residential Care
27506,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,2684.0,0.0,,Residential Care
27516,2023-04-19,Adults,Kingly Care Partnership Ltd,Residential Permanent,5685.32,0.0,,Residential Care
27521,2023-04-19,Adults,Craegmoor Facilities Co Ltd t/a Craegmoor Landsdowne Road,Residential Permanent,2424.0,0.0,,Residential Care
27529,2023-04-19,Adults,Cheer Health Ltd T/A London Rd,Nursing Permanent,2536.0,0.0,,Nursing Care
27536,2023-04-19,Adults,Marston Court Ltd T/a Marston Court,Residential Permanent,4504.76,0.0,,Residential Care
27580,2023-04-19,Adults,Rushey Mead Manor Care and Nursing Home,Residential Permanent,2684.0,0.0,,Residential Care
27590,2023-04-19,Adults,Pine View Care Homes Ltd T/a Silver Birches,Residential Permanent,2684.0,0.0,,Residential Care
27591,2023-04-19,Adults,Pine View Care Homes Ltd T/a Silver Birches,Residential Permanent,671.0,0.0,,Residential Care
27687,2023-04-19,Adults,Arbor House,Interim Residential (Delayed Discharges),1821.29,0.0,,Residential Care
27688,2023-04-19,Adults,Arbor House,Interim Residential (Delayed Discharges),671.0,0.0,,Residential Care
27689,2023-04-19,Adults,Thurn Court Residential Care Home,Residential Permanent,1324.8,0.0,,Residential Care
