Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Social Support for Social Isolation,03-Jan-23,596.08,£0.00,Redacted - personal info,221009,Revenue,STC158897
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158904
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158905
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158906
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158907
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158908
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158909
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158910
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158911
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158912
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158913
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,03-Jan-23,600,£0.00,Redacted - personal info,213300,Revenue,STC158914
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,03-Jan-23,600,£0.00,Redacted - personal info,213800,Revenue,STC158915
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,605.56,£0.00,Redacted - personal info,221005,Revenue,STC158965
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,618.68,£0.00,Redacted - personal info,221001,Revenue,STC158981
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,619.2,£0.00,Redacted - personal info,221004,Revenue,STC158984
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,619.2,£0.00,Redacted - personal info,221004,Revenue,STC158985
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,03-Jan-23,619.2,£0.00,Redacted - personal info,221003,Revenue,STC158986
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,619.2,£0.00,Redacted - personal info,221001,Revenue,STC158987
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,619.2,£0.00,Redacted - personal info,221004,Revenue,STC158988
