LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
03-Apr-23,All Saints Catholic School and Technolog,Other Local Authorities,D61900,SECONDARY SCHOOL - ARP PROV,DSG - OTHER 40,DSG - HIGH NEEDS 40G,ARP FUNDING 40GB,661360 SCHOOLS - TRANSFER PAYM,26000.00,0.00
03-Apr-23,Arthur J Gallagher (UK),Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,673.05,0.00
03-Apr-23,Barking Abbey School_f,Other Local Authorities,D61900,SECONDARY SCHOOL - ARP PROV,DSG - OTHER 40,DSG - HIGH NEEDS 40G,ARP FUNDING 40GB,661360 SCHOOLS - TRANSFER PAYM,4000.00,0.00
03-Apr-23,BD Management Services Limited,Commercial,F22100,JOHN SMITH HOUSE,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,621270 BUILDING ALTERATNS & MA,1858.31,309.72
03-Apr-23,BD Management Services Limited,Commercial,F14820,DAGENHAM LIBRARY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621270 BUILDING ALTERATNS & MA,7725.59,1287.60
03-Apr-23,BD Management Services Limited,Commercial,F14820,DAGENHAM LIBRARY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621270 BUILDING ALTERATNS & MA,4302.49,717.08
03-Apr-23,BD Management Services Limited,Commercial,F14820,DAGENHAM LIBRARY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621270 BUILDING ALTERATNS & MA,17391.17,2898.53
03-Apr-23,BD Management Services Limited,Commercial,H51140,RESPONSIVE REPAIRS,HRA 2,HRA I&E 20,REPAIRS & MAINTENANCE 20C,651780 PRIVATE CONTRACTORS PAY,15840.00,2640.00
03-Apr-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,2887.90,481.32
03-Apr-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,3002.81,500.47
03-Apr-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,1423.69,237.28
03-Apr-23,BD Management Services Limited,Commercial,F22100,JOHN SMITH HOUSE,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,621270 BUILDING ALTERATNS & MA,6746.99,1124.50
03-Apr-23,BD Management Services Limited,Commercial,H51140,RESPONSIVE REPAIRS,HRA 2,HRA I&E 20,REPAIRS & MAINTENANCE 20C,651780 PRIVATE CONTRACTORS PAY,13620.00,2270.00
03-Apr-23,BD Management Services Limited,Commercial,F22100,JOHN SMITH HOUSE,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,621270 BUILDING ALTERATNS & MA,3888.96,648.16
03-Apr-23,Bindmans LLP,Legal Services,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,651780 PRIVATE CONTRACTORS PAY,998.32,0.00
03-Apr-23,Civica UK Ltd,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621120 R & M MAJOR WORKS,10437.23,1739.54
03-Apr-23,D A B D (UK),Commercial,F17420,HOLIDAY ACTIVITIES & FOOD PROG,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",INTEGRATED YOUTH SERVICES 10AFH,641520 EVENTS,13733.00,0.00
03-Apr-23,Dagenham Christians Together,Commercial,F10890,COVID19 HARDSHIP & ASSISTANCE,COMMUNITY SOLUTIONS 10F,SUPPORT AND COLLECTIONS 10FA,BENEFIT SERVICES 10FAD,641370 ARMS LENGTH MANAGMNT OR,2500.00,0.00
03-Apr-23,Dagenham Park C Of E School_f,Other Local Authorities,D61900,SECONDARY SCHOOL - ARP PROV,DSG - OTHER 40,DSG - HIGH NEEDS 40G,ARP FUNDING 40GB,661360 SCHOOLS - TRANSFER PAYM,36000.00,0.00
03-Apr-23,Deborah Seitler,Legal Services,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,641620 LEGAL FEES,3000.00,500.00
03-Apr-23,Dr Adebayo Emmanuel,NHS/Medical Bodies,F21350,LANDLORD CUSTOMER & COMMERCIAL,MY PLACE 10G,HOMES AND ASSETS 10GB,LANDLORD SERVICES 10GBC,641620 LEGAL FEES,486.00,0.00
