Dec-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,14/12/2023,11881259,7.06,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881260,9.91,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881261,8.86,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881262,7.64,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881264,8.02,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881265,8.53,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881266,6.42,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881267,7.61,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881268,7.26,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881269,7.12,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881270,6.65,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881272,9.57,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881273,6.6,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881274,1.37,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881276,6.79,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881277,6.55,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881278,9.61,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881279,10.64,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,14/12/2023,11881259,1858.72,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881260,2611.5,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881261,2334.13,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881262,2013,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881264,2114.14,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881265,2246.09,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881266,1690.81,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881267,2004.5,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881268,1912.57,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881269,1875.91,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881270,1750.86,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881272,2520.46,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881273,1737.57,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881274,361.83,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881276,1787.7,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881277,1725.71,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881278,2530.91,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881279,2802.44,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,14/12/2023,11881259,128.08,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881260,179.95,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881261,160.83,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881262,138.71,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881264,145.68,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881265,154.77,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881266,116.51,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881267,138.12,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881268,131.79,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881269,129.26,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881270,120.64,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881272,173.67,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881273,119.73,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881274,24.93,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881276,123.18,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881277,118.91,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881278,174.39,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,14/12/2023,11881279,193.1,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,20/12/2023,11874030,5500,4 PAPER BUILDINGS CLIENT ACCOUNT,10155741,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,11/12/2023,11877639,4046.96,4 SEASONS (HULL) LTD,10065636,Commissioning Team,Adults Social Care
HCC,Hull City Council,15/12/2023,11882579,201.1,966 CARS,10126454,Transport Adults - General Rechage,Adults Social Care
HCC,Hull City Council,15/12/2023,11882579,135.36,966 CARS,10126454,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,15/12/2023,11882579,42158.61,966 CARS,10126454,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,15/12/2023,11882579,1481.24,966 CARS,10126454,Assessment Team 1,Safeguarding
HCC,Hull City Council,15/12/2023,11882579,230.64,966 CARS,10126454,Localities North - Team 1,Safeguarding
HCC,Hull City Council,15/12/2023,11882579,835.22,966 CARS,10126454,Pathway Team,Safeguarding
HCC,Hull City Council,15/12/2023,11882579,1319.94,966 CARS,10126454,"Transport - Other (CIN, CPP etc)",Safeguarding
HCC,Hull City Council,15/12/2023,11882579,9001.34,966 CARS,10126454,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,21/12/2023,11889005,10.8,A B ROOMS & SON LIMITED,01180091,R & M Corporate Affairs,Building & Design
HCC,Hull City Council,22/12/2023,11867401,36,A B ROOMS & SON LIMITED,01180091,Expenditure,Corporate Finance
HCC,Hull City Council,27/12/2023,11895718,20.1,A B ROOMS & SON LIMITED,01180091,Expenditure,Corporate Finance
HCC,Hull City Council,01/12/2023,11861659,92,A B ROOMS & SON LIMITED,01180091,Early Years & Childcare,Early Intervention
HCC,Hull City Council,15/12/2023,11882556,8.33,A B ROOMS & SON LIMITED,01180091,Management Fee HRA Areas,Neighbourhoods & Housing
HCC,Hull City Council,13/12/2023,11880695,70,A B ROOMS & SON LIMITED,01180091,Management Fee - Estate Management,Neighbourhoods & Housing
HCC,Hull City Council,01/12/2023,11860835,160,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,14/12/2023,11880764,96,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,13/12/2023,11873592,42,A B ROOMS & SON LIMITED,01180091,Trinity Market,Property & Assets
HCC,Hull City Council,12/12/2023,11845035,36,A B ROOMS & SON LIMITED,01180091,Overheads,Property & Assets
