Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Moritas Ltd,Sept 23/1,500,17-AUG-2023,05-SEP-2023,B5000C-Place Directorate,B5102E-Regeneration
Newham Music Trust,Sept 23/2,500,21-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6103E-Music Service Trading
Imperial College Projects Ltd,Sept 23/3,501,11-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Thomas Ridley and Son Ltd,Sept 23/4,503.19,04-SEP-2023,11-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/5,503.78,08-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Waltham Forest Services Limited_23266,Sept 23/6,504,04-AUG-2023,25-SEP-2023,B5000C-Place Directorate,B5503E-Housing Access
Remedy Recruitment Group Ltd,Sept 23/7,504,07-JUL-2023,27-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Remedy Recruitment Group Ltd,Sept 23/8,504,04-AUG-2023,27-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Remedy Recruitment Group Ltd,Sept 23/9,504,07-JUL-2023,27-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Remedy Recruitment Group Ltd,Sept 23/10,504,21-JUL-2023,27-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Thomas Ridley and Son Ltd,Sept 23/11,508.92,18-SEP-2023,18-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Sept 23/12,509.4,06-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Edinburgh Primary School,Sept 23/13,509.8,31-MAY-2023,15-SEP-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Sept 23/14,509.98,13-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Supreme Company and Sons Ltd,Sept 23/15,510,12-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Imperial College Projects Ltd,Sept 23/16,510,02-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Fenix Recruitment Solutions Ltd,Sept 23/17,513.44,02-AUG-2023,20-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Dennis Lock & Key Ltd,Sept 23/18,515.76,24-AUG-2023,18-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
AJ Products (UK) Ltd,Sept 23/19,516,16-FEB-2023,15-SEP-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
Thomas Ridley and Son Ltd,Sept 23/20,516.19,05-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
