Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Newham Music Trust,Dec 23/1,500,03-NOV-2023,19-DEC-2023,B6200C-Childrens Services Directorate,B6103E-Music Service Trading
DOT SIGN LANGUAGE LTD,Dec 23/2,500,21-NOV-2023,15-DEC-2023,B1000C-Chief Executive Directorate,B2044E-Organisational Development Service
Mbilla Arts CIC,Dec 23/3,500,04-DEC-2023,14-DEC-2023,B1000C-Chief Executive Directorate,B2021E-Director Communications and Strategy Service
Thomas Ridley and Son Ltd,Dec 23/4,501.8,04-DEC-2023,04-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Dec 23/5,501.96,14-DEC-2023,14-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Remedy Recruitment Group Ltd,Dec 23/6,504,28-JUL-2023,22-DEC-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
I.J Beim & Associates Limited,Dec 23/7,504,07-SEP-2023,28-DEC-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Association of Democratic Services,Dec 23/8,504.9,12-OCT-2023,12-DEC-2023,B4000C-Resources Directorate,B4063E-Committee Services
Reddo Care and Support C.I.C.,Dec 23/9,504.96,23-OCT-2023,20-DEC-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Grove Motoring Centre,Dec 23/10,508.8,02-DEC-2023,12-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
Lextox,Dec 23/11,508.8,05-SEP-2023,29-DEC-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Supreme Company and Sons Ltd,Dec 23/12,510,12-DEC-2023,14-DEC-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Spaldings(UK)Ltd,Dec 23/13,510,30-NOV-2023,29-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Remedy Recruitment Group Ltd,Dec 23/14,513.12,20-OCT-2023,21-DEC-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Remedy Recruitment Group Ltd,Dec 23/15,513.12,13-OCT-2023,21-DEC-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
William White Meats Ltd,Dec 23/16,515.27,13-DEC-2023,19-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Dec 23/17,516.03,11-DEC-2023,11-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Duplex Cleaning Machines(UK) Ltd,Dec 23/18,518.4,25-SEP-2023,15-DEC-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Reddo Care and Support C.I.C.,Dec 23/19,520.2,29-AUG-2023,20-DEC-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Dec 23/20,520.2,18-SEP-2023,20-DEC-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Dec 23/21,521.93,07-DEC-2023,07-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Dec 23/22,524.72,15-DEC-2023,15-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Dec 23/23,526.53,04-DEC-2023,04-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Hey Girls CIC,Dec 23/24,526.66,10-NOV-2023,07-DEC-2023,B2100C-Stronger Communities Directorate,B2063E-Communities and Participation
Thomas Ridley and Son Ltd,Dec 23/25,526.75,08-DEC-2023,08-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Supreme Company and Sons Ltd,Dec 23/26,527,12-DEC-2023,14-DEC-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
RELATE,Dec 23/27,528,31-JAN-2022,21-DEC-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Crown Records Management Ltd,Dec 23/28,529.32,31-OCT-2023,18-DEC-2023,B4000C-Resources Directorate,B4062E-Legal Services
Crown Records Management Ltd,Dec 23/29,529.32,31-AUG-2023,18-DEC-2023,B4000C-Resources Directorate,B4062E-Legal Services
Mrs Bounce Limited,Dec 23/30,530,12-JUL-2023,21-DEC-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Dec 23/31,530.24,19-DEC-2023,19-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cyclehoop Ltd,Dec 23/32,531,22-NOV-2023,19-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Dec 23/33,531,08-NOV-2023,07-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Dec 23/34,531,22-NOV-2023,19-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Dec 23/35,531,22-NOV-2023,19-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Dec 23/36,531,22-NOV-2023,19-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Dec 23/37,531.68,05-DEC-2023,05-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Marieco Care Ltd,Dec 23/38,533.2,05-DEC-2023,07-DEC-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Reddo Care and Support C.I.C.,Dec 23/39,533.34,06-NOV-2023,07-DEC-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
William White Meats Ltd,Dec 23/40,533.38,11-DEC-2023,19-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cyclehoop Ltd,Dec 23/41,534.24,27-SEP-2023,18-DEC-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Aston Group,Dec 23/42,534.31,04-DEC-2023,12-DEC-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Imperial College Projects Ltd,Dec 23/43,535,09-NOV-2023,05-DEC-2023,B4000C-Resources Directorate,B4065E-Coroners Service
"
REDACTED PERSONAL DATA",Dec 23/44,535.5,02-DEC-2023,18-DEC-2023,B4000C-Resources Directorate,B4068E-Complaints Team Service
Thomas Ridley and Son Ltd,Dec 23/45,538.15,05-DEC-2023,05-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Dec 23/46,539.67,15-DEC-2023,19-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Metric London Limited,Dec 23/47,540,15-NOV-2023,11-DEC-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Environmental & Site Safety Solutions,Dec 23/48,540,04-DEC-2023,12-DEC-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
WALTHAM ESTATES LTD,Dec 23/49,540,30-OCT-2023,14-DEC-2023,B4000C-Resources Directorate,B4075E-Commercial Client and Innovation
Waltham Forest Services Limited_23266,Dec 23/50,540,30-SEP-2023,06-DEC-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
"
REDACTED PERSONAL DATA",Dec 23/51,540,09-OCT-2023,28-DEC-2023,B4000C-Resources Directorate,B4041E-Director of Revenues and Benefits
"
REDACTED PERSONAL DATA",Dec 23/52,540,26-SEP-2023,28-DEC-2023,B4000C-Resources Directorate,B4041E-Director of Revenues and Benefits
Thomas Ridley and Son Ltd,Dec 23/53,541.11,11-DEC-2023,11-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Dec 23/54,543.77,04-DEC-2023,12-DEC-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Passion8 Caterers Ltd,Dec 23/55,546.6,22-NOV-2023,12-DEC-2023,B2100C-Stronger Communities Directorate,B5121E-Employment and Business
