Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
London Borough of Sutton,Oct 23/1,500,26-JUN-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
London Borough of Sutton,Oct 23/2,500,14-JUN-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
The Commission for Local Administration,Oct 23/3,500,22-SEP-2023,19-OCT-2023,B4000C-Resources Directorate,B4041E-Director of Revenues and Benefits
London Borough of Sutton,Oct 23/4,500,16-MAR-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Midland Relocations Ltd,Oct 23/5,500,20-SEP-2023,19-OCT-2023,B5000C-Place Directorate,B5162E-Homelessness Service
London Borough of Sutton,Oct 23/6,500,09-MAY-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
London Borough of Sutton,Oct 23/7,500,17-JUL-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
London Borough of Sutton,Oct 23/8,500,11-JUL-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
London Borough of Sutton,Oct 23/9,500,16-MAR-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
London Borough of Sutton,Oct 23/10,500,16-MAR-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Imperial College Projects Ltd,Oct 23/11,501,12-SEP-2023,09-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Thomas Ridley and Son Ltd,Oct 23/12,503.1,15-SEP-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
WALTHAM ESTATES LTD,Oct 23/13,504,19-SEP-2023,27-OCT-2023,B4000C-Resources Directorate,B4075E-Commercial Client and Innovation
Sharpe Pritchard LLP,Oct 23/14,504,31-AUG-2023,04-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Oct 23/15,504.09,19-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/16,504.82,17-OCT-2023,17-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Verrolyne Services Ltd,Oct 23/17,504.84,14-AUG-2023,02-OCT-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Epiq Europe Ltd,Oct 23/18,504.9,22-SEP-2023,19-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
London Borough of Sutton,Oct 23/19,505,14-JUN-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Oct 23/20,505.17,11-OCT-2023,11-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
REDACTED PERSONAL DATA,Oct 23/21,505.22,13-SEP-2023,16-OCT-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Oct 23/22,505.32,18-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/23,505.74,04-OCT-2023,04-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
