Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
REDACTED PERSONAL DATA,Feb 24/1,500,09-FEB-2024,28-FEB-2024,B1000C-Chief Executive Directorate,B2044E-Organisational Development Service
Tri-Star packaging Supplies Ltd,Feb 24/2,501.61,05-DEC-2023,21-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
The Divine Water Company Ltd,Feb 24/3,501.99,31-JAN-2024,27-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Sport Works,Feb 24/4,502.6,24-JAN-2024,19-FEB-2024,B6200C-Childrens Services Directorate,B6044E-Education Programme Service
William White Meats Ltd,Feb 24/5,502.74,27-JAN-2024,15-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Greener Solutions Ltd,Feb 24/6,504,25-JAN-2024,20-FEB-2024,B5000C-Place Directorate,B5503E-Housing Access
A.J's Beds and Furniture Ltd,Feb 24/7,504,20-DEC-2023,20-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Quadient UK Ltd,Feb 24/8,504,14-SEP-2022,19-FEB-2024,B2100C-Stronger Communities Directorate,B2045E-Resident Experience and Business Support
Cubiquity Limited,Feb 24/9,504,31-AUG-2023,27-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Thomas Ridley and Son Ltd,Feb 24/10,504.93,19-FEB-2024,29-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
ESA Risk Ltd,Feb 24/11,505.56,23-JAN-2024,23-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
J B Riney & Co Ltd,Feb 24/12,507.2,25-JAN-2024,20-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
DABORA CONWAY LTD,Feb 24/13,507.95,30-OCT-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
Thomas Ridley and Son Ltd,Feb 24/14,509.79,09-FEB-2024,09-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/15,510.94,20-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Neunie Associates Limited,Feb 24/16,511.2,29-AUG-2023,06-FEB-2024,B5000C-Place Directorate,B5504E-Housing Management HRA
Thomas Ridley and Son Ltd,Feb 24/17,512.02,26-FEB-2024,26-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/18,514.42,02-FEB-2024,02-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
London Borough of Enfield,Feb 24/19,517.72,25-JUL-2023,01-FEB-2024,B4000C-Resources Directorate,B4062E-Legal Services
Hags-SMP Limited,Feb 24/20,525.6,26-OCT-2023,02-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Greatbatch Ltd,Feb 24/21,526.21,30-JAN-2024,23-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Supreme Company and Sons Ltd,Feb 24/22,527,12-FEB-2024,14-FEB-2024,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Thomas Ridley and Son Ltd,Feb 24/23,527.03,06-FEB-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
FOREST HOMES LONDON LIMITED,Feb 24/24,528,05-FEB-2024,13-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Half Moon Bay,Feb 24/25,528.74,19-DEC-2023,15-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Feb 24/26,529.03,15-FEB-2024,16-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cyclehoop Ltd,Feb 24/27,531,12-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/28,531,09-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/29,531,15-JAN-2024,09-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/30,531,10-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/31,531,09-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Imperial College Projects Ltd,Feb 24/32,531,11-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4065E-Coroners Service
Cyclehoop Ltd,Feb 24/33,531,09-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/34,531,25-JAN-2024,20-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Feb 24/35,531,09-JAN-2024,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Imperial College Projects Ltd,Feb 24/36,531,11-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4065E-Coroners Service
Cyclehoop Ltd,Feb 24/37,531,23-JAN-2024,20-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Feb 24/38,531.28,20-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Arjo UK Limited,Feb 24/39,531.6,08-JAN-2024,01-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Thomas Ridley and Son Ltd,Feb 24/40,532.13,26-FEB-2024,26-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
CopShopUK Ltd,Feb 24/41,533,30-OCT-2023,01-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5142E-Neighbourhood Management
Marieco Care Ltd,Feb 24/42,533.2,26-JAN-2024,02-FEB-2024,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Marieco Care Ltd,Feb 24/43,533.2,19-FEB-2024,28-FEB-2024,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
SDD Limited,Feb 24/44,533.52,25-JAN-2024,20-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Askews and Holt Library Services Ltd,Feb 24/45,534.81,15-JAN-2024,13-FEB-2024,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Feb 24/46,537.26,05-FEB-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/47,538.48,29-FEB-2024,29-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Environmental & Site Safety Solutions,Feb 24/48,538.8,17-FEB-2024,28-FEB-2024,B5000C-Place Directorate,B5092E-Schools Delivery Service
FOREST HOMES LONDON LIMITED,Feb 24/49,539,05-FEB-2024,13-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Feb 24/50,539.46,27-FEB-2024,27-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
