Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
ABA Matters,Mar 24/1,500,25-FEB-2024,07-MAR-2024,B6200C-Childrens Services Directorate,B6503E-Central Expenditure High Needs
REDACTED PERSONAL DATA,Mar 24/2,500,29-FEB-2024,19-MAR-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
CAMAC Care Services UK Ltd,Mar 24/3,500,27-NOV-2023,27-MAR-2024,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
REDACTED PERSONAL DATA,Mar 24/4,500,10-MAR-2024,19-MAR-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
Willow Tree Nursery,Mar 24/5,500,07-MAR-2024,25-MAR-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
CAMAC Care Services UK Ltd,Mar 24/6,500,28-DEC-2023,27-MAR-2024,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Thomas Ridley and Son Ltd,Mar 24/7,501.23,23-JAN-2024,28-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Mar 24/8,501.25,22-MAR-2024,26-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Passion8 Caterers Ltd,Mar 24/9,501.6,01-MAR-2024,08-MAR-2024,B1000C-Chief Executive Directorate,B2025E-Leadership Office Service
St Annes Pre-School,Mar 24/10,504,19-FEB-2024,04-MAR-2024,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Grove Motoring Centre,Mar 24/11,504.65,21-JAN-2024,01-MAR-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
Imperial College Projects Ltd,Mar 24/12,506,04-MAR-2024,26-MAR-2024,B4000C-Resources Directorate,B4065E-Coroners Service
Thomas Ridley and Son Ltd,Mar 24/13,506.76,18-MAR-2024,18-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
CTM Hire Ltd,Mar 24/14,507.36,12-MAR-2024,28-MAR-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
Community Health Partnerships Ltd,Mar 24/15,508.14,22-SEP-2020,26-MAR-2024,B6200C-Childrens Services Directorate,B6111E-Assistant Director SEND Services
Thomas Ridley and Son Ltd,Mar 24/16,508.97,07-MAR-2024,07-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Mar 24/17,509.72,15-MAR-2024,19-MAR-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Imperial College Projects Ltd,Mar 24/18,510,05-MAR-2024,28-MAR-2024,B4000C-Resources Directorate,B4065E-Coroners Service
Imperial College Projects Ltd,Mar 24/19,510,13-FEB-2024,26-MAR-2024,B4000C-Resources Directorate,B4065E-Coroners Service
REDACTED PERSONAL DATA,Mar 24/20,510,22-MAR-2024,26-MAR-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
Leyton Midland Cars,Mar 24/21,510,29-FEB-2024,08-MAR-2024,B6200C-Childrens Services Directorate,B6024E-Safeguarding and Family Support 2
Peep Learning Ltd,Mar 24/22,510,18-DEC-2023,25-MAR-2024,B6200C-Childrens Services Directorate,B6045E-Education Early Years and Childcare
Thomas Ridley and Son Ltd,Mar 24/23,510.06,14-MAR-2024,14-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Crown Records Management Ltd,Mar 24/24,511.64,31-JAN-2024,25-MAR-2024,B4000C-Resources Directorate,B4062E-Legal Services
Cyclehoop Ltd,Mar 24/25,513.12,09-AUG-2023,25-MAR-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
William White Meats Ltd,Mar 24/26,514.21,26-FEB-2024,21-MAR-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
