Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Thomas Ridley and Son Ltd,Nov 23/63,547.93,29-NOV-2023,29-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Educating UK Ltd,Nov 23/64,550,03-NOV-2023,28-NOV-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Cubiquity Limited,Nov 23/65,550.8,31-OCT-2023,24-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Askews and Holt Library Services Ltd,Nov 23/66,553.1,23-OCT-2023,16-NOV-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Nov 23/67,553.34,28-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/68,554.72,20-NOV-2023,20-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
The Appropriate Adult Service Ltd,Nov 23/70,555,30-SEP-2023,30-NOV-2023,B6200C-Childrens Services Directorate,B6029E-Youth and Family Resilience Service
Van-Haaren & Son,Nov 23/69,555,02-OCT-2023,01-NOV-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Van-Haaren & Son,Nov 23/71,555,22-SEP-2023,01-NOV-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
"Waterman (UK) Ltd , T/A",Nov 23/72,557.84,30-SEP-2023,07-NOV-2023,B2100C-Stronger Communities Directorate,B6082E-Partnership and Sexual Health
5 Paper Buildings,Nov 23/73,558,11-JUL-2023,14-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
Carter Brown The Expert Services,Nov 23/74,561.6,31-AUG-2023,24-NOV-2023,B6200C-Childrens Services Directorate,B6024E-Safeguarding and Family Support 2
Thomas Ridley and Son Ltd,Nov 23/75,561.64,06-NOV-2023,06-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/76,561.64,22-NOV-2023,22-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/77,562.21,10-NOV-2023,10-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/78,562.46,21-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cubiquity Limited,Nov 23/79,564,23-NOV-2023,28-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5146E-Traffic Management
Thomas Ridley and Son Ltd,Nov 23/80,568.3,29-NOV-2023,29-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/81,569.69,29-NOV-2023,29-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
4 Brick Court,Nov 23/83,570,24-OCT-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
5 Paper Buildings,Nov 23/82,570,20-DEC-2022,29-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
5 Paper Buildings,Nov 23/84,570,13-FEB-2023,29-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Nov 23/85,570.82,07-NOV-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/86,571.15,13-NOV-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/87,573.3,30-NOV-2023,30-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Nov 23/88,573.36,30-OCT-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/89,573.71,13-NOV-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Nov 23/90,574.8,03-OCT-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Thomas Ridley and Son Ltd,Nov 23/91,575.99,03-NOV-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Bevan Brittan LLP,Nov 23/92,576,22-SEP-2023,09-NOV-2023,B5000C-Place Directorate,B5077E-Rent Accounting
Thomas Ridley and Son Ltd,Nov 23/93,576.15,10-NOV-2023,10-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/94,576.19,07-NOV-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/95,576.85,22-NOV-2023,22-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/96,577.09,02-NOV-2023,02-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Nudge Education Limited,Nov 23/97,577.69,31-OCT-2023,23-NOV-2023,B6200C-Childrens Services Directorate,B6503E-Central Expenditure High Needs
T.S.S. (Total Security Services),Nov 23/98,578.03,31-OCT-2023,14-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5152E-Regulatory and Contingency Planning Service
Sharpe Pritchard LLP,Nov 23/99,579.6,31-MAY-2023,07-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
Cubiquity Limited,Nov 23/100,580.63,31-AUG-2023,30-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5146E-Traffic Management
