﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-OCT-2024,Adults & Communities (P),CARE WITH PRIDE LTD&&ISHC7027,HOME CARE,5505-Homecare,"£7,610.04"
02-OCT-2024,Adults & Communities (P),CARELINK HEALTHCARE PROFESSIONALS LTD&&ISHC3871,HOME CARE,5505-Homecare,"£17,029.90"
02-OCT-2024,Adults & Communities (P),CAREMARK HINCKLEY BOSWORTH & BLABY&&ISHC3015,HOME CARE,5505-Homecare,"£15,322.35"
02-OCT-2024,Adults & Communities (P),CARERS DIRECT HOMECARE&&ISHC2687,HOME CARE,5505-Homecare,"£1,846.84"
02-OCT-2024,Adults & Communities (P),CARERS DIRECT HOMECARE&&ISHC2687,HOME CARE,5505-Homecare,"£2,223.96"
02-OCT-2024,Adults & Communities (P),CARERS DIRECT HOMECARE&&ISHC2687,HOME CARE,5505-Homecare,"£1,302.41"
02-OCT-2024,Adults & Communities (P),CARERS DIRECT HOMECARE&&ISHC2687,HOME CARE,5505-Homecare,"£1,209.13"
02-OCT-2024,Adults & Communities (P),CARING HANDS (NOTTINGHAM) LTD&&ISHC7072,HOME CARE,5505-Homecare,"£7,676.25"
02-OCT-2024,Adults & Communities (P),CARING HANDS LEICESTER LTD&&ISHC3209,HOME CARE,5505-Homecare,"£29,747.90"
02-OCT-2024,Adults & Communities (P),CASE HEALTHCARE LTD&&ISHC7029,HOME CARE,5505-Homecare,"£13,248.87"
02-OCT-2024,Adults & Communities (P),CHOICES FOR LIFE (UK)LTD&&CLCD3323,CLC,5504-Day/CLC Services,"£19,535.86"
02-OCT-2024,Adults & Communities (P),CITY & COUNTY CARE SERVICES LTD&&ISHCHC486,HOME CARE,5505-Homecare,£950.58
02-OCT-2024,Adults & Communities (P),CITY & COUNTY CARE SERVICES LTD&&ISHCHC486,HOME CARE,5505-Homecare,£579.12
02-OCT-2024,Adults & Communities (P),CITY & COUNTY CARE SERVICES LTD&&ISHCHC486,HOME CARE,5505-Homecare,£578.88
02-OCT-2024,Adults & Communities (P),CITY & COUNTY CARE SERVICES LTD&&ISHCHC486,HOME CARE,5505-Homecare,"£12,013.27"
02-OCT-2024,Adults & Communities (P),COMMUNITY CARELINE NORTHWEST LEICESTERSHIRE LTD&&ISHCHC1514,HOME CARE,5505-Homecare,"£6,773.01"
02-OCT-2024,Adults & Communities (P),CONTINUITY HEALTHCARE SERVICES LTD&&ISHC6572,HOME CARE,5505-Homecare,"£7,092.48"
