﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
07-JUN-2024,C&FS (P),Daystar Care Services Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,£874.00
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£2,958.49"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,762.60"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,818.10"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,405.00"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,405.00"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£5,348.70"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,492.30"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,818.10"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,492.30"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,722.70"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,818.10"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,858.90"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,492.30"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,722.70"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,701.40"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,858.90"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,405.00"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,456.90"
10-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£7,800.00"
12-JUN-2024,Chief Executives (P),36 Group Ltd,TRADE SUPPLIER,4507-Consultants & Specialists,"£2,475.00"
13-JUN-2024,Balance Sheet Cost Centres (P),36 Group Ltd,TRADE SUPPLIER,9641-Debtors Control,"£2,325.00"
14-JUN-2024,Corporate Resources (CR) (P),Catershield Services Ltd,TRADE SUPPLIER,2102-R&M Buildings Service Contracts,£560.00
20-JUN-2024,Balance Sheet Cost Centres (P),Open Sky Data Systems Ltd,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,"£4,500.00"
20-JUN-2024,C&FS (P),Leta Properties Ltd,TRADE SUPPLIER,5624-Transfer Payments Sector 17 Other,"£1,205.00"
20-JUN-2024,C&FS (P),Leta Properties Ltd,TRADE SUPPLIER,5624-Transfer Payments Sector 17 Other,"£2,835.00"
21-JUN-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,858.90"
21-JUN-2024,C&FS (P),Kaleidoscope Assessment Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£7,047.85"
21-JUN-2024,Balance Sheet Cost Centres (P),Tracey Donativo T/A Little Seeds Therapeutic Services,TRADE INDIVIDUAL,9642-Reserved Debtors - Non Public Sector,"£2,490.00"
24-JUN-2024,Adults & Communities (P),BROADLANDS RESIDENTIAL CARE HOME&&SARO8403,S/S HOMES,5502-Residential,"£2,971.43"
24-JUN-2024,Adults & Communities (P),CARE 24 7 (BODNANT HOUSE)&&SSARO3231,S/S HOMES,5502-Residential,"£51,495.14"
24-JUN-2024,Adults & Communities (P),CARE UK COMMUNITY PARTNERSHIPS LTD T/A ANCASTA GROVE C/H&&SSARO7660,S/S HOMES,5502-Residential,£690.13
24-JUN-2024,Adults & Communities (P),CLAREGRANGE TRADING LTD T/A WALTHAM HALL&&SARO5107,S/S HOMES,5501-Nursing,"£21,781.86"
24-JUN-2024,Adults & Communities (P),PATHWAY CARE GROUP T/A HARMONY HOUSE&SSARO6990,S/S HOMES,5502-Residential,"£1,679.46"
24-JUN-2024,Adults & Communities (P),PATHWAY CARE GROUP T/A HARMONY HOUSE&SSARO6990,S/S HOMES,5502-Residential,"£1,144.82"
24-JUN-2024,Adults & Communities (P),PATHWAY CARE GROUP T/A HARMONY HOUSE&SSARO6990,S/S HOMES,5502-Residential,£724.96
