PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
17-Mar-25,C&FS (P),St John the Baptist Church of England (Aided) Primary School,OTHER LOCAL AUTHORITIES,5323-External SEN Providers Independent Sch,"£9,100.00"
17-Mar-25,Chief Executives (P),Norfolk County Council,OTHER LOCAL AUTHORITIES,4507-Consultants & Specialists,£821.75
17-Mar-25,C&FS (P),Maplefields Academy,OTHER LOCAL AUTHORITIES,5323-External SEN Providers Independent Sch,"£82,808.00"
17-Mar-25,Adults & Communities (P),ASHTON LODGE&&SSAROE40467,S/S HOMES,5502-Residential,"£12,263.14"
17-Mar-25,Adults & Communities (P),ELLIOTT RESIDENTIAL CARE HOME&&SSAROE40471,S/S HOMES,5502-Residential,"£16,556.57"
21-Mar-25,C&FS (P),REDACTED PERSONAL DATA,NON TRADE,5445-Adoption Support,"£1,430.00"
21-Mar-25,C&FS (P),Stork Day Nursery,TRADE SUPPLIER,4901-Other Expenditure,"£1,368.00"
24-Mar-25,Corporate Resources (CR) (P),GM Treble Ltd,TRADE SUPPLIER,2105-Reactive Maintenance M&E,"£1,750.00"
24-Mar-25,C&FS (P),REDACTED PERSONAL DATA,EARLY YEARS,4908-Grants,£569.91
27-Mar-25,C&FS (P),Brooke Weston Academy,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£5,308.33"
27-Mar-25,C&FS (P),Brooke Weston Academy,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£9,100.00"
27-Mar-25,C&FS (P),PACKINGTON PLAYGROUP&&EYRS1469,GENERAL,4908-Grants,"£6,347.25"
27-Mar-25,C&FS (P),PACKINGTON PLAYGROUP&&EYRS1469,GENERAL,4908-Grants,"£1,109.25"
27-Mar-25,C&FS (P),FARNDON FIELDS COMMUNITY PROJECT&&EYRS1108,EARLY YEARS,4908-Grants,"£10,558.52"
27-Mar-25,C&FS (P),FARNDON FIELDS COMMUNITY PROJECT&&EYRS1108,GENERAL,4908-Grants,"£1,064.88"
27-Mar-25,C&FS (P),FARNDON FIELDS COMMUNITY PROJECT&&EYRS1108,GENERAL,4908-Grants,"£10,207.40"
