PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-Nov-24,Public Health (P),Active Partnerships,NON TRADE,4909-Subscriptions,"£2,300.00"
01-Nov-24,C&FS (P),Adullam Homes Housing Association Ltd     1,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£5,462.20"
01-Nov-24,C&FS (P),Adullam Homes Housing Association Ltd     1,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£4,757.40"
01-Nov-24,Corporate Resources (CR) (P),Advanced Water Technologies Ltd,TRADE SUPPLIER,2108-Legionella,£780.00
01-Nov-24,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£777.00
01-Nov-24,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£741.10
01-Nov-24,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£760.75
01-Nov-24,Environment & Transport (P),Aggregate Industries UK Ltd,SUBCONTRACTOR,4109-Materials,£841.75
01-Nov-24,Public Health (P),Air IT Ltd,TRADE SUPPLIER,4602-IT Services,"£1,869.45"
01-Nov-24,Corporate Resources (CR) (P),Alexander Mann Solutions Ltd,TRADE SUPPLIER,1201-Agency Costs,"£1,402.50"
01-Nov-24,Corporate Resources (CR) (P),Alexander Mann Solutions Ltd,TRADE SUPPLIER,1201-Agency Costs,£841.50
01-Nov-24,Environment & Transport (P),Ali Taxis Ltd,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£3,021.70"
01-Nov-24,Environment & Transport (P),Ali Taxis Ltd,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£3,112.50"
01-Nov-24,Environment & Transport (P),Ali Taxis Ltd,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£1,286.40"
01-Nov-24,Environment & Transport (P),Ali Taxis Ltd,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£1,772.40"
01-Nov-24,Environment & Transport (P),REDACTED PERSONAL DATA,NON TRADE,3125-Transport External Operator Contract,"£2,096.85"
01-Nov-24,C&FS (P),REDACTED PERSONAL DATA,TRADE INDIVIDUAL,5323-External SEN Providers Independent Sch,£682.00
01-Nov-24,C&FS (P),Anna May T/A Links Psychology Ltd,TRADE INDIVIDUAL,1703-Training Expenses,"£2,745.60"
01-Nov-24,C&FS (P),Anna May T/A Links Psychology Ltd,TRADE INDIVIDUAL,5445-Adoption Support,"£2,460.00"
01-Nov-24,Environment & Transport (P),Athwal Taxi Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,407.00"
01-Nov-24,C&FS (P),Axiom Supported Living Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£14,657.14"
