PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-May-24,Balance Sheet Cost Centres (P),REDACTED PERSONAL DATA,NON TRADE,9642-Reserved Debtors - Non Public Sector,"£9,000.00"
03-May-24,Environment & Transport (P),WJ North Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£44,024.07"
21-May-24,C&FS (P),Ferntree Support Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,391.47"
24-May-24,Capital - In Year Spend (P),Via East Midlands Ltd,TRADE SUPPLIER,944A-Infr - Infrastructure Exp,"£13,340.55"
24-May-24,Adults & Communities (P),ASHVILLE HOUSE(FJJ HEALTHCARE LTD)&&SSARO7559,S/S HOMES,5502-Residential,"£6,086.64"
24-May-24,Adults & Communities (P),BUPA CARE HOMES (CFHCARE) LTD T/A THE HIGHGATE C/H (BUPA CARE HOMES (GL) LTD)&&SSARO7632,S/S HOMES,5502-Residential,"£2,657.14"
24-May-24,Adults & Communities (P),ELLIOTT RESIDENTIAL CARE HOME&&SSAROE40471,S/S HOMES,5502-Residential,£776.00
24-May-24,Public Health (P),Leicestershire Partnership NHS Trust,TRADE SUPPLIER,5221-Public Bodies Health,"£22,919.50"
24-May-24,Corporate Resources (CR) (P),Softcat Ltd,TRADE SUPPLIER,4603-IT Software Licenses/Subscription,"£194,568.66"
24-May-24,MIRS & Central Items (General Fund) (P),LTT Vending Group Ltd,TRADE SUPPLIER,9201-Prior Year Adjustments - Null,"£4,901.64"
29-May-24,Balance Sheet Cost Centres (P),Cadent Gas Misc Billing,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,"£8,634.92"
31-May-24,Environment & Transport (P),Your NRG Ltd,TRADE SUPPLIER,3104-Petrol / Oil / Types / Spares,"£11,696.00"
03-May-24,Public Health (P),REDACTED PERSONAL DATA,NON TRADE,4908-Grants,£630.00
01-May-24,Adults & Communities (P),2M HEATH & HOMECARE SERVICES LTD&&ISHC3873,HOME CARE,5505-Homecare,"£14,381.17"
01-May-24,Adults & Communities (P),ABSOLUTE CARE AGENCY&&ISHC2620,HOME CARE,5505-Homecare,"£16,979.43"
01-May-24,Adults & Communities (P),ABUNDANT CARE LIMITED&&ISHC6217,HOME CARE,5505-Homecare,"£3,312.53"
01-May-24,Adults & Communities (P),ACCREDO SUPPORT & DEVELOPMENT LTD&&SUPL525,SUPPORTED LIVING,5506-Supported Living,"£23,086.57"
01-May-24,Adults & Communities (P),ACCREDO SUPPORT & DEVELOPMENT LTD&&SUPL525,SUPPORTED LIVING,5506-Supported Living,"£23,086.57"
01-May-24,Adults & Communities (P),ADAPTUS CARES LTD&&ISHC5289,HOME CARE,5505-Homecare,"£2,498.43"
01-May-24,Adults & Communities (P),ADJUVO CARE & SUPPORT LTD&&SUPL6474,SUPPORTED LIVING,5506-Supported Living,"£18,429.46"
01-May-24,Adults & Communities (P),ADJUVO CARE & SUPPORT LTD&&SUPL6474,SUPPORTED LIVING,5506-Supported Living,"£18,429.46"
01-May-24,Adults & Communities (P),ADVANCE HOUSING & SUPPORT LTD T/A ADVANCE&&SUPL5271,SUPPORTED LIVING,5506-Supported Living,"£5,010.93"
01-May-24,Adults & Communities (P),ADVANCE HOUSING & SUPPORT LTD T/A ADVANCE&&SUPL5271,SUPPORTED LIVING,5506-Supported Living,"£5,296.53"
01-May-24,Adults & Communities (P),AFFINITY TRUST&&SUPL4188,SUPPORTED LIVING,5506-Supported Living,"£219,869.15"
01-May-24,Adults & Communities (P),AFFINITY TRUST&&SUPL4188,SUPPORTED LIVING,5506-Supported Living,"£1,145.51"
01-May-24,Adults & Communities (P),AFFINITY TRUST&&SUPL4188,SUPPORTED LIVING,5506-Supported Living,"£227,192.21"
01-May-24,Adults & Communities (P),AFFINITY TRUST&&SUPL4188,SUPPORTED LIVING,5506-Supported Living,"£1,000.65"
01-May-24,Adults & Communities (P),AFFINITY TRUST&&SUPL4188,SUPPORTED LIVING,5506-Supported Living,£834.12
