PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-APR-2024,Environment & Transport (P),Arriva Midlands Ltd,TRADE SUPPLIER,3124-Other Transport Costs,"£2,175.00"
05-APR-2024,Adults & Communities (P),Graffwerk Ltd,TRADE SUPPLIER,"4501-Exhibitions, Displays, Events & Performances","£2,877.70"
05-APR-2024,Environment & Transport (P),Jacobs UK Ltd,TRADE SUPPLIER,4507-Consultants & Specialists,"£26,210.69"
12-APR-2024,Chief Executives (P),REDACTED PERSONAL DATA,GENERAL,2321-Rent & Room Hire,£510.00
18-APR-2024,Balance Sheet Cost Centres (P),Charnwood Arts Therapy Service Ltd,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,£574.00
19-APR-2024,Corporate Resources (CR) (P),Kyocera Document Solutions (UK) Limited,TRADE SUPPLIER,4401-Printing,"£10,409.55"
19-APR-2024,Balance Sheet Cost Centres (P),Kyocera Document Solutions (UK) Limited,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,"£1,358.17"
19-APR-2024,Corporate Resources (CR) (P),Kyocera Document Solutions (UK) Limited,TRADE SUPPLIER,4401-Printing,"£60,592.15"
24-APR-2024,Balance Sheet Cost Centres (P),Maintel Europe Ltd,TRADE SUPPLIER,9642-Reserved Debtors - Non Public Sector,"£6,094.81"
24-APR-2024,Corporate Resources (CR) (P),Maintel Europe Ltd,TRADE SUPPLIER,4606-IT Telecommunications Line Rental,£704.52
24-APR-2024,Corporate Resources (CR) (P),Maintel Europe Ltd,TRADE SUPPLIER,4606-IT Telecommunications Line Rental,£551.48
24-APR-2024,Corporate Resources (CR) (P),Maintel Europe Ltd,TRADE SUPPLIER,4606-IT Telecommunications Line Rental,£668.05
24-APR-2024,Corporate Resources (CR) (P),Maintel Europe Ltd,TRADE SUPPLIER,4606-IT Telecommunications Line Rental,£565.53
26-APR-2024,Adults & Communities (P),BRIDGEFOOT DEVELOPMENTS LTD JASON HYLTON COURT&&SSARO3277,S/S HOMES,5501-Nursing,"£2,213.80"
26-APR-2024,Adults & Communities (P),HAVEN NURSING HOME&&SARO2319,S/S HOMES,5501-Nursing,"£20,167.58"
26-APR-2024,Adults & Communities (P),JAMES TERRY COURT ROYAL MASONIC BENEVOLENT INSTITUTION OOC&&SARO3331,S/S HOMES,5502-Residential,"£2,258.42"
26-APR-2024,Adults & Communities (P),JAMES TERRY COURT ROYAL MASONIC BENEVOLENT INSTITUTION OOC&&SARO3331,S/S HOMES,5501-Nursing,"£1,109.49"
26-APR-2024,Adults & Communities (P),LINDEN LODGE&&SSAROE48027,S/S HOMES,5502-Residential,"£3,124.01"
26-APR-2024,Adults & Communities (P),SHANKAR LEICESTER LTD T/A LONGCLIFFE NURSING HOME&&SSAROE40225,S/S HOMES,5502-Residential,"£1,821.43"
26-APR-2024,Adults & Communities (P),SHANKAR LEICESTER LTD T/A LONGCLIFFE NURSING HOME&&SSAROE40225,S/S HOMES,5502-Residential,"£5,422.29"
26-APR-2024,Adults & Communities (P),SHANKAR LEICESTER LTD T/A LONGCLIFFE NURSING HOME&&SSAROE40225,S/S HOMES,5502-Residential,"£13,399.70"
26-APR-2024,Adults & Communities (P),WESTROYD HOUSE COUNTY HEALTH CARE&&SSAROE40326,S/S HOMES,5502-Residential,"£4,428.00"
26-APR-2024,Adults & Communities (P),WESTROYD HOUSE COUNTY HEALTH CARE&&SSAROE40326,S/S HOMES,5502-Residential,"£4,428.00"
