PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
03-JAN-2025,Adults & Communities (P),ABBERDALE LIMITED&&SSAROE40419,S/S HOMES,5502-Residential,"£13,036.79"
03-JAN-2025,Adults & Communities (P),ABBERDALE LIMITED&&SSAROE40419,S/S HOMES,5502-Residential,"£6,049.36"
03-JAN-2025,Adults & Communities (P),BABA SAWAN LODGE LTD&&SSARO6451,S/S HOMES,5502-Residential,"£2,963.97"
03-JAN-2025,Adults & Communities (P),BARCHESTER HEALTHCARE HOMES LTD OVERSLADE HOUSE RECEIPTS ACCOUNT&&SSARO3228,S/S HOMES,5501-Nursing,"£1,629.26"
03-JAN-2025,Adults & Communities (P),BIG HOUSE WOODLEIGH HEALTHCARE LTD&&SSARO7380,S/S HOMES,5502-Residential,"£14,150.32"
03-JAN-2025,Adults & Communities (P),BOWBRIDGE COURT CH(IDEAL CAREHOMES(NUMBER ONE)LTD&&SSARO7634,S/S HOMES,5502-Residential,"£12,624.28"
03-JAN-2025,Adults & Communities (P),REDACTED PERSONAL DATA,S/S HOMES,5502-Residential,"£1,127.14"
03-JAN-2025,Adults & Communities (P),PLANS4REHAB LTD&&SSARO3363,S/S HOMES,5501-Nursing,"£26,024.57"
03-JAN-2025,Adults & Communities (P),ROYAL WINDSOR CARE HOME (CROWN CARE XI LTD)&&SARO7224,S/S HOMES,5502-Residential,"£2,780.72"
17-JAN-2025,Environment & Transport (P),Burton On The Wolds Cotes & Prestwold Parish Council,TRADE SUPPLIER,4901-Other Expenditure,"£1,414.09"
17-JAN-2025,Balance Sheet Cost Centres (P),Owen Forster T/A Dr Forster Psychology,TRADE INDIVIDUAL,9642-Debtors Balances,"£1,090.67"
27-JAN-2025,C&FS (P),Premium Care Solutions Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,"£2,295.62"
31-JAN-2025,Adults & Communities (P),HAYES COURT&&SARO9268,S/S HOMES,5502-Residential,"£1,680.94"
31-JAN-2025,Adults & Communities (P),B&L PREMIER CARE LTD T/A BEECHDALE HOUSE CARE HOME&&SSARO7649,S/S HOMES,5502-Residential,"£2,148.23"
03-JAN-2025,Adults & Communities (P),2M HEATH & HOMECARE SERVICES LTD&&ISHC3873,HOME CARE,5505-Homecare,"£16,091.33"
03-JAN-2025,Adults & Communities (P),2M HEATH & HOMECARE SERVICES LTD&&ISHC3873,HOME CARE,5505-Homecare,£530.33
03-JAN-2025,Adults & Communities (P),ABSOLUTE CARE AGENCY&&ISHC2620,HOME CARE,5505-Homecare,"£15,444.47"
03-JAN-2025,Adults & Communities (P),ABUNDANT CARE LIMITED&&ISHC6217,HOME CARE,5505-Homecare,£723.83
03-JAN-2025,Adults & Communities (P),ACCREDO SUPPORT AND DEVELOPMENT LTD&&CLCD3325,CLC,5504-Day/CLC Services,"£2,968.76"
03-JAN-2025,Adults & Communities (P),ACCREDO SUPPORT AND DEVELOPMENT LTD&&CLCD3325,CLC,5504-Day/CLC Services,"£2,968.76"
03-JAN-2025,Adults & Communities (P),ADAPTUS CARES LTD&&ISHC5289,HOME CARE,5505-Homecare,"£2,038.81"
03-JAN-2025,Adults & Communities (P),AGE UK LEICESTERSHIRE AND RUTLAND&&CLCD3314,CLC,5504-Day/CLC Services,"£3,357.64"
03-JAN-2025,Adults & Communities (P),AGE UK LEICESTERSHIRE AND RUTLAND&&CLCD3314,CLC,5504-Day/CLC Services,"£3,799.72"
03-JAN-2025,Adults & Communities (P),ALLIANCE SC LTD&&ISHC6700,HOME CARE,5505-Homecare,£907.45
03-JAN-2025,Adults & Communities (P),AMICARE DOMICILIRY CARE SERVICES LTD&&ISHC2524,HOME CARE,5505-Homecare,"£6,352.14"
03-JAN-2025,Adults & Communities (P),ANYTIME CARE 2020&&ISHC6533,HOME CARE,5505-Homecare,£743.85
03-JAN-2025,Adults & Communities (P),AROMA CARE PEOPLE LTD&&ISHC7001,HOME CARE,5505-Homecare,"£9,114.14"
03-JAN-2025,Adults & Communities (P),ASHRAY CARE SERVICES LTD T/A SURECARE LEICESTER&&ISHC7005,HOME CARE,5505-Homecare,"£1,376.96"
03-JAN-2025,Adults & Communities (P),B24 HEALTHCARE SOLUTIONS LTD&&ISHC7002,HOME CARE,5505-Homecare,"£6,375.72"
03-JAN-2025,Adults & Communities (P),BATELEUR HC LTD&&ISHC7017,HOME CARE,5505-Homecare,"£3,929.93"
03-JAN-2025,Adults & Communities (P),BLUEWOOD RECRUITMENT LTD&&ISHC3933,HOME CARE,5505-Homecare,"£2,365.13"
03-JAN-2025,Adults & Communities (P),BONNEY CARE AGENCY&&CLCD3326,CLC,5504-Day/CLC Services,£922.14
03-JAN-2025,Adults & Communities (P),BREAKING THE CYCLE CONSULTANCY LTD&&CLCD3093-20-6038,SUPPORTED LIVING,5504-Day/CLC Services,£776.00
03-JAN-2025,Adults & Communities (P),BRIGHT INTERGRATED CARE LTD&&ISHC3324,HOME CARE,5505-Homecare,"£20,138.62"
03-JAN-2025,Adults & Communities (P),BRIGHT INTERGRATED CARE LTD&&ISHC3324,HOME CARE,5505-Homecare,"£19,292.57"
