PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
05-JUL-2024,Corporate Resources (CR) (P),Coram,TRADE SUPPLIER,1703-Training Expenses,£800.00
05-JUL-2024,C&FS (P),Executive Health Ltd,NON TRADE,5411-Private Contractors - General,£507.38
05-JUL-2024,Adults & Communities (P),Minerva Supported Living Ltd,TRADE SUPPLIER,4901-Other Expenditure,"£1,000.00"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,945.37"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£5,526.99"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,846.79"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,518.50"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,888.02"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,824.78"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,987.53"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,518.50"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£8,060.00"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,572.13"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,945.37"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,987.53"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,608.71"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,987.53"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,608.71"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,518.50"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,608.71"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,846.79"
12-JUL-2024,C&FS (P),Compass Fostering Central Ltd,TRADE SUPPLIER,5446-Independent Fostering Agencies,"£3,945.37"
16-JUL-2024,C&FS (P),Redefine Living Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,985.71"
